Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;Ouverture a 3 - Luth, Violino et Violoncello - par Kuehnell;;;;;;;
1;C dur;2;Ouverture;Kuehnell;;;Conc_3367;C;"[,,dcc{4}3/2] c/ [ca,,,c3/4] ,a/4 ,c/ a | [,c,,,d1] ,a/ ,,d \
[c,,,,c3/4] ,,,c/4 ,,a/ ,,c | [,,d,,a1] ,,d3/4 ,,a/4 [,,cb{a}/] \
,c/4 ,a/ V,,d | "
2;C dur;4;Menuet;Kuehnell;;;Conc_3368;3/4;"{,,a}/ ,,,c {4} ,,,c ,,d ,a | [,,'c{a}1] ,,a/ ,,c ,,,c \
,,,,,a | ,,,,,c/ ,a c ,a ,c a | {4}/ ,c ,,d {,,,a} \
[c{,,a}] ,,d | "
3;C dur;5;Bouree Altern.;Kuehnell;;;Conc_3369;C;",,d/ ,a | [,c,,,d1] ,c [,c{,a}] a | [,ac{a}2] {,,a}1 c | \
[,,d,,a1] e/ c [e{,a}] c a ,c | [,a{a}/] ,,d ,,c ,,a ,,,c \
,,c ,,d ,a | "
4;c moll;5;Bourée 2do;Kuehnell;;;Conc_3370;C;",,d/ ,a | ,b1 [,b,,,d] d ,b | [,b{d}1] ,a [,a{d}] c | \
[,,d{b}1] ,a/ ,b [,d{,a}] ,b ,a ,,d | [,,c{4}1] ,,a/ ,,c \
,,,c ,,c ,,d ,a | "
5;C dur;6;Gigue;Kuehnell;ff. 8-13 Score for Violino and Violoncello;;Conc_3371;6/8;"[hfh{4}3/2] [cac,,c3/2] | [,c{4}3/4] ,a/4 ,,d/ [,a{,a}3/4] \
,,d/4 [,,c{a}/] | [,,d,,d1] {a}/ {4}1 ,c/ | [,a,,,c3/4] \
c/4 ,,c/ [,,d,,a3/4] ,,c/4 ,,a/ | "
