PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
19;a;moll;8v;Aria;;;;Conc_3749;C;"[,cd,,a1] e ['d{,,a}] ,c | [ad,,a1] ,,,,,c/ a ,,,,,d ,c ,,a1 | \
[,aa,,c1] ,,,d/ ,c [,,d,,a] ,a [,,c{a}/]> ,,d | [,,a{,a}/]> \
,,c ,,d/ ,a [,ccd{,,a}2] :| ";;;;;;;;;;
20;a;moll;8v;Bourée;Weichenberger?;;;Conc_268;C;",,,,c1 | [,,ae,a1] ,,a/> ,,c ,,d1 [,,'a,,a] | [,,c{,,a}1] \
,,,,c/> ,,,,a ,,,,,d1 [,c,,,b/] ,a | [,,d,,a1] a/> ,c \
[,a,,,c1] [c{a}/]> a | [,c,,,d1] ,,d {4} [d,,,c/]> ,,,,a | ";;;;;;;;;;
21;a;moll;9v;Menuet;Weichenberger?;;;Conc_3610;3;"[,,ae,a1] [,,ae] [,,ae{a}] | [,,a{,a}1] ,,a/> ,,c [,,d{,,a}1] \
 | [,,c{,,,a}1] [,,d{,,a}/]> ,,c [,,a{,a}/]> ,,c | [,,'d{,,a}1] \
,,,,e/ ,,,d ,,,,c1 | [,,ae,a1] [,,ae] [,,ae{a}] | ";;;;;;;;;;
22;a;moll;10r;Guigue;;;;;12/8;",c/ | [,c,,,a/] ,a ,c ,,d ,,c ,,a [,,,d{,,a}] ,,,e ,,c ,,,,c \
,,,,a ,,,,c | [,,a,d/] ,,,,c ,,,,a [,,c{,,,a}] ,,d ,a {,,a} \
,,c [,,,'d] [,,ae,a1] c/ | ";;;;;;;;;;
23;d;moll;10v;Aria;;;;;C;"[,aaa{a}1] e ['aaa,a1]> e | [fa{a}1] [hf{a}/] f [,h{,a}1] a | \
[c,e{,,a}1] e/ ,c [ada{,,,a}1]> ,d | ([,c{a}/4] ,d) c/ [,'c] \
,a [,,'e,,a1] ,,,e :| ";;;;;;;;;;
24;d;moll;10v;Courante;;;;;3;"e/ | [eaa{,,,a}3/2] c/ 'a ,c | [ac,,a/] c ,,,,,a ,,d 'a ,c | \
[,ab{d}3/2] ,a/ ,,,,,a ,,d | ,a/ ,,d [,,'bcc{a}3/2] ,,a/ | ";;;;;;;;;;
25;d;moll;11v;Gavotte;Losy;;;Conc_1456;C;"Xe1 ,,f/ e | f1 ,,f/ f ,,d e ,,,f ,f | [,'d,e1]> e [f{a}] ,f/ \
a | ,,,,,a/ ,f a ,,h ,a a [,c{a}] ,a | ";;;;;;;;;;
26;d;moll;12r;Sarabanda;;;;Conc_3914;3;"[ada{,,,a}1] 'c/ ,d/4 c e1 | [,aba{d}1] [,'c/] a/4 ,c a/ \
,,,,,a | {a}/ ,,b ,c ,d [,'c] ,a | [,,'ee1] ,,,,,a/ (,,c \
,,a) {a} | ";;;;;;;;;;
27;d;moll;12v;Guigue;;;;;3/8;",a/ | ,,f/ ,a ,,f | ,,e/ ,a ,,a | ,,b/ ,a ,,,c | ,,,e/ ,,a \
,,,,c | ,,,,d/ ,,,c ,,a | ,,,,a/ ,,b ,,,,c | ";;;;;;;;;;
28;d;moll;13r;Aria;;;;;3;"[e{,,,a}1] e/ c ,d ,c | [,d,,a2] ,,,,c/ c | [e,,,d3/2] ,c/ ,a \
c | [,,'e,,a1] {a} [,a{,a}] | [,c{a}1] [,'c,,,a3/2] ,a/ | \
[,aaa{a}2] :| ";;;;;;;;;;
29;d;moll;13v;Guigue;du;faut;Dufault;;;Conc_1497;3;"e2 e1 | 'c2 ,c1 | ,c1 a ,a | ,c2 ,,a1 | [,,,'c2] ,,,,c1 | \
,,,a1 ,a ,,,,a | ,,,,,e1 ,c ,,a | ,,,,a1 a ,a | ,,a2 ,,c1 | ";;;;;;;;
30;d;moll;14r;Praeludium;;;;;3;",,,,a1 e ,,,,c | ,,,,d e ,,,c | ,,,e e ,,c | ,,e e ,,a | ,d e \
,d/4 ,c ,a/ | ,,e1 e c | ";;;;;;;;;;
31;d;moll;14v;Courante;V.Gaultier;L'Immortelle;;Conc_95;3;",,a/ ,,,c ,,a | [,,,'aa1]> ,,,a [,,,cc1] | [,,aad1] [,,aad] \
,a/ ,,,c | ,,,e/ ,,e ,,,,,a ,,,c ,,,a ,,,,c | [,a{,,,a}1] \
,c/ a/4 ,c a/ ,,,,a | ";;;;;;;;;;
32;F;dur;15r;Praeludium;Hinterleitner;;;Conc_3872;;"{,a} e ,d c e g {,,a} h ,f ,h f ,f {,a} ,h [,'f] a ,,h ,a \
,,,h ,,,f ,,a ,,,,f ,,,a";;;;;;;;;;
33;F;dur;15v;Ballet;E.Reusner;;;Conc_1498;C;"a/ | [ada{,a}1] ,,,,,a/> ,,d [,ab{d}1] ,,,a/> ,a | \
[,,d{,,a}/]> ,a [,,'bc/]> ,,a [,,a{,a}1] [,,,ad/]> e | \
[ed1] ,,,,a/ a [ca,,,c1] ,,,,,d/> ,c | ";;;;;;;;;;
