PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
75;B;dur;36v;Sarabanda;E.Reusner;;;Conc_1502;3;",,,,,a/ a ,a ,,,a ,,b a | [c{,,a}1] ,,,,b1> ,,d | {,a}/ a \
,,,a1 ,,a/ ,b | [,a{,a}1] [,,baa2] | {a}/ ,a ,,,,a ,,b ,,,c \
,a | ";;;;;;;;;;
76;B;dur;36v;Courant;E.Reusner;;;Conc_1503;3;",a/ | [,ab1] ,,,,,a/ ,b a ,a | {c}/ ,,d {a} ,,,a ,,b ,,,,c | \
[,,a{,a}1] [,,,'a] {,,a} | [,,ba{,,,a}1] {4}/ ,,,a ,,d ,,,,b | ";;;;;;;;;;
77;B;dur;37v;Sarabanda;E.Reusner;;;Conc_1212;3;"[,ab,,a/]> ,a [,aba1]> ,,,b | {,,a}/ ,,b [,,bcb1]> ,,b | \
[,bdc{4}/]> ,b [,'ba{,a}1] ,a | {a}/ ,a [,abc1]> ,a | \
[,b,,,c1] [,cbc1]> ,c | ";;;;;;;;;;
78;B;dur;38r;Courant;E.Reusner;;;Conc_1504;3;",a/ | [,ab,,a1] ,b [a,,,a] | [c{,,a}1] [,'b{4}3/2] ,a/ | \
[,,d{c}3/2] ,,,a/ ,,,,,a ,a | [,,d{,,a}/] ,,b [,,'a{,a}3/2] ,,a/ | \
[,,b,,a1] ,,,a ,a | [,,d{c}1] a3/2 ,,d/ | ";;;;;;;;;;
79;B;dur;38v;Gavotta;E.Reusner;;;Conc_1505;C;",a/ | [,ab,,a1] ,,,,,c/ ,b ,,,,a a {,,a} c | ['e{,a}1]> \
e [f{a}1] ,,,,a/ a | [c,,,b1] ,,,,,a/ ,a [,b,,,c1] [a{c}/]> \
,b | [,'a,,,a1]> ,,d [,,da{,a}1] :| ";;;;;;;;;;
80;B;dur;38v;Guigue;E.Reusner;;;Conc_1211;3;",,b/ | [,,b,,a2] ,,,a1 | [,ab2] [,b,,,c1] | ,,,,a1 a ,,,a | \
[,,'b2] a1 | ,,,,b1 ,,,c ,,d | [,,df{,a}2] [,,,'a1] | ,,,,,a1 \
,a ,,b | ,,,a2 ,a1 | ";;;;;;;;;;
81;g;moll;39v;sans;titre;-0;accord;;Passacaglia;;Conc_3922;3;"[cab{a}1] {,a} [c{,,a}] | [cb{4}1] e/ c ['b{,,,a}] ,a | \
[ca,,,b1] c [ca,,,d] | ['ba{,,,a}1] c [cab{a}] :||: [,abc{a}1] \
,a [,ab] | [,aa{,b}/]> ,b [,'a/]> ,,d [,,'b{a}1] | ";;;;;;;
82;g;moll;40v;Gavotte;;;;Conc_3376;2;"c/ ,e | [c{a}1] [e,,,e] [f,,,f] 'e/ c | [,ea,a1] \
[c,,,b] [,d,c,c] [,'b/] ,a | [,b,c,d1] [,aaaa] [ca,,,b1] \
,,d/ e | [,'ea,a1] {,,,a} ,,,,a :| ";;;;;;;;;;
83;g;moll;40v;Menuet;Gaultier;;;Conc_343;3;"[c{a}/] b c ,a ,b ,,d | [,ad{a}1] [,,'b] {,a} | {,,a}/ ,,b \
,,,c ,,b ,,a ,,,c | {,,,a}/ ,,,b ,a ,,d ,,b ,,a | ";;;;;;;;;;
84;g;moll;41v;Aria;;;;Conc_4073;2;"[c,b{a}/] {,a} [cb{,,a}] {,,,a} [cb{4}] [e,d] [ba{,,,a}1] | \
[ca,,,b/] [ca] [cb,,,d] c/4 ,,b [c,b,a/] ,,a b [c,b{a}] :||: \
[ed,,a/] e [cc] ,a";;;;;;;;;;
85;g;moll;41v;Menuet;Losy;;;Conc_3394;3;",,,c/ ,,,b ,,,c ,,a ,,,c1 | ,,,,,a1 ,,d ,,,a | {b}1 ,a ,,,c | \
[,b,,,d1] [,'a,,a] ,,d | [,,'b{a}1] ,,a ,,,c | ,,,c/ ,,,b \
,,,c ,,a ,,,c1 | ";;;;;;;;;;
86;g;moll;42r;Aria;;;;;C;"[,,bca{a}/] [,,a{,b}] [,,bc{a}] [,,a{4}/4] ,,,c [,,,ba{,,,a}/] \
,,,,a/4 {4} | [,,,cab/] [,a,,a{,b}] [,,bc{a}] [,,d{,,a}] \
[,aab{,,,a}] [,,ecca] [,aab{,,,a}1] :||: [,ea{,,,a}/] \
[,ca{4}/4] ,e [ca,,,b/] [,cb{a}/] ,a [,,ec,a]";;;;;;;;;;
87;G;dur;42v;Allemande;;;;;2;",,,c1 | {a}1 ,,,,a/ ,,,b ,,,c1 ,,,,,a/ ,,,b | ,,,,,c/ ,,,,a ,,,c \
,,,,,c ,,,,,a ,,,b {a} ,,,c | {,a}/ ,,,,a ,a {,,,a} {,,a} \
,,d [,a{,a}] ,,d | ";;;;;;;;;;
88;G;dur;43v;Courant;;;;;3;",,,c/ | {a}1 ,,,,a/ ,,,c ,,,,,a ,,,b | ,,,,,c/ ,,,,a ,,,c \
,,,,,c [,,,,,'a] {a} | {,a}/ ,,,,a ,a {,,a} {,,,a} ,a | {a}/ \
,,c ,,,c {a} [,,d,,a] ,,,,,c | ";;;;;;;;;;
89;G;dur;44v;Rondeaux;;;;;2;"[,ac{a}1] c ['b,,,,a/] ,c [,a,,,c] ,,,,,d | ,,,,,c/ ,a ,,,,,d \
,c [,'a{,a}] ,,d [,,'c{a}] ,,,,a | ,,,,c/ ,,d {,a} ,a {a} ,,c \
,,,,,a ,,d | ";;;;;;;;;;
90;a;moll;45v;Sarabanda;;;;;3;"[,,ae,a1]> ,,c ,,d1 | [,,c{a}1] [,,'a{,a}1]> ,a | [,c{,,a}1] \
,,,,c2 | ['c,d{,,a}1]> c [e,d{,a}1] | ['aa{,,,a}1]> ,c \
[,a,,,c1] | (,a/4 ,c) ,d/ [,'c,,,d1]> a | [,'ad{a}2] \
[,,dcc{4}1] :| ";;;;;;;;;;
91;a;moll;45v;Menuet;;;;;3;"[,,ae,a1] [,,ae{a}2] | [,,ae{,a}2] [,,ae{,,a}1] | \
[,,ae{,,,a}1] [,,ce2] | [,,,'d{,,a}1]> ,,,,e ,,,,c1 | \
[,,ae,a1] [,,ae{a}2] | [,,ae{,a}2] [,,ae{,,a}1] | \
[,,ce{,,,a}1] [,,,'d{,,a}3/2] ,,a/4 ,,,d | [,,aVe1] ,,,,,a2 :| ";;;;;;;;;;
92;C;dur;46r;Menuet;Losy;;;Conc_1506;3;"[{4}1] [,cd] [aa] | [cc{4}1] [aa] [cc] | [ed{,a}1] ['cc] [aa] \
 | [cc{4}/] [aa] [cc] [ed] [cc1] | {a4}1 [,cd] [aa] | [cc{4}1] \
[aa] [cc] | ";;;;;;;;;;
93;C;dur;46v;Menuet;;;;;3;"{4}1 [,cd] [aa] | {4}1 [,cd] [cc] | {4}1 [ed] [gf] | \
[h{4}1] h/ g ,h ,f | {4}1 [,cd] [aa] | {4}1 [,cd] [cc] | ";;;;;;;;;;
94;g;moll;46v;Guigue;;;;Conc_3873;3;",,,,a1 | [,,,cab3] | [,,,'b,a3] | [,,,cab3] | ,,,c2 ,,a1 | \
[,,b{a}1]> ,,d ,,b1 | [,,a{,,,a}1]> ,,b ,,d1 | [,,'b{a}3] | \
[,,a{a}2] ,,,,,d1 | [,,,cab3] | [,,,'b,a3] | [,,,cab3] | ";;;;;;;;;;
95;g;moll;47r;Menuet;;;;;3;"[,abc{a}2] [,bd1] | [,a{a}/] ,,d ,,b ,,a ,,,c ,,,,,a | \
[,a,,,d1] c [e,d,,a] | [fg{a}1] e/ f ,f1 | [a,b{,,,a}2] \
['f{a}1] | ['e{,a}/] ,f a ,b ,a ,,d | ";;;;;;;;;;
96;g;moll;47v;[Menuet];;;;;3;"[,,,c{a}1] [,,bc{,,,a}/] (,,a ,,b ,,a) | [,,,c{a}1] ,,,,a ,a | \
[,,'d,,a1] ,,,f/ ,,d ,a1 | [,,'bc{a}1] ,,a/ ,,b ,,,c1 | ";;;;;;;;;;
97;g;moll;47v;Menuet;;;;;3;"[,,,c{a}1] ,a ,,,c | [,b,,,d/] ,,,,a ,,,,,d ,,,,,b ,,,,,a \
{a} | [,a,,e/] ,b ,a ,,d [,,b{a}] ,,d | [,,a{,,,a}1] ,,,,a/ \
,,,,b ,,,,a ,,,,,d | ";;;;;;;;;;
98;d;moll;48v;Praeludio;1mi;toni;;;;Conc_3884;C;"{,,,a}/ ,,a ,,,a ,,,,c ,,c ,,,,,f/> ,,,,,e ,,,e/ ,,,,c ,,,c \
{,,,a} ,,,,a ,,,a ,,a [,a,,,d] ,,,,,b ,,a [,a,c/] ,,,,,a \
,,,e/4 ,,c V[,,d/]> ,,,,,a {,a}/";;;;;;;;
99;G;dur;49v;Pecheur;1°;;;;Conc_3909;3;"z1 [,,cc{a}3/2] ,,c/ | [,,cc{,,,a}1] [,,aba2] | [,,de,a1] \
,,d2 | [,,de{,,a}1] [,,ccc2] | z1 [,a,c,c3/2] ,a/ | \
[,a,c{,,a}1] [,,dc,a1]> ,,d | [,,db{,,,a}1]> ,a [,,cc{,,a}1] | \
{4}/ ,,c [,,'a] {,,,a} ,,,c ,,a | ";;;;;;;;;
100;G;dur;49v;Pecheur;2°;;;;Conc_3910;3;"[g,,,f1] | [e,,,e1] ,,f [c,,,c] | [,e,,a1] ,,c [,c,,,d] | \
[,a,,,c3/2] ,c/ [,,d,,a] ,a | [,,c{a}1] ,,,c [g,,,f] | \
[e,,,e1] ,,f [c,,,c] | [,e,,a1] ,,c [,cc{a}] | ";;;;;;;;;
101;G;dur;50r;Pecheur;3°;;;;Conc_3911;3;"{a}1 [,,cc] [,,ab{,,,a}] | [,,,c{,,a}1] [,aa{,a}] ,,d | \
[,,c{a}1] [,c,,,d] [,e,,,a] | [,'b,,,c1] ,,c [,,,,,'a] | \
{a}1 [cc] [ba] | [,ce,,a1] [ec,,,e] c | [,e,,a1] {,,,a} \
[,a,,,c] | ";;;;;;;;;
102;G;dur;50v;sans;titre;;;;Conc_1507;3;",,,c1 | [,,c{a}1]> ,,a ,,,c1 | [,aa{,a}1]> ,,d [,,c{a}1] | \
[,ccc1]> ,e [,cde1] | [,bc2] [bb,,,c1] | ['cc{,,a}1]> ,e \
[,c,,,e1] | [ea{,a}1]> ,,a [,a,,,c1] | [,ac{a}1]> ,c \
[,,e,,a1] | [,af{,,,a}2] :| ";;;;;;;;;
103;G;dur;50v;sans;titre;;;;Conc_1508;3;"[,acc{a}1]> ,,d ,,c1 | [,aa{,a}1] ,,,,a2 | [,acc{,,a}1]> \
,c [,,ee,a1] | [,af,a1] {,,,a}2 | [cc,,,d1]> ,d ,c1 | \
[c,f,,c1] ,,,c2 | [ccd,,a1]> e [,e,,,f1] | [,ffgf1] [,ff2] :| ";;;;;;;;;
104;G;dur;51r;sans;titre;;;;Conc_1509;3;"[cac{a}1] [ca/] c [b,,,,a] ,c | [,a,,,c1] [,ac{a}/] ,a \
[,c{4}1] | [,ed{,,,a}1] [,ed/] ,e [c,c1] | ['c,a,a1]> ,e \
[cf{a}1] | [cccc{,,a}1] [cc/] c ['b,,,,a] ,c | ";;;;;;;;;
105;G;dur;51v;sans;titre;;p.;52r;empty;;Conc_3924;3;"[,acc{a}2] [,ac1] | [,'aa{,a}1]> ,,d [,,c{a}1] | [,,a{,a}1] \
,,c [,,,c{,,a}] | [,,ac{,,,a}1] [,,,ba] ,,,,,d | [,a,c,c2] \
[,ac{a}1] | [,'aa{,a}1]> ,,d [,,c{a}1] | [,a{,a}1] \
[,'a{,,a}1]> ,,e | [,af{,,,a}1]> {,,a} {,a}1 | ";;;;;;;
106;D;dur;52v;Lauffensteiner;Ouverture;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1312;C;"a/ |: [aaaa{,,,a}1] [,aa] ,,,a/> ,,a ,,,,a/> ,,,a | \
[,,,aaa{,,,a}2] ,1 ,/ a/ | [aaa{,,,a}1] [,aa] ,,,a/> ,,a \
,,,,a/> ,,,a | [,,,aa{,,,a}1] ,,a (,a [,ca,,e]) | ";;;;
107;D;dur;52v;[Allegro];Lauffensteiner;;A;d;f#;a;d';f#';Conc_1313;6/8;"[,,ad1] ,3/2 |: ,,a/ | [,,,'a{,,,a}/]> ,,,,c ,,,,a/ ,,a1 ,a/ | \
[,,'e,,a3/2] ,,a1 [,aa{,a}/] | [,,c{a}/]> ,,d ,,c/ ,,a/> ,,c \
[,,,b{4}/] | [,,,'a{,,,a}3/2] ,,,,a1 ,,a/ | ";;;;;
108;D;dur;53v;Adagio;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1316;C;",/ [aa,,,d/] [aa,,,c] [aa,,,c] [,ce,,c/] [,ce,,c] [,ce,,c] \
[,ce,,c] | [a,e{d}/] [a,e{d}] [a,e{d}] [a,e{d}] [aa,,,c/] \
[ba,,,c] [ba,,,c] [ba,,,c] | [b,e,,a/] [a,e,,a] [a,e,,a] \
[a,e,,a] [a,c{a}/] [fc{a}] [fc{a}] [fc{a}] | ";;;;;
109;D;dur;53v;Men;(Allegro);Lauffensteiner;;A;d;f#;a;d';f#';Conc_1317;3;"[,aaa{,,,a}1] ,1 ,1 | [,aaa{,,,a}2] Vd1 | ['aa,,a1] (b/ a) \
,c a | [,'a,,a1] ,,d [da{,a}] | V[fa{a}1] (f/ d) ,f f | \
['d,,,a1] ,e d | V[fa{a}1] (f/ d) ,f a | ";;;;
110;D;dur;54v;Allemande;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1315;C;",,c/ | [,,caac/]> ,,,a ,,c/ ,a {d}/4 ,,e ,,,a ,,e a ,c \
[,'a{a}] ,,e | [,ae{e}/] ,,e/4 ,,c a/ [a,e,,a] {a}/4 a ,,c/ \
V[,c/] {,,a}/4 ,c | ";;;;;
111;D;dur;55v;Bourée;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1318;C;"d/> b | ['a,,,a1] ,a ,,a a | [,'c,,,e1] ,,a ,c [aa,,a] | \
V[bc{a}1] ([b(c/] [aa)]) ([b(c] [aa)]) ([b(c] [aa)]) | \
([,ce,,a/] ,a) [,ce] ,e [,ce1] ([d,,,,a/]> b) | ";;;;;
112;h;moll;56v;Sarabanda;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1314;3;"[aa,,,a/]> a | [,ce,,c1]> ,c [a{d}/]> ,,e | [,ae,,c1]> ,a \
,,,,,a/> ,,e | [,,'c{a}1]> ,a [,,e{,,a}/]> ,,c | [,,'b{,a}1] \
{,,a} [,,c{,,,a}/]> [,,e{4}] | [,ae,,c1] [,,e,,e] \
[,,'c,a/]> [,,a,,e] | ";;;;;
113;D;dur;57v;Rigaudon;Lauffensteiner;;A;d;f#;a;d';f#';;2;",,a1 | [,aa,a2] V[,ca,,e] | [aa,,a3] ,,a1 | [,aa,a2] \
V[,ca,,e] | [aa,,a3] [de{,,,a}1] | [fa{a}3] [ff{a}1] | \
['de{,,,a}3] [d{,,,a}1] | ['bc{a}2] [aa] | V[,ce,,a3] :||: \
,,e/> ,a | V[,ca,,e2] [aa,,a] | ";;;;;
114;h;moll;58v;Menuet;en;Rondeau;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1320;3;"[aa,,,c1] | ([b{,,a}/] a) (,c ,a) [,,e,,a1] | [aa{,,,a}1] \
[,'a/] ,,e [,,c{a}1] | [,,e{,,a}/] ,a ,c ,a ,,e ,,c | \
[,,'b{,a}1] ,,,a [aa,,,c] | ([b{,,a}/] a) (,c ,a) [,,e,,a1] | ";;;
115;D;dur;59r;Menuet;Lauffensteiner;;A;d;f#;a;d';f#';Conc_1319;3;"[,,,,aa{,,,a}1] [,,,aa] [,,aa] | [,,,aa1] ,1 ,1 | \
[,,,aa{,,,a}1] [,,aa] [,aa] | [,,aa1] ,1 ,1 | [,,aa{,,,a}1] \
[,aa] [aa] | [,aa1] [aa] [de] | V[bc{4}1] (d/ b) V[a(a{,,,a}] \
[bc)]) | V[,ce,,a1]";;;;;
116;G;dur;59v;Allemande;;;;Conc_5370;C;"c/4 | [cac{a}1] [cac/4] ,,c ,,d ,a [,,d,,a/] {a} [,'aa{,a}/]> \
,,d | [,,'c{a}/]> ,,d ,a/ {,a} {,,a}/4 ,,,c ,,a ,,c {4} [,,'c] \
,,a ,,,c | ";;;;;;;;;;
117;G;dur;60r;Menuet;;;;;3;"[c,c{a}1] ['b,,,,a1]> ,c | [,a,,,c/] V[,,,,,d] (,,,,,c ,,,,,a) \
{a}1 | [c{a}/] ,e c1 [e{,a}] | [ga{a}1]> h [,h{,a}1] | \
([c{,,a}/] ,e) c1 ,c | ";;;;;;;;;;
118;G;dur;60v;Courante;;;;;3;",a/ | [,'acc{a}3/2] c/ ['b,,,,a] ,c | ([,,,,,c/] ,a) ,,,c1 \
[,c,,,d] | ({,,a}/ ,c) [,'a{,a}3/2] ,,d/ | [,,'c{a}3/2] ,a/ \
[,,,b{,,,a}1] | [,,,c{,,a}1] ,,,,,e/ ,,c [,,'a] ,,,c | ";;;;;;;;;;
119;G;dur;61r;Bourée;;;;;C;"(,k/ h) | [kk{a}1] ({,a}/ e) ['c{,,a}1] [e,e/] c | \
[,ea{,,,a}/] c ,e ,c ,a1 ([c,,,,c/] ,e) | ([,c,,,d/] ,e) \
[c,,,,c1] ['ee,,,a3/2] ,f/4 e | g1";;;;;;;;;;
120;G;dur;61v;Menuet;;;;;3;"[,,'c{a}1]> ,,a ,,,c1 | [,a{,a}1] ,,a ,,c | [,,dc{,,a}1] \
(,,d/ ,,c) ,,d1 | ([,,,c{,,,a}/] ,,,b) [,,,c{,,a}1] [,,a{,a}] | \
[,,'c{a}1]> ,,d ,a1 | V[,c{4}2] (,c/4 ,a ,,d ,,c) | ";;;;;;;;;;
121;G;dur;62r;Guigue;;;;Conc_4027;6/8;",a/ | ,,c/> ,,a ,,,c/ ,,,b/> ,a ,,a/ | {a}/ ,,c ,,,,a [,,cc1] \
[,a,,e/] | ,,,,c/> c ,,,,a/ ,,,,,e/> e ,c/ | ";;;;;;;;;;
122;D;dur;62v;Partita;1a;-0;Praeludium;;;;;;"{,,,a}/ ,,,,a ,,,b ,,a ,a {a}/ ,,,,a ,,,c ,,c ,a \
{,a}/ ,,,,e ,,,e ,,a ,a {,,a}/ ,a [,,'e] ,a {,,,a}/";;;;;;;
123;D;dur;62v;Aria;;;;;C;"[,aVf{,,,a}1] {,,a} [,a{,a}] ([,a{a}/] ,c) | [,,e,,a1] \
[,ae,,c] V[,c,,,e] ,,a | [,e,,a1] [ce,,c] V[e,,,d] [c,,c/] \
,e | [,'c1] ,,,,,a [,ce] {a} | ";;;;;;;;;;
124;D;dur;63v;Minuet;;;;;3/4;"[,af{,,,a}1] [ee] [ee] | [ee{,,a}1] [cc] [cc] | [cc,,,e1] \
[cc] [,e,,a/] c | [,'c1] ,,,,,a {a} | {,a}1 [,ef] [,ef] | \
{a}1 [cc] [cc] | [cc,,,e1] [cc] [,e,,a/] c | ";;;;;;;;;;
125;D;dur;63v;Lamoulet;;;;;C;"k/ | [,a{,,,a}1] {,,a} {,a} [k{a}] | ['i,,,,a3/2] i/4 (,k \
,h1) [,h{,a}] | [,k{a}1] [,h{,a}] [,k{a}] k | [c{,,a}1] \
[,e{,,,a}] [c{,,a}] g | [,c,,,e1] [,a,,,c] [,c,,,e] e | ";;;;;;;;;;
126;D;dur;64v;Menuet;;;;;3/4;"[,af{,,,a}1] ,e [ce{,,a}] | [ea{,a}2] ([,e/] ,a) | [,,a{,a}1] \
[c{,,a}] [,e{,,,a}/] c | [,'c1] ,,,,,a ([,e/] ,a) | [,,a,,a1] \
[c{,,a}] ,c/ ,,e | [,,a,,a1] [,e{,,,a}] ([,e/] ,a) | ";;;;;;;;;;
127;D;dur;64v;Guigue;;;;;6/8;",,a/ | [,'a{,,,a}/] ,,e ,a [,a{,,a}] ,,e ,a | [,a{,a}/] \
,,e ,a [,'a{a}] ,,e ,a | ([,c,,,a/] ,a) ,c [,c,,,e] ,a ,c | \
[,e,,a/] c ,c [,'c,,,a1] [,e,,a/] | ";;;;;;;;;;
128;D;dur;65v;Partita;2a;-0;Aria;;;;;C;"[,e{,,,a}/4] (,c ,a/) [c{,,a}/4] ,e ,c/ [e{,a}1] {a}/ g | \
[e{,a}/4] ,f e/ ([,f{,,a}/4] ,e) ,f/ ([,e{,,,a}/4] ,c) ,e/ \
[,'c,,,a] ,e | ";;;;;;;
129;D;dur;65v;Menuet;S.L.Weiss;;;Conc_1510;3/4;"([,e{,,,a}/] ,c) ,a1 [,,e{,,a}] | [,ae{,a}1] ,,a/ ,,,c \
,,,,e1 | [,,,ce{,,a}1] (,,,,c/ ,,,,a) ,,,,,e ,,a | \
[,,,'b{,,,a}1] ,,,,c/ ,,,b ,,,,a1 | ,,,,a/ ,,,b ,,a1 \
[,a{,,,a}] | ";;;;;;;;;;
130;D;dur;66r;Sarabande;(adagio);;;;;3/4;"[,a,,a1] [ea{,a}] [ga{a}] | [,,'e,,a1]> ,,c [,,'a1] | \
[,a,,,c1] [c{4}] Ve | [,'e1] {,,,a}/ ,c ,a1 | [,e,,a1] \
[,'c,,,e] e | [,'a,,,c1]> ,,e ,a1 | ";;;;;;;;;
131;D;dur;66v;Menuet;;;;;3/4;"[,,a{,,,a}1] ,a [,ca{4}] | [,ea{,,,a}1] ,a [c{,,a}] | \
[,a{,a}1] e V[g{a}] | ,,a1 [,,e,,a] [,ae,,c] | {4}1 c \
V[,e{,,,a}] | [c{,,a}1] {,,,a} V[e{4}] | [,e{,,,a}1] \
[c{a}/] ,e (,c ,a) | ";;;;;;;;;;
132;D;dur;66v;Capriccio;allegro;;;;;3/4;"[e,,,a1] [e,,,e] [e,,,a] | [e,,,,e1] [e,,,,a] [e,,,,e] | \
[e,,,a1] [e,,,e] [e,,,a] | [e,,,,e1] [e,,,,a] [e,,,,e] | \
[e,,,a1] [e,,,,e] [c,,,,c] | [e{,a}1] [c{,,a}] [,e{,,,a}] | \
[,'c{a}1] ,a [,,'e,,a] | ";;;;;;;;;
133;D;dur;67r;Gig;;;;;6/8;"[,a{,,,a}/]> ,,e ,a/ ,,a/> ,,c ,,e/ | [,a{,,,a}/]> ,,e ,a/ \
,,a/> ,,c ,,e/ | [,a{,,,a}1] [,c{4}/] [,e{,,,a}/]> c ,e/ | \
[,'ce,,a3/2] ,,a1 ,c/ | ";;;;;;;;;;
134;D;dur;67r;"Lied ""Der Kerauß""";;sounds;familiar;somehow;;;C;"e1 | [ee,,a2] ,e1 e | [e{,,a}2] ,e1 e | [c,,,c1] [,e,,a] \
[,c,,,e] [,a,,,c] | [,,e,,a1] (,,c/ ,,e) ,,a1 e | [c,,,c1] \
[,e,,a] [,c,,,e] [,a,,,c] | [,,e,,a1] (,,c/ ,,e)";;;;;;;;
135;g;moll;67v;Partia;à;3;Violin.;Bass.;et;Liuto;N.1;-0;Allemande;;;;;C;"[,,,ca{a}3/2] ,,b/4 ,,a ,,,c [,,db,a/] ,a/4 ,b [,aa{,b}] ,,a \
,,b ,,d | [,,bc{a}/] ,,d/4 ,a ,b/ ,,,c/4 ,b {,a}/ ,,a/4 ,b \
,a/ {,a}/4 ,a | ";
136;g;moll;68r;Courante;;;;;3;",b/ ,a ,,d | {a}/ ,,b ,,,c ,,b {,a} ,,a | {,,a}/ ,,,c \
,,d ,,b ,,a ,,,c | {,,,a}/ ,a ,,a {4} ,,,,,b ,a | ";;;;;;;;;;
137;g;moll;68v;Xafar;;;;;C;"f/ e ,f ,d [,b,,,d] ,,,,,b ,,,,,a {a} | [,aa{,b}/] ,b ,a ,,d \
[,,b{a}] ,,,,,a {a} {,a} | [,,dc{,,a}/] ,a ,,d ,,b [,,aa{,a}] \
{a} {,a} {,,a} | ";;;;;;;;;;
138;g;moll;69v;Sarabanda;;;;;3;"[cab{a}1] | [bad,,a3/2] b/ [ca,,,b] {a} | [ead{,b}3/2] e/ \
[fa{a}1] | [ea{,a}1] {,,a}/ ,a c ,,d | [baa{,,,a}3/2] b/ \
[aaa,a1] | [eca,,e3/2] ,c/ ,d c | ";;;;;;;;;;
139;g;moll;69v;Double;;;;;3;"[,ab{a}/] c | [b,,,,a/] ,a ,,d b [ca,,,b] {a} | [ea{,b}/] \
,a ,,d e [fa{a}] ,a | [ea{,a}/] ,a [ca{,a}] ,a ,,d c | ";;;;;;;;;;
140;g;moll;70v;Menuet;;;;;3;"[,ab{a}1] (,a/ ,,d) ,,b1 | [,,db,a1] (,,d/ ,,b ,,d) ,a | \
[,bb{a}1] [,aa{,b}] (,a/ ,,d) | [,,bc{a}1] (,,b/ ,,d) ,a1 | \
[,bb{a}1] [,aa{,a}] [,,dc{,,a}] | ";;;;;;;;;;
141;F;dur;71r;Partia;à;3;liut.;Violin.;è;Basso;N.2;-0;Courante;;;;Conc_4020;3;",a/ ,,d ,,b | [,,a{,a}/] ,,,c/4 ,,a ,,,a/ ,,,c ,,a ,,b | \
{,,a}/ ,,d ,,,c ,,a ,,b ,,d | [,,a{,a}1] ,,,a/ ,,d ,a ,c | ";
142;F;dur;71v;Bourée;;;;;C;"[e,d{,a}1] | [c,d{,,a}1] a/ c [e,d{,a}1] c/ a | [,c{4}1]> \
,a ,,d1 [a,d,,a] | [,a,a{d}1] [,,da,a] [,,ba{a}] ,,,,c/ \
,,d | [,,aa{,a}1]> ,,,c ,,,a1 [,,aa{,a}] | ";;;;;;;;;;
143;F;dur;72r;Menuet;;;;Conc_3952;3;"[a{,a}1] ,,d/ ,,b ,,a1 | [,a{d}1] [,,,'c/] ,,,a ,,,,c1 | \
[,,,ada1] [,,,c{d}] [,,,c{4}] | [,,aa{,a}1] ,,a/ ,,,c ,,,a1 | \
[e,d{,a}1] (c/ a) (,c ,a) | ";;;;;;;;;;
144;F;dur;72v;Rigidon;;;;;C;"[e,d{,a}1] | [c,d{,,a}2] [e,d{,a}] | [,cdc{4}3] [a,d,,a1] | \
[,,bc{a}1] [,,dc{,,a}/] ,,b [,,aa1] {,a}/ ,,b | [,,,cc{4}2] \
,,,c1 [e,d{,a}] | [c,d{,,a}2] [e,d{,a}] | [,cdc{4}3] \
[,,da,a1] | [,a{d}/] ,c [ad1] [c{4}] ,c | [add{,a}3] :| ";;;;;;;;;;
145;F;dur;73v;Gig;;;;;6/4;"[e,d{,a}1] | [c,d{,,a}1]> e c1 [a,a{,,,a}] ,,c c | [,cdc{4}3] \
,,d2 [a,d,,a1] | [,a,a{d}1]> ,b ,a1 [,,dc{,,a}] ,a ,,b | \
[,,aa{,a}1]> ,,,c ,,a1 ,,,a2 [,,,c{,,a}1] | ";;;;;;;;;;
146;F;dur;74r;Menuet;;;;;3;"[ad{,a}1] | [,,aa{,a}1] ,,a [,,bc] | [,,da,a1] ,,a [,a,,,b] | \
[,,,c{4}1] ,,a ,,b | [,,a{,a}1] ,,,a [,,,c{4}] | \
[,,a{,a}1] ,,,a [,,,c{4}] | [,,a{a}1] ,,,a [,,,c{4}] | ";;;;;;;;;;
147;h;moll;74v;Partia;à;3.;liut.;Violin.;Basso.;N.3;-0;Allemande;;;;;C;"[ba,,,c/]> ,e c ,e ,c ,a ,,,,,e ,c ,,c ,c ,,b ,c ,e ,c | \
[,ae,,c/]> ,c ,e/ [,ee,,a] [,ec{a}/] g/4 ,a ,,h/ g | ";;
148;h;moll;75v;Courante;;;;;3;",,b/ ,,c ,,e | ,,,,,c/ ,a ,,c ,a ,c ,e | ,,,,,c/ c ,a c ,,e \
,,c | ,,,,,a/ ,e ,,e ,e ,,c ,,a | ";;;;;;;;;;
