PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
19;C dur;23v;Marche;;18;;Conc_501;C;"[,,d,,d1] ,,,,,d/ ,,,,,c V[,,d,,a] {a}/ {,a} | V[,,d{,,a}1] \
[,ac{,,,a}] V[,cd{4}] [,#a/]> ,,d | [,ad,,c1] #c/> a \
[,cd,,d1] [,ad,,c] | V[,,d,,a1] ,a/ ,,d [,,'c{a}] ,,a \
,,,c {,a} | ";;
20;C dur;24v;Gavotte;;18;;;C;"V[,,dcc{4}1] V[,,dcc{,,,a}] V[,,dcc{,,a}] V[,,dcc{4}] | \
[,,aaVd{,a}1] [,,,,#a/]> ,a [,,'cc{a}1] ,,,c/ {,a} | \
[,cVd{,,a}1] ,c/ c [,,aaVd{,a}1] {,,a}/ V,c | \
[aVda{,,,a}/] c ([,c] ,d) [,acc{a}1] ,,,c :| ";;
21;C dur;25v;Menuete;Losy;19;;Conc_1506;3;"{4}1 [,cd] [aa] | [cc{4}1] [cc/] [ba] V[cVc1] | \
[eVd{,a}1] [ed/] [(c(c] [a)a)1] | [cc{4}/] [aa] [cc] V[eVd] \
['cc1] | {4}1 [,cd] [aa] | [ccd{a}2] [ccd1] :| ";;
22;C dur;26v;Rigidon;;20;;;C;"[cc/] [ee] | [#cc{4}1] [,cd/] [aa] [cc{4}1] V[eVd{,a}] | \
[#cc{4}/]> [aa] [cc/] V[eVd] [#cc{4}] [aa] [,cd] [aa] | \
[cc{4}/]> [(c(c] [a)a)/] [cc] V[eVd{,a}] [cc] [#a#a] [,cd] | ";;
23;C dur;27v;Menuete;;21;;Conc_2739;3;"[,,dc{4}1] ,,,c {a} | [,,,cc1] {4} [,,,cc] | V[,,dc{4}/] \
,,c V,,d ,a V,c a | [cc,,,d1] {4} [cc] | V[c,d{,,a}1] ,,d \
V[e,d{,a}] | [#c,a{,,a}1]> a [,cd,,d1] | ";;
24;C dur;28v;Marche;;22;;;C;"[,cd/] [aa] | [cc{4}1] [cc/] V[eVd] [#cc{4}1] [,cd/] [aa] | \
[cc{4}/] [(a(a] [c)c)] [ed] [#cc{4}/]> [aa] [,cd/] [aa] | \
[cc{4}/]> [(c(c] [a)a)/] [cc] V[eVd{,a}] [cc] [#a#a] [,cd] | ";;
25;C dur;29v;Aire;;23;;;C;"{4}1 [,,,cc/] [,,,cc] V[,,d{4}1] [,a,c,c] | V[,c,,,d/]> ,c \
[,#a/] ,,d [,acc{a}1] {a}/ ,,,,,a | [,a,c,c1] #c/> a \
[,c,,,d/] ,a V[,c{,a}] a | [,#ad{a}3/2]";;
26;C dur;30v;Menuete;;24;;Conc_2740;3;"[,cdc{4}1] [#a{,,,a}3/2] ,c/4 a | V[c,d{,,a}/] {,a} {,,a} \
{,,,a} {4} [c,d] | V[e,d{,a}/]> c #a/ ,c [,#a] ,,d | \
[,,'cc{a}/] ,,a ,,c V,,d [,acc{a}1] | ";;
27;C dur;31v;Gavotte;;25;;;C;",,,c1 | [,,dc{4}1] ,,,,,c/ ,a V[,c,,,d1] {,,,a}/ a | \
V[c,d{,,a}/] ,,,,e [#a{,a}/]> ,c [,ac{a}1] #c/> a | \
[,cd,,d1] {4} [,ad,,a] (,c/ ,e) | [c,c1] {a} [c,c] :| ";;
28;C dur;32v;Menuete;Losy;26;;Conc_524;3;"V[h{4}1] ,f V,,h | [,a,c,c1] {a} {,,,a} | V[,,dc{,,a}1] \
[,ad{,a}/] ,c [,#a] ,,d | [,,'c{a}/] ,,a (,,,c ,,,a) (,,,,c \
,,,,a) | V[h{4}1] ,f V,,h | ";;
29;C dur;33v;Gigue;;27;;;3/8;",,,c/ | V[,,dcc{4}1] ,a/ | [,cd{4}/] ,,d [,cd/4] [aa] | \
[ccd{,,a}/] ,,d c | [ccd{,,a}1] [ccd/] | [edd{,a}/] ,,d \
[edd/4] c | [#aa{,a}1] [,cd/] | [,acc{a}/] ,,,c [,acc] | ";;
30;C dur;34v;Menuete;;28;;;3;"[,,,ccd{4}1] ,,,c/ ,,,c ,,,c ,,,c | ,,,c1 ,,,,,d \
[,,,ccd{4}] | [,,ac{,a}1] [,,,c{,,a}] [,,,a{,,,a}] | \
[,,,c{4}1] [,,,,'c] ,,,,a/ ,,,,,d | [,,,ccd{4}1] ,,,c/ \
,,,c ,,,c ,,,c | ";;
31;C dur;35v;Bourée;;29;;Conc_1390;C;"[,,,cc{4}1] | [,,ac{,a}1] [,,'c] V,,d ,a | [,,'c{a}1] \
(,,a/ ,,c) ,,,c1 [,,dc{,,a}] | [,,a{,a}1] [,,,c{a}] [,,,a,a] \
[,,,c,c] | [,,,,'c{4}1] (,,,,a/ ,,,,c) ,,,,,d1 [,,,c,c] | \
[,,d,,a1] [,,c,,c] [,,'a,,d] ,,,c/ ,,a | ";;
32;C dur;36v;Chiaconne;F.Dufault;30 - Tournez - 31;;Conc_1664;3;"[,cdc{4}1] [,cdc] [,cd] | [,a,a,c1] [,c,c/] [,a,a] \
[,,d,ca1] | [,,dcc{,,a}1] [,,dcc/] ,c [,a,a] [,,d,c] | \
[,,'d,a{a}1]> ,,c [,,dcc{4}1] :||: [ccdc{4}1] [ccd] \
c/ e | ['aa{,,,a}3/2]";;
33;C dur;38r;Menuete;;;;;3;"[,,d{4}/] (,a ,c1) c | [,,'c{a}1] ,,,c/ ,,a ,,c1 | [,c,,,d/] \
[,a,,,a] [,,d,c1] [,,'cc] | [,,d,,d/] ,,c ,,d ,a ,,d1 | \
[,,c{a}/] ,,,,,a [,,,c,c1] [,,,ba] | ";;
34;C dur;38v;Menuet;;32;;Conc_3761;3;"[,,d,,d/] ,a V,c1 a | [ca,,,c1] c/ a [,c,,,d1] | [a,,,c/] \
,c [aa,,,c1] [c,,,,d] | [,'aa{a}2] ,a1 | [,,d,,a/] ,,c \
[,,db1]> ,a | [,,'c{a}1]> [,,a,,a] [,,,c,c1] | ";;
35;C dur;38v;Gavotte;;;;;C;"[ccd{4}1]> [cc] | [hf{,,a}1] 'g/ ,h [,f{,a}1] 'a/ ,c | \
[,ac{a}1] [,ac] [c,d{,,a}] c | [e,d{,a}1] [c,d{,,a}] [a{,,,a}] \
[,c{4}/] a | [cac{a}1] [ca] ['c,d{4}1]> c | ";;
36;C dur;39v;Menuet;;33;;;3;"[,c,,,d1] e ['c,,,,c] | ['a,d,,a2] [,cc{a}1] | [,,'a{,a}1] \
,a [,,dc{,,a}] | [,,'ca{,,,a}3/2] ,,a/4 ,,c [,,d{4}1] | \
[,ad,,c1] ,,,,,c/ ,,,,,a {a}1 | [,c,c,d1]> a ,c | [,,d{4}/] \
,,c [,,'ab{,,,a}1]> ,,,c | ";;
37;C dur;39v;Menuet de nuit;;;;;3;"([c{4}/] e) c a ,c ,a | [,,d{4}/] ,,c ,,d ,a ,c a | \
[c,d{,,a}1] [c,d] c | ['a,d{,,,a}2] a1 | [,cd{4}1] a/ \
,c [,'a] ,,d | ";;
38;C dur;40v;Gigue;;34;;;3;",,d1 ,,d/ | ,c/> ,a ,,d/ | c1 e/ | 'a/> ,c ,a/ | [,c,,,d1] \
,,,,,d/ | ,,,,c/> ,,,,a ,,,,,d/ | [,a,,,c1] ,,,c/ | \
[,,d,,a/]> ,,c ,,a/ | ";;
39;d moll;41v;Menuet;;Da Capo;;Conc_2758;3;"[ada{,,,a}1] ,c/ ,d ,c ,a | [e,,,,a1] ,,,,,c [e,,,,e] | \
[ada{,,,a}1] ,c/ ,d ,c ,a | [e,,,,a1] ,,,,,e [e,,,,a] | \
[f{a}1] [e{,a}] [c{,,a}] | [e{,a}1] [c{,,a}] [a{,a}] | ";;
