PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;deuNotes;engNotes
75;d moll;83v;Gavotte;;9;;Conc_4159;C;"[ada{,,,a}1] [,'c/]> ,a V[,ca,,e1] Ve | e/ c ,,,,,c ,,,,,a \
[cc,,,e1] ,,,,,a/ ,c | [ac,,a1] {,,,a} a [,ca,,d1] ,,,,,a/ \
V,d | [,ab{d}1] {a}/ V,c | [,,ee,a1]> ,,,e :| ";;
76;d moll;84r;Menuete;;;;Conc_2754;3;"[,aa,a1] V[,ca,,(e] [,ca,,a)] | V[,da,a1] (,d/ ,c) ,,,,,b \
,a | {a}/ ,c ,,,,,a/> ,,b [,,'a/]> ,a | [,a,,a/] ,,e ,a \
,c [,#a1] | [,aa,a1] V[,ca,,(e] [,ca,,a)] | ";;
77;d moll;84v;Bourée;;10;;Conc_2755;C;"(e/ c) | [#aa,,a1] [,,e,,a] [,a,,,b] V[,c{a}/] ,a | \
[,,ee,a1] ,,,,,c/ ,a ,,,,,e V,c e c | [#aa,,a1] [,,e,,a] \
[,a,,,b] V[,c{a}/] ,a | [,,ee,a1] ,,,,c [,,ee] :| ";;
78;d moll;85r;Menuete;;;;Conc_2354;3;"[,,a,a1] ,a2 | [,,'e,,a1]> ,a ,c1 | [aa,,a1] [#c{a}/] a V,c \
,a | [,,e,,a1] V,c Ve | [,,a,a1] ,a2 | [,,'e,,a1]> ,a ,c1 | \
[aa,,a1] [#c{a}/] a (,c ,a) | ";;
79;d moll;85v;Aire;;11;;Conc_2868;C;"[,aa,a1] [,aa] V[,ca,,e] [,ca] | V[,da,a/]> c [,'c/] ,a \
V[,ca,,e/]> ,c ,,a/ ,c | V[,da,a/]> c [,'c/] ,a [,,ee,a1] \
[,aa{,a}/] {a} | [,#aa,,a1] ,,e/ ,a [,af,a1] {,,,a} :| ";;
80;d moll;86r;Menuete;;;;Conc_2867;3;"[,aa,a2] V[,ca,,e1] | [aa,,a1]> ,c a1 | {a}/ ,a V,c1 \
[,,e,,a] | [,a,,a/] ,,e ,a ,c [,#a1] | [,aa,a2] V[,ca,,e1] | \
[ac,,a1]> ,c a1 | {a}/ ,a Vc1 [,,e,,a] | ";;
81;d moll;86v;Sarabande;;12;;;3;"[ed{,,,a}1] [#cc1]> a | V[c,d{,,a}1] [e,e,,a1]> c | V[ed,,a1] \
[,'cb{a}1]> ,a | ,,,,,a/ ,,e ,,,e1 {a} | [e,d{,a}1] \
[c,d{,a}1]> c | V[e,d{,a}1] [,ad,,b1]> ,,,,,a | [a,b{a}/] c \
{4} ,,,c (,d ,c) | ";;
82;d moll;86v;Menuete;Losy?;;;Conc_505;3;"[ka{,,,a}1] [h{,,a}/]> (k h/) ,i | [,'h{,a}1] V,,i {,,a} | \
[aaa{,,,a}1] V[c{a}/] a (,c ,a) | ,,,,,a/ ,,e ,,,d1 {a} | \
[aaa{,,,a}1] V[hf{,,a}] h/ f | ";;
83;d moll;87v;Aire;;13;;Conc_2749;C;"V[e{,,,a}1] V[e{,,a}] V[e{,a}] [#c{a}/]> a | ,,,,,a/ V,c \
,,,,,b ,a ,,,,,a e ,,e {a} | {,a}/ ,a {,,a} V,,c {,,,a} ,c \
a ,a | [,cb{a}/] ,d [,'c/]> ,a [,,ee,a1] ,,,e :| ";;
84;d moll;88v;Menuete;;14;;Conc_2756;3;"[,aa,a1] {,,,a}/ (,d ,c ,a) | V[,ca,,e1] [,ca] Ve | \
[,#aa,a/] ,,e ,a (,d [,c{a}] ,a) | [,,e,,a/] (,,c ,,e) (,a \
,c) ,,a | [,aa,a1] {,,,a}/ (,d ,c ,a) | ";;
85;d moll;89v;Bourée;Losy;15;;Conc_506;C;"(k/ i) | [k{,,,a}1] [e,,,a] [cc,,c] V[,ca,,e/]> e | \
[#aa,,a1] ,c/ a ,a1 (k/ i) | V[k{,,,a}1] [aa,,a] V[,ca,,e] \
[,a{d}] | [e,e,,a1] [ec] e #a/> ,,d | ";;
86;d moll;90v;Menuete;;16;;Conc_2764;3;"[,#aa,a1]> ,,e ,a1 | ,,,,,e/ V,c ,,a1 ,c | [ac,,a1] V[c{a}/] \
a (,c ,a) | ,,,,,a/ ,,,,c ,,e (,,,c ,,,a) ,,,,c | \
V,,,,d/ ,,a ,a (,,,,d ,,,,c ,,,,a) | ";;
87;d moll;91v;Sarabande;;17;;;3;"e/4 #a/> [,(c] | [ad),,a1]> ,,,,,c [,,,,,#b] ,,,,,a | \
[,cb{a}/]> ,d [,'c1]> ,a | V[,ca,,a1]> ,,,,,b [,,,,,'a] {a} | \
[,ae{,a}1] V[,ce{,,a}/] (,a/4 ,c) | [aVd{,,,a}1] [#cc{,,a}3/2] \
,d/4 c | V[ed{,a}3] | ";;
88;d moll;92v;Gavotte;;18;;;C;"[kh{,,,a}/]> {,,a} {,a}/ {a} ['i,,,,a/]> {a} {,a}/ {,,a} | \
{,,,a}/> k [#h{,,a}/] ,i/4 h [,'h{,a}1] V,,i | V[,i{a}/]> \
{,a} {,,a}/ h [,h{,a}/]> {,,a} {,,,a}/ a | ";;
89;d moll;93v;Menuete;;19;;Conc_2750;3;"[ka{,,,a}1] (k/ i) Vk1 | ,h1 Vk V,,i | ,,,,a1 [,ca,,e] e/> \
c | [#aa,,a1] ,c/ a ,a1 | V[ka{,,,a}1] (k/ i) Vk1 | ,h1 Vk \
V,,i | ";;
90;d moll;94r;Gavotte;Losy?;;;Conc_509;C;",,,,d/ ,,,,c | ,,,,a1 Vk ['i,,,,a] V,h/ {a} | V[k{,a}1] \
['i{,,a}] V[k{,,,a}1] ,,,,d/ (,,,,c | ,,,,a1) [,'c/]> ,a \
V[fc{a}1] V[ed,,,a/] ,c | [,a{d}/] e #c/> e [ece,,a1] :| ";;
91;d moll;94v;Aire;Losy?;20;;Conc_2757;C;"V[e{,,,a}/] c #a ,c [eVd,,a1] ,a/ Vk | V[h{,,a}/] ,f V,h f \
V[,h{,a}1] V,,i | {,,a}/ Vc e ,c [ac{,,,a}1] [,cb{a}/] ,a | ";;
92;d moll;95v;Gavotte;;21;;Conc_1334;C;"[ed{,,,a}1] [,'c/]> ,a [ec,,,e1] [e,,,,d] | [kh,,i/]> \
,,,,,a {a}/ Vk 'i1 V,h | [h,i,,a/] ,,i (h k) V[,i{a}/]> \
,,,,,a {a}/ {,a} | V[h{,,a}/] ,,,h ,f f V[,h{,a}1] [ah] | ";;
93;d moll;96v;Menuete;Losy;22;;Conc_1980;3;"V[e{,,,a}2] ,a1 | [,,'e,,a2] [,a,,,c1] | V[,ca,,e1] ,,a \
,c | [ac,,a1] (c/ a) (,c ,a) | V[e{,,,a}2] ,a1 | [,,'e,,a2] \
[,a,,,c1] | V[,ca,,e1] ,,a [ac,,a] | V[,ce2] ,";;
94;d moll;97v;Bourée;;23;;Conc_4638;C;"e1 | [aa,,a/] c a1 [,c,,,d/] ,d V,c1 | [,ab{d}1] ,,,a/ ,a \
[,ab{d}1] [,,da,a] | V[,,bc{a}1] (,,d/ ,,b) [,,aa{,a}/]> \
(,,d ,,b) ,,a (,,,c ,,,a) | [,,,cc1] {4} [,,,cc] :| ";;
95;d moll;97v;Gigue;;;;Conc_1496;3/8;",,a/ | ,,,,a/ ,a ,,a | ,,,,,e/ (,a ,c) | ,,,,a/ a ,a | \
[,,,,,(b/] ,a [,,,,,a)] | {a}/ V,c ,a | ,,,,,a/ ,,e {a} | \
{,a}/ Ve ,a | ";;
96;d moll;98v;Menuete;;24;;Conc_2751;3;"[,ae{,,,a}1]> ,a [,ae1] | [,ca,,e1] (,c/ ,a) ,c1 | [,d,,a1] \
{a}/ ,d [,'c] ,a | [,,ee1] ,,,,,a {a} | [,ae{,a}1] {,,a} \
{,,,a} | [,ca,,e1] (,c/ ,a) ,c1 | ";;
97;d moll;99v;Gavotte;;25;;;C;"[,aaa{,,,a}/] ,,e ,a ,c [aa,,a1] ,,a/ ,,b | [,,dc{,,a}/] ,a \
,,d ,,b [,,'a{,a}1] ,,,a/ ,,b | [,,da,a1] (,,b/ ,,d) \
[,ad,,b] (,,d ,,b) ,,a | ";;
98;d moll;100r;Spanioletta;;Variatio 1ma - 26 [100v] - 2da - 3tia - 4ta - 27 [101v] - 5ta - 6ta - [102v] 7ma - 8ua - 9ua - 10ma - [103v] 11ma - 12ua - 13ma - [104v] 14ta - 15ta - 16to - [105v] 17ma - 18ua ;;Conc_525;3;"[,aaa{,,,a}1] [,aaa] [,aaa{,,,a}] | [,,ee,a1] [,,ee] \
[,,ee,a] | [,aaaa1] [,aa1]> [,aaaa] | [,ca,,d1] [,ca] \
[,ca,,d] | [a,aa{,a}1] a1> [a,aa{,a}] | [,cd,,d1] [,cd] \
[,cd,,d] | [,aaaa1]> [,aa] [,aaaa1] | [,,ee,a1] [,,ee] \
[,,ee,a] | ";Thema und 18 Variationen. 106r-v Leerseiten.;Theme and 18 variations. 106r-v empty pages.
;;;Accord francaise ordinaire du Ton F avec la tierce dure;;;;;;;;
99;F dur;107v;Prelude;;1 - Tournez;;;C;"{,a}/ ,,,a ,,d ,c a {a} ,,,,,a ,,d ,d a/4 ,d [,#b1]> a {d} \
,,,,a ,,,a ,,b ,a {d} ,,,,,a ,,,a V,,d ,a/4 ,,d V,,b/";;
100;F dur;108v;Rondeau;;2 - Du commencement;;Conc_520;3;"[,dde{,a}1] [,,de] [,,de] | [,,#d{,,a}1]> ,,b [,,#a] ,,,c | \
[,,,#a{,,,a}/] ,,,,c ,,,a ,,,c ,,a ,,c | V[,,d{4}/] ,,c V,,d \
,a V,c ,,d | [,dde{,a}1] [,,de] [,,de] | ";;
101;F dur;109v;Menuete;;3;;Conc_3418;3;"[,,aa{,a}1] [,,aa] [,,,cc{4}] | [,,aa{,,,a}1] (,,a/ ,,b) \
V[,,da,a1] | ,,,,,b/ ,a {,,a} ,,,c V,,d ,,b | [,,aa{,a}/] \
(,,b ,,a) ,,,c [,,,#a1] | [,,aa{,a}1] [,,aa] [,,,cc{4}] | ";;
102;F dur;110v;Aire;;4;;Conc_2774;C;"[aVd{,a}1] ,d/ ,c [aVd,,,a1] ,,d | [,a,a,b1] V[,,dc{,,a}/] \
,,b [,,'aa{,a}1] ,,,a | [,,aa{,a}1] [,,cc{a}/] {,a} \
V[,,dc{,,a}1] [,ad{,a}] | [,#ad{a}3/2] ,,d/4 ,a [,,dc{4}1] \
[,,dcc] :| ";;
103;F dur;111v;Menuete;;5;;Conc_510;3;"[,,da{,a}1] ,,,a [,,da,a] | [,ad,,a1] {,a} [,ad,,b] | \
[,,da,a1] ,a/ ,,d [,,b{a}1] | V[,,d{,a}/] (,,b ,,a) \
,,,c [,,,#a1] | [a,d,,a1] {,a} [aa,,a] | [aa,,,c1] {a}/ \
a ,,,,,d ,c | ";;
104;F dur;112v;Sarabande;;6;;;3;"[e,d{,a}1] | [#c,d{,,a}1] ,,d/ c [e,d1] | [#a,a{,,,a}1] \
[(a,(a] [c),b)] | [,cd{4}1] [,cb] [a,a] | [c,b{4}1] Vc/ a \
,c a | [aVd1] {,a} [e,d] | [#c,d{,,a}1] ,,d/ c V[e,d1] | ";;
105;F dur;113v;Menuete;Losy;7;;Conc_521;3;"[e,d{,a}1] [#c,d] V[e,d] | [#c,d{,,a}1] ,,d V[e,d/] c | \
[a,a{,,,a}1] Vc/ a V,c ,a | [,,d{4}/] ,,c V,,d ,a V,c ,,d | \
[e,d{,a}1] [#c,d] V[e,d] | ";;
106;F dur;114v;Aire;;8;;;C;"[aVd{,a}/] ,d c e [#c,d{,,a}1] ,,d | [,,da{,,,a}1] ,a/ ,,a \
V[,,bc{a}1] [,,bc/] {,a} | V[,,dc{,,a}/] ,a ,,d ,,b \
[,,aa{,a}/]> ,,d (,,b/4 ,,a) (,,,c ,,,a) | ";;
107;F dur;115v;Menuete;;9;;Conc_4070;3;"[,,aa{,a}1] (,,b/ ,,a) (,,,c ,,,a) | {,,a}1 ,,,c V,,d | \
[,aa{,,,a}1] ,a/ ,c V,d1 | ([c{4}/] a) (,c ,a) ,,d ,,b | \
[,,aa{,a}1] (,,b/ ,,a) (,,,c ,,,a) | ";;
108;F dur;116v;Bourée;;10;;Conc_67;C;"#a/> ,c | [aVd1] {,a} [,,#d,,a3/2] ,,,f/4 ,,d | V,,f1 \
,,,f {d} ,,f | [,,#da,a1] ,,,a/ ,,d [,,ba{a}1] ,,,,c/ ,,d | \
[,,a1] {,a} [,,aa] Ve | ";;
109;F dur;117v;Gigue;;11;;;3/8;"a/ | [aVd{,a}1] ,,,,d/ | [,,,,'c1] ,,,,,d/ | ,,,,,b/> ,a \
,,,c/ | ,,,,,a/> ,,d ,,,a/ | {a}/> ,,b ,,,c/ | {,a}/> ,,a \
,,,a/ | {,,a}/> ,,,c ,,d/ | {,,,a}/> ,,,a V,,c/ | ";;
110;F dur;118v;Marche;;12;;;3;"[,,da,a1] [,,da{,a}] ,a/ ,,d | [,,#ba{a}/]> ,,a V,,b/ ,,d \
[,,#b1] | [,,aa{,a}1] [,,aa/]> ,,d (,,b ,,a) ,,,c ,,,a | \
[,,,cc1] {4} [,,,cc] :| ";;
111;F dur;118v;Menuete;;Du commencement;;Conc_3737;3;"[e,d{,a}1] [e,d/] (c a) e | V[fa{a}1] f/ e [#c,d1] | \
[ed1] ,,,,,a V,,,,,b | [c,d{4}/] a [c,d] e [#c,d1] | \
[e,d{,a}1] [e,d/] (c a) e | V[fa{a}1]";;
112;F dur;119v;Aire;;13 - Du commencement;;;C;"[,,'aa{,a}1] [,,'z{,,a}] [,,'z{,,,a}] [,,'z{4}] | \
V[,,bc{a}/] ,,d [,,#b/]> ,,a [,,,cc{4}1] {,,,a} | \
{,,a}/ ,,,c V,,d ,,b [,,#aa{,a}/]> ,,d (,,b/4 ,,a) (,,,c ,,,a) | \
{4}/> ,,,c [,,,#a/]> ,,,,c [,,,aVd1] {,a} :| ";;
113;F dur;119v;Menuete;;;;Conc_4264;3;"[,,,ad{a}1] ,,,,d/ ,,,,c [,,,aVda1] | [,,,c,b1] V,,,,,b/ \
,,,,,a V,,,,,b1 | [,,d{4}1] ,a/ ,,d [,,#b{a}1] | [,,aa{,a}/] \
(,,b ,,a) (,,,c ,,,a1) | [aVd{,,,a}1] ,d/ ,c [aVd1] | ";;
114;F dur;120v;Ballet;;14;;;3;"[add{,a}/]> a [acb{a}/] c #a ,c | [add,,a/]> a ,,d1> ,,d | \
[,ad,,b/]> ,a [,,d{4}/] ,a V,,d ,,b | [,,'aa{,a}/] ,,,c/4 ,,a \
V,,,a1> ,,,a | [,,'aa{,a}/]> ,,a V[,,,c{,,a}1]> ,,d | ";;
115;F dur;121v;Menuete;;15 - Du commencement;;;3;"[,,da{,a}1] ,,,a [,ad,,b] | [,,da,a1] ,a/> ,,d [,,#b{a}1] | \
{,a}/ (,,a ,,b) ,,a (,,,c ,,,a) | V[,,,c{4}/] ,,,a (,,,,c \
,,,,a) ,,,,,d1 | [,,da{,a}1] ,,,a [,ad,,b] | ";;
116;F dur;122v;Gavotte;Losy;16;;Conc_2858;C;"[aVd,,d1] [ad,,c] [ad,,#a] [ad,,,d] | [ad{d}/] ,,,,,a {a} \
Vc [,'c,,,d1] ,,,,,d/ ,,,,,b | ,,,,,a/ a ,,d a V,,,,,b \
,,,,,a {a} Vc | [#a,,c{4}1]> ,c [aVd{,a}1] [ada] :| ";;
117;F dur;123v;Chaconne;Losy;17- Double - Tournez Vistement - 18 - Double - Double;;Conc_308;3;"[,,aad{,a}1]> ,,b ,,d1 | [,,dcc{,,a}1]> ,,b [,,a{,a}1] | \
[,,baa{,,,a}1] {,,a}/ ,,d {,a} ,,a | [,,,'c{4}1]> ,,,a \
,,,,c1 | [,,,aVd2] {,a}1 :||: {,a}/ ,,a ,,,a ,,,c ,,a ,,b | ";;
118;F dur;125v;Menuete;;19;;Conc_2792;3;"{,a}1 [,,aa] V[,,bVc] | {,,a}1 ,,,c V,,d | [a,d{,,,a}1] \
[,,'c] a | ([c{4}/] a) (,c ,a) ,,d ,,b | {,a}1 [,,aa] \
V[,,bVc] | {,,a}1 ,,,c V,,d | [a,d{,a}1] [,,'c] a | ";;
119;F dur;126r;Aire;;;;Conc_233;C;"V[,,de{,a}1] [,,de] V[,,dc{,,a}] [,,dc] | {,,,a}/ ,c V,d c \
{4} ,c ,,d ,,,,,b | ,,,,,a/ ,,d a ,,d [,a,a,b1] [,,da,a] | \
{a}/ ,,,,a [,,#d/]> ,,c [,,dcc{4}1] [,,dcc] :| ";;
120;F dur;126v;Menuete;;20;;Conc_2780;3;"[aVd{,a}1] ,,,a/ ,,,c ,,a ,,b | V[,,dc{,,a}/] ,,b V,,d ,a \
,,d1 | V[h{4}1] [#f{,,,a}] V[h{,,a}] | [,h{,a}/] ,f V,h f \
,h ,f | [aVd{,a}1] ,,,a/ ,,,c ,,a ,,b | ";;
121;F dur;127v;Bourée;;21;;;C;"#a/> ,c | [aVd{,a}1] [ada] V[,,dc{,,a}] [,,dc/] ,,b | \
[,,'aa{,a}1] [,,aa] [,,aa] [,,,,,#b/]> ,,,,,a | {a}1 \
#c/> a [,'c,c{4}1] #a/> ,c | [aVd{,a}1] [ada] [ad] :| ";;
122;F dur;128v;Gigue;;22;;Conc_2783;3/8;"#a/4 ,c | [aVd1] {,a}/ | {d}/> ,a ,,b/ | ,,,,,a/> ,,d \
[,,#b/] | [,,'aa1] ,a/ | {a}/> V,,b {,a}/ | {,,a}/> ,,d \
,,,c/ | [,,,#a1] Ve/ | {,,a}/> c ,,d/ | ";;
123;F dur;129v;Rondeau;;23 - Tournés Vistement - 24;;;3;"[,,aa{,a}/] ,,,c ,,a ,,b V[,,da,a1] | [,,'aa{,a}/] ,,,c ,,a \
,,b [,,'aa{,a}1] | V[,,da,a] [,aa,,b] [,a,a] | V[,,bc{a}1] \
[,,aa{,a}/]> ,,d (,,b/4 ,,a) (,,,c ,,,a) | [,,,c{4}/] ,,,a \
V,,,c ,,a [,,,cc{a}1] | ";;
124;F dur;131v;Menuete;;25 - Du commencement;;Conc_3738;3;"[aVd{,a}1] ,d/ ,c V[,d,,,a1] | [,a,a,b1] ,,,,,b/ ,,,,,a \
[,,,,,#b1] | [c,b{a}1] [,'c,c{4}1]> ,d | [,d{,a}/] ,c V,d \
c ,d c | [e,d{,a}1] e/ c V[e,d1] | ";;
125;F dur;132v;Aire;;26;;Conc_1397;C;"[aVd{,a}1] [ad{a}] [ad,,,a] [ad{,a}] | V[c,d{,,a}1] {,a}/ e \
[#c,d{4}1] ,,d/ c | {,a}/ Ve {a} f ,,,,,a Vh ,,,,,b c | \
{4}/ ,,,c [,'c/]> a [aVd{,a}1] [ada] :| ";;
126;F dur;133v;Menuete;;27;;Conc_2785;3;"[,,aa{,a}1] [,,aa/] [,,bc] [,,aa] [,,bc] | V[,,de{,a}1] ,,,a \
[a,a{,a}] | [#c,d{,,a}1] ,,d/ c V[e,d{,a}1] | [#c{4}/]> Va \
(,c/ ,a) ,,d ,,b | [,,aa{,a}1] [,,aa/] [,,bc] [,,aa] [,,bc] | ";;
127;F dur;134v;Echo Sarabande;;28;;Conc_2787;3;",,d1 | ""haut""[aVd{,a}1] [ada] [,,'d{,,a}/]> ,,b | [,,#aa{,a}1] \
,,,a ,,,,,a/ ,,d | ,,,,,b ,a ,,,,,a ,a ,,,,,d ,c | [aVd,,,a1] \
[ada] V[c,d{,,a}] | V[e,d{,a}1] #c/> a [#a,d{4}/]> ,c | ";;
128;F dur;135v;Menuete;;29;;Conc_2786;3;"V[e,a/] c | [#a,a{,a}1] [a,a] V[,,d{,,a}/] ,,b | [,,'aa{,a}1] \
,,,a/ ,,a ,,,,,a ,,d | ,,,,,b/ ,a ,,,,,a ,,d [,,#b{a}1] | \
V[,,a{,a}/] ,,d (,a ,c) (a c) | V[e,a{,a}1]";;
129;F dur;136v;Gavotte;;30;;Conc_4286;C;",,,a1 | [,,aa{,a}1] [,,aa] V[,,dc{,,a}] [,,'ca{,,,a}] | \
[,,dc{4}/] ,,c V,,d ,a ,,d1 ,,,,,d | [,a,c,c1] {a} c/ e \
#c/> ,d | [,#c{4}/] ,d V,c ,a ,,d ,,b [,,'a/]> ,,,c | ";;
130;F dur;137v;Menuete;;31 - Du commencement;;Conc_2788;3;"[,,aa{,a}1] [,,#b{a}3/2] ,,a/4 ,,b | V[,,da,a1] (,,d/ ,,b) \
V[,,da,a1] | [,ad,,b/]> ,,d [,,#b{a}1]> ,,a | [,,,cc{4}1] \
[,,,(c(c/] [,,,a)a)] [,,,cc{4}1] | [,,aa{,a}1] [,,#b{a}3/2] \
,,a/4 ,,b | V[,,da,a1] (,,d/ ,,b) V[,,da,a1] | ";;
131;F dur;138v;Bourée;;32;;;C;",,d/> ,,b | [,,'aa{,a}1] [,,,#c/]> ,,,a V[,,,c{,,a}1] ,,d | \
[add{,,,a}1] [,,#b/]> ,,a V,,b1 c | [,'c,c{4}1] {,,,a}/ V,d \
V[c,d{,,a}1] V[e,d{,a}] | [#c,d{4}/] a c e [#c,d{4}1] \
,,d/ ,,b | ";;
132;F dur;139v;Gigue;;33;;Conc_2789;3/8;",,d/ | [add{,a}1] [ad/] | [ccd{,,a}1] [cc/] | [edd{,a}1] \
Vf/ | [#c,d{,,a}1] V[h,,,,a/] | [#f{a}1] [,h{,a}/] | \
[,#f{,,a}1] [a{,,,a}/] | [,'c{4}/]> a c/ | [,,d,,a1] ,a/ | \
[,ad,,b/]> ,,d ,,b/ | ";;
133;F dur;140v;Sarabande;;34;;Conc_1384;3;"[ed{,a}1] [,,da,a1]> ,,d | [,aVb{d}1]> ,a [,cb{a}1] | \
[aVd{,a}1] V[c,d{,,a}] e/> Vf | [#c,d{4}1] [ccd2] | \
[ed{,a}1] [,,da,a1]> ,,d | [,aVb{d}1]> ,a [,cb{a}1] | \
[a,a{,a}/] Vc [,'c,c{4}3/2] a/4 ,c | [aVd{,a}1]";;
134;F dur;141v;Menuete;Losy;35;;Conc_1511;3;"[,,aa{,a}/] ,,,c ,,a ,,b [,,'a1] | ,,,c1 {,,a} [,,dc] | \
[,,da{,,,a}1] ,a/> ,,d [,,#b/]> ,,a | V[,,bc1] {a} {,a} | \
[,,bc{,,a}1] V,,d/> ,,b [,,'a/]> ,,,c | [,,aa1] {,a} {a} | ";;
135;F dur;142v;Aire;Losy;36;;Conc_2791;C;"[add{,a}1] [ad/] Vc [,c,,,d1] ,,,,,d/ ,,,,,b | \
,,,,,a/ a {a} Vc [ed{,a}1] [edd] | V[f{a}1] Vh ,,,,,a/ a \
,,,,,b c | {4}/ ,,,c [,'c/]< a [aVd{,a}1] [ada] :| ";;
136;F dur;143v;Menuete;;37;;;3;"[aVd{,a}1]> c Ve1 | [,a{d}1]> c a1 | [,c,,,d1] {4}/> c #a/> \
,c | [a{,a}/] ,c a c #a ,c | [aVd{,a}1]> c Ve1 | ";;
137;F dur;144v;Gavotte;Losy;38;;;C;",,d/4 ,,d | [,dd{,a}/] [,cb{a}] V[,da,,a/]> a V[c,d{,,a}/] \
Ve/4 f [e,d{,a}/] [#c,d{,,a}] | [#a,a{,,,a}/] [,cd{4}] \
[,aa,,c] V[,c,,,a/4] a V[c{a}/] [c,,,,c/4] a [,c,,,d/] \
,,d/4 ,,d | ";;
138;F dur;145v;Sarabande;;39;;;3;"[ed{,a}1] [ed/] [ff] V[hVh1] | [a,d,,a1] [a,d/] [cc] \
V[eVd1] | [,a{d}1] V[,cd] [a,d,,a] | [#a,b{a}3/2] ,c/4 a \
[aVd{,a}1] | V[,,ded1] [,,de/] ,,d [a,d,a1] | [,,ca{a}1] \
,,c/ {,a} V[c,d{,,a}1] | ";;
139;F dur;146v;Menuete;;40;;;3;"[aVd{,a}1] V[,,dc{,,a}1]> ,,b | [,,'aa{,a}2] [,,,c{,,a}1] | \
[,,aa{,,,a}1] (,,b/ ,,a) (,,,c ,,,a) | [,c,c{4}/] ,a [,c,c] \
,d [,'c,c{4}1] | [aVd{,a}1] V[,,dc{,,a}1]> ,,b | \
[,,'aa{,a}2] [,,,c{,,a}1] | ";;
140;F dur;147v;Aire;;41;;Conc_2793;C;"[aVd{,a}1] [ad/] {,,a} [ad{,,,a}1] [ad{4}] | [ad{d}1] Vc/ a \
,,,,,d ,c ,,d {d} | ,,,,,a/ ,,d a ,,d [,ad,,b] V,,,,,a {a} \
Vc | {4}/ ,,,c [,'c/]> a [aVd1] {,a} :| ";;
141;F dur;148v;Menuete;;42;;Conc_2792;3;"{,a}1 [,,aa] V[,,bVc] | {,a}1 [a,a] V[c,Vb] | {,a}1 [ed] \
[a,a] | ([#c{4}/]> a) (,c/ ,a) ,,d ,,b | {,a}1 [,,aa] \
V[,,bVc] | {,a}1 [a,a] V[c,Vb] | ";;
142;F dur;149v;Bourée;;43;;;C;"#a/> ,c | [aVd{,a}1] [,,da,a] [,ad,,b] [,cb{a}] | \
[aVd1] {,a} [ad] [,,aa] | V[,,bc{,,a}1] V[,,dc{,a}] \
[,,#bc{,,a}1]> ,,a | [,,,cc1] {,,a} [,,,cc] #a/> ,c | \
[aVd{,a}1] [,,da,a] [,ad,,b] [,cb{a}] | ";;
143;F dur;150v;Gigue;;44;;Conc_4108;3/8;"(,,d/4 ,c) | [aVd1] [c,d/] | [ed1] [ff/] | V[hVh1] [#ff/] | \
[e,d{,a}1] [c{a}/] | [#a,,,,a1] [c,,,,b/] | [,'c,,,d1] \
,,,,,b/ | [a,d,,a1] [c,b{a}/] | [e,d{,a}1] [#c,d{,,a}/] | \
[aad{,,,a}1] [,cd{4}/] | ";;
144;F dur;151v;Rondeau;A.F.Ginter;45 - Du commencement;;Conc_1231;3;"[,,,a,a1] [,,,c,b] [,,,,'c{4}] | [,,,aVd{,,,a}1] (,,,a/ ,,,c) \
,,a1 | [,,b,,b1] [,,,c,d] ([,,d{4}/]> ,,b) | [,,aa{,a}/] \
,,,c ,,a (,,b ,,a) ,,,c | [,,,a,a1] [,,,c,b] [,,,,'c{4}] | ";;
145;F dur;152v;Menuete;;46;;Conc_4043;3;"[ada{,a}1] [a(d/] [,c)] [,#a1] | [,,da{a}1] (,,d/ ,,b) \
[,,da,a1] | [,ad,,b1] [,,da,a] [,,'ba{a}] | [,,'aa{,a}1] \
,,a/ ,,b [,,da,a1] | {,,a}/ ,,,c ,,d ,a ,,d ,,b | ";;
146;F dur;153v;Courante des forgerons;Losy;47;;Conc_1378;3;"a1 | [aVd{,a}1]> ,d [,cb{a}] ,a | [,,da,a/] ,a [,,bc{,,a}3/2] \
,,a/4 ,,b | [,,ac{,a}1] ,,,c [,,,c{,,a}] | [,,ac{,a}1] \
[,,,'a] [,,da,a] | [,ad,,b1]> a [,cb,,d1] | [ed{,a}1] \
,,,e [cc,,,d] | ";;
147;F dur;154v;Menuete;;48;;;3;"[,,d{,a}1] ,,,a [,ad,,b] | [,,d{,a}1] ,,,a/ ,,,c ,,a ,,b | \
[,,d{,a}1] {,,a} {,,,a} | [,'c{4}1] ,,d/ ,a ,c a | \
[c,d{,,a}1] [c,d] [e,d{,a}] | ['c{4}1] ,,d/ ,a ,c a | ";;
148;F dur;155v;Menuete;;49;;Conc_2777;3;",,d1 | [ada,a{,a}1] [c{,,a}] V[ed{,a}] | ['cc{4}1] h/ f h \
,f | [aaa,,a1] 'f/ ,h [,'f] [ad] | [,'c1] ,,,,,d ,,,,,b | \
[ada,,a1] [c{,,a}] V[ed{,a}] | [,a,,,b1] [,c,,,d] [aVd,,,a] | ";;
