Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
21;g moll;47;Trio;;;Mandora;Conc_4971;3/4;"[abc,a1] ,,c [,,c,c] | [,,c,d/] ,a ,b ,d a1 | \
V[b,,a1] [a,,c/] ,d ,b ,a | V[,b,,a1] (,a/ ,b) ,,c1 | \
,,,c1 ,,c V,b |"
22;B dur;48;Gigue;;follow 2 empty unnumbered pages;Mandora;Conc_4972;6/8;"(,,a/4 ,,c) ,a | [,b,,d/] ,,a ,b [a,,,d] ,b a | \
[ab,,d/] d/4 b a d X,b1 [,,ac/] | \
[,,cd/] ,a [,b,c] [,d,a/4] a (b a) (,d ,b) |"
;;;[Sonata] No. VI Gallichone solo Del Sig.r Brescianello;;;;;;
23;G dur;52;Entrèe;;;Mandora;Conc_4973;C;"a1 | [f,a1] ,,c ,,c [,a,,,a] | '[,c,,a1] ,a/ ,c ,,c1 [a,,,e] | \
,,,a/4 c c ,,,,e a a ,,,,c ,d ,d ,,,,a ,c ,c |"
24;G dur;53;Menuet;;;Mandora;Conc_4974;3/4;"[,,c,a1] ,c a | ([f,,,a/] a) ,c ,,c [c,,a1] | [a,,,e1] [,d,,c] [,c,,a] | \
'[,a,,,a1] ,,,,,c ,,,,,e | \
V[,c,,a1] [a,,,e] (3[,d,,,a/4] ,c ,a) |"
25;G dur;54;Scherzo;;;Mandora;Conc_4975;2/4;",,c/ | [,c,,a/] ,,c a ,c | [,d,,c1] [,ab,,a] | \
[,c,,a/] [,,c,e] [,a,a] [,,b,,a] | V[,,c,a1] y/ [,c,,a] | \
[,a,,,a/] ,c ,d [,c,,a] |"
26;g moll;55;Aria;;segue Finale I;Mandora;Conc_4945;3/4;"[,,c,a3/4] ,b/4 a1 [,,b,c] | [,,c,d1] ,,,c2 | \
,,,a/ b [a,,,,e] ,d [,b,,,a] ,a | ('[,b,,a/] ,a) ,,c1 ,,,,c | \
,,,,d/ a f d b a |"
27;g moll;56;Finale II;;;Mandora;Conc_4977;2/4;"(,,c/4 ,,b) | [,,c,a/] ,b '[,a,,,a1] | [,b,,a/] a f (,,c/4 ,,b) | \
[,,c,a/] ,b '[,a,,,a1] | [,b,,a/] a f f |"
28;G dur;57;Finale I;;p. 58 empty;Mandora;Conc_4976;2/4;"(f/4 e) | [f,,,a/] a [cd,a1] | [cd,a/] [ac,,a] y (f/4 e) | \
[f,,,a/] ,c [,db,c1] | [,db,c/] [,cc,a] y ,,c/4 ,,b |"
;;;[Sonata] No. VII Gallichone solo Del Sig.r Brescianello;;;;;;
29;C dur;60;Allegro;;;Mandora;Conc_4978;2/4;"[,d,a1] [ff,,e] | V[,d,,c1] y/ [,d,e] | [a,a/] [c,,e] [d,,c] ,,,,a | \
'[c,,a1] [,c,,a3/4] e/4 | [f,,,e/] ,f [,d,,c] ,,,,,a | \
'[,c,,a1] [,a,,,d3/4] ,c/4 |"
30;a moll;62;Andante;;;Mandora;Conc_4979;2/4;"[cd,,c/] [cd,,c] X[cc,,a] [cc,,a] | h3/8 g/8 h/4 k 'g/ ,,e/4 ,,c | \
,,,a/4 ,h h ,h ,,,,,a d ,,,c ,,,a |"
31;C dur;64;Allegro;;p. 65 empty;Mandora;Conc_4980;2/4;",,,a/ c f ,,,,a | ,,,,c/ ,d c ,,,,,c | ,,,,,d/ a ,,,,a ,c | \
,d/ ,,c ,,,a1 | c/ ,,,a ,,,,c c | a/ ,,,,e ,,,,a a |"
;;;[Sonata] No. VIII Gallichone solo Del Sig.r Brescianello;;;;;;
32;G dur;67;Entrèe;;;Mandora;Conc_1727;C;"(a/ c) | V[f,,,a1] [,,c,a] [,,c,a] [,,c,a] | [,,c,,c1] [,,c,,c] [,,c,e] [,,c,e] | \
[,aca1] [,aca] [,,b,,a/] ,a a ,d | \
'[,c,,a1] ,a/ ,c ,,c1 [ac,,a] |"
33;G dur;68;Menuet;;;Mandora;Conc_1728;3/4;"([,c,,a/] ,d) a1 [c,a] | [ac,,a1] f '[e,,,,a] | \
([f,,,a/] a) ([c,,a] a) ,d1 | '[,a,,,a1] ,,,,,c ,,,,,e | \
[,c,,a/] a [,a,,,e] a [,,c,,c] a |"
34;G dur;69;Gavotta;;;Mandora;Conc_1730;2/4;"([f,,,a/] e) ([f,,,,a] e) | ([f,,,a/] a) [c,,a] ,d | \
[,,b,,a/] ,a a ,d | ([,c,,a/] ,a) ,c ,,c | ,,,a/ c ,,,,e a |"
35;G dur;70;Gigue;;;Mandora;Conc_1731;6/8;"a/ | [f,,,a1] a/ [,c,,a1] a/ | [,,c,a/] [,a,a] [,,b,,a] V[,,c,a1] [ac/] | \
V[c,,a/] ,d ,c '[,a,a] (,d/4 ,c ,a/) |"
;;;[Sonata] No. IX Gallichone solo Del Sig.r Brescianello;;;;;;
36;B dur;72;Allegro;;;Mandora;Conc_4863;2/4;",b/ | [d,,,c/] [d,,,a] [d,,,c] [d,,,,a] | \
'[a,,,d/] ,d/4 a (,b ,d) (a b) | \
,,,,c/4 d ,,,,a d ,,,,c d ,,,,,a d |"
37;g moll;74;Adagio;;;Mandora;Conc_4981;3/4;"[ab,,a3/4] b/4 [a,,,a3/4] b/4 [a,,,a3/4] b/4 | \
X[a,,,a2] (3f/ e f) | X[f,,,a2] (b/8 a) (,d ,b ,d ,a) |"
38;B dur;74;Allegro;;;Mandora;Conc_4982;3/4;"(i/ h) i d b d | a/ (,b ,a ,b) ,,a1 | (,b ,a) ,b ,,a ,,,d ,,a | \
,,,c/ ,b ,,a ,,,c ,,,,d1 | [a,,,d/] ,b ,,a ,b a d |"
39;B dur;76;Menuet;;;Mandora;Conc_4983;3/4;"(3a/ b d) ,b1 [,b,c] | ([,d,d/] ,a) [,d,c2] | \
[,,a,,a1] b/ ,d a ,a | ,b/ ,,a ,,,c ,,a ,,,,d1 |"
40;g moll;77;Trio;;;Mandora;Conc_4984;3/4;"V[,,c,a1] (f/ e) (f a) | ([b,,a/] a) Vb2 | \
(3,,,,,b/ ,a a) h/ ,d (,b ,a) | ([,b,,a/] ,a) (,,c ,,b) V,,c1 |"
41;B dur;78;Gigue;;p. 80 empty, followed by two other empty page;Mandora;Conc_4985;6/8;"([,b,,d/] ,a) ,b ([,b,,c] ,a) ,b | ([,b,,a/] ,a) ,b ([,b,c] ,a) ,b | \
([,d,d/] ,a) ,,a [,,a,,a] ,a ,d |"
;;;[Sonata] No. X Gallichone solo Del Sig.r Brescianello;;;;;;
42;F dur;82;Entrée;;;Mandora;Conc_4986;C;",d/ a | V[d,,,,a1] [,,a,a] [,,a,c] (3[a,,,,a/4] c d) | \
'[c,,a1] ,,,c ,,,e 'c/ d | \
(3[c,,a/4] d f) [,d,c1] [,d,e] (3[f,,a/4] h i) |"
43;F dur;83;Menuet;;;Mandora;Conc_4987;3/4;"X[h,,,,a2] (3[f,,a/4] h i) | '[h,,,,a1] ,a ,,a | \
[,i,,,a1] Vh '[f,,a] | V[h,,,,a1] ,a ,,a | \
,,,,c/ ,d d1 X[b,,,,a] |"
44;F dur;84;Allegro;;;Mandora;Conc_4988;2/4;",,a/ | [,d,e/] [,d,c] [,d,e] [a,,a] | V[d,,,,a/] [,,a,a] [,,a,c] [d,,,,a] | \
([f,,a/4] d) (c a) (,d ,b ,a) ,,c |"
