Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Recherche;;;Mandora;;none;"[,,,(f2] ,,c [,a,y)4] '[,,,(e2] ,,a [,a,y)4] [,,,(c2] ,,c ,c [,e,y)1] 'f2 ,,c1 \
,,d2 ,f ,,e1 ,c c2 ,,,a1 ,e ,,d";french4tab
2;;1v;Alemande;;;Mandora;;C;"e3/4 f/4 | h/ ,f ,e ,c ,a h f h | \
e/ ,f ,e ,f ,c3/4 f/4 [ea3/4] f/4 |";french4tab
3;;2r;Courante;;;Mandora;;3;"a1 | [af2] c/ a/4 c | e/ ,c f ,e c1 | [ef1] ,,c3/2 ,,d/ | \
[,af3/2] e/ c e | [ac1] ,,,c3/2 ,,,e/ |";french4tab
4;;2v;Seconde;;;Mandora;;3;",a1 | [,af2] ,c1 | [,cd1] ,,c [,ea] | [aacf3/2] [aac/] ,,,e1 | \
[caa3/2] e/ ,,,c1 | [,cc3/2] ,e/ a c | e1 ,f f |";french4tab
5;;3r;Troisiesme;;;Mandora;;3;",,c/ ,,d | [,af3/2] ,,c/ ,,,f ,,a | ,,,e1 ,,,a ,,d | [,cf1] ,,a ,,,e | \
,,,c1 ,,f ,,e/ ,,c/4 ,,e | [,af1] ,,,a ,c/ ,a/4 ,c |";french4tab
6;;3v;Sarabande;;;Mandora;;3;"[af1] [af] c | [,ef3/2] a/ ,,c1 | ,a1 [,cd] ,a/ ,,d | \
,a1 ,,,f ,,,e | [,ccc1] [,cc] ,e | ,f3/2 ,,c/ ,,d1 |";french4tab
7;;4r;Passemaise;;;Mandora;;C;"a1 c | e1 ,f '[fc] ,e | ,f1 e ,a/ 'c ,,d ,a | ,,c1 ,,,f a h/ f | \
e/ ,f ,d c";french4tab
8;;5v;En m'en revenant de S. Nicolas;;;Mandora;Conc_4434;C;"[af1] ,a [ac] [ce] | [ef1] ,e/ ,c ,a ,c ,,d1 | \
,,c1 h [fca] ,e | [ef1] ,,,c/ ,,,e ,,,f ,a ,c ,e |";french4tab
9;;6r;Volte - Ie veux mourir au Cabaret;;;Mandora;;3;"[ef1] [ec] [eb] | [ec1] a [ce] | [ef1] [ca3/2] a/ | \
[af1] ,f ,e/ ,c | [ca1] [ca] ,,e | [ca1] ,,d [,ac] |";french4tab
10;;6v;Recherche;;;Mandora;;none;",,f2 ,a3 ,c1 X,e ,,c ,f ,,e ,c d2 ,,f1 ,e d2 ,,,e1 ,,a ,a X,,d2 \
,,,f1 ,,c ,,a2";french4tab
11;;7v;Alemande;;;Mandora;;C;"a/ | [aef3/2] ,c/4 ,a ,c/ ,,e d3/4 ,f/4 | a/ ,,,a ,,,e ,,,f ,,a ,e ,c ,a/4 ,c | \
,a/ ,,c3/4 a/4 c e";french4tab
12;;8r;Courante;;;Mandora;;3;",a1 | [,af2] z/ ,c | ,,e1 d3/2 b/ | [aa1] ,,,e ,,,f | ,,a1 ,e ,c/ ,a/4 ,c | \
,a1 ,,f/ ,c ,,e ,a |";french4tab
13;;8v;Courante;;;Mandora;;3;"a/ b a/4 b | d1 ,,f ,,e/ ,,c | ,,a1 ,e ,c/ ,a/4 ,c | \
,e1 ,,c ,a3/2 ,f/ [,ce3/2] d/ |";french4tab
