Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Auflistung und viele Konkordanzen aus der Doktorarbeit von Pietro Prosser (1996);Listing and many concordances taken from Pietro Prosser's thesis (1996);;;;
;;;Fundamenta;;;;;;;
1;;1r;Praeludium;;;Mandora;Conc_4862;3/4;"[ab,,d3] | [dd,,c3] | [b,a,c3] | [ab,,d3] | [cb,,a3] | [cb,a3] | \
[da,,,a3] | [dc,,a3] | [cd,a3] | [ba,,,a3] | [,ab,,d3] |";
;;;Thonus Primus;;;;;;;
2;;1v;N:1 Marche;;;Mandora;Conc_4740;C;",,a1 |,,,,d/ ,b ,,,a ,b ,,,c ,b ,,,,d ,b | \
,,,,,a/ ,d ,,,,a ,d ,,,,c ,d ,,,,,a ,d |";
3;;2r;N:2 Menuet;;;Mandora;;3/4;",,,,a/ ,c a ,c ,,,,a1 | ,,,a/ ,d c ,d ,,,a1 | \
,,,,a/ ,c a ,c ,,,,a1 | [cd,a1] [cd,a] [cd,a] |";
4a;;2v;N:3 Menuet;;;Mandora;;3/4;"V[,b,,d1] ,,a ,,a | V[,d,,,a1] ,,a ,,a | [a,,,d1] ([b,,a/] a) ,d1 | \
'[,a,,,a1] ,,c/ ,a ,,a1 | ,,,,d/ ,,a ,b ,,a ,,,,d ,b |";
4b;;2v;[Fragment];;;Mandora;;3/4;(3,,,,d/4 ,,a ,b) (3,,,,d/4 ,,a ,b) (3,,,,d/4 ,,a ,b) | y y y;
5;;3r;N:4 Menuet;;;Mandora;Conc_4834;3/4;"[,b,,d/] ,,a [,b,,d] ,,a [,b,,d] ,,a | [,d,,c/] ,,a [,d,,c] ,,a [,d,,c] ,,a | \
[a,,,d/] ,,a [,d,,c] ,,a [,b,,a] ,,c |";
6;;3v;N:5 Menuet;;;Mandora;Conc_4832;3/4;",,,,d/ ,b ,,,c ,b ,,a ,a | V[,b,,d1] ,,a ,,a | \
,,,a/ b ,,,a b ,,,,d a | (3[,a,,,a/] ,b ,d) ,,a1 ,,a |";
7;;4r;N:6 Menuet;;;Mandora;Conc_5137;3/4;"(,,a/ ,,c) | V[,b,,d1] a [,d,,,a] | '[a,,,d1] ,d/ a ,b1 | \
,,,c1 d [b,,a] | [d,,c1] (b/ d) a1 |";
8;;4v;N:7 Quiq[ue];;;Mandora;Conc_4743;6/8;",,a/ | [,b,,d/] ,,a ,b [,b,,d] ,,a ,b | [,d,,c/] ,,a ,d [,d,,c] ,,a ,d | \
[a,,,d/] ([b,,a] a) [,d,,c] a [,b,,a] |";
9;;5r;N:8 Allegro;;;Mandora;Conc_4863;2;"[,b,,d/] | [d,,,c/] [d,,,a] [d,,,c] [b,,,,a] | \
'[a,,,d/] ,d/4 a (,b ,d) (a b) | \
[d,,,c/] [d,,,a] [d,,,c] [b,,,,a] |";
10;;6v;N:9 Tournèe;;;Mandora;Conc_4837;2;"[d,,c/] ,b ,b [f,,d] | [d,,c/] ,b ,b [f,,d] | \
([d,,c/] b/4 a) ([b,,a] a) ,d/ | \
[a,,,d/4] (,d ,b ,a) [,b,,d1] |";
11;;7v;N:10 Menuet;;;Mandora;;3/4;"V[,b,,d1] d [,a,,,a]| V[,b,,d1] ,a/ (,,c ,,a) ,,,d | ,,,c1 ,,,d ,,,a | \
,,,c1 (,,,a/ ,,,c) ,,,,d1 | [,d,,,a1] ,,a ,,,e |";
12;;8r;N:11 Quiq[ue];;;Mandora;;6/8;",,a/ | [,b,,d3/4] ,a/4 ,b/ [,d,,c3/4] ,b/4 ,d/ | [a,,,d3/2] ,b1 [,d,,c/] | \
[a,,,d/] a/4 ,d a/ [b,,a/] (b/4 a) b/ |";
13a;;8r;[Fragment];;;Mandora;Conc_4864;3/4;"[a,,,d1] b/ d (b a) (,d ,b) | [,d,,,a1] (a/ b) a (,d ,b ,a) | \
V[,b,,d3] | y y y";
13b;;8v;N:12 Me[n]uet;;;Mandora;Conc_4844;3/4;"[,,a,,a1] ,,a [,,a,,a] | [,d,,c1] ,d [,d,,c] | [d,,c1] d [d,,c] | \
'[c,,a1] (c/ a) ,d1 | ,,,,d/ a ,,,,d a ,,,,d a |";
14;;9r;N:13 Salzburger Mädl;;;Mandora;;3/4;"[,,a,,a/] ,a ,a ,,c [,,ca1] | [,,ca/] ,b ([,b,,a] ,a) [,a,,,a1] | \
[,a,,,a/] (,d ,b ,a) (,,c ,,a) | ,,,e1 ,,a [,,ca] |";
15a;;9v;N:14 Menuet;;;Mandora;;3/4;",,,,,a1 [,de] [,de] | [,(f(f/] [,d)e)] [,de2] | ,,,a1 [,(b(c] [,b)c)] | \
[,(b(c/] [,a)a)] [,aa1] ,,,,,a | (3[d,,,a/4] c a) ,d1 V[,d,a] |";
15b;;9v;[Fragment];;;Mandora;;3/4;[d,,,a/] c/4 a (3a ,d ,c) ,c/ ,a/4 ,,c y y y;
16;;10r;sans titre;;;Mandora;;3/4;"[,,a,,a2] [,,ca1] | '[,a,,,a1] V[,b,,a] z1 | (3[,a,,,a/] ,b ,d) [a,,,d2] | \
[,,ca1] [,aa,,a] z1 | V[,b,,a2] [,d,,c1] | \
'[,,a,,a1] [,,ca] z1 |";
17a;;10v;menuet;;;Mandora;;3/4;"[,de1] ,,,,,a [,ff] | [,de1] ,,,,,a d | ([c,,a/] a) (,d ,b ,a) ,,c | \
[,aa1] ,,,a ,,,,,a | [ac,,a1] d [c,,a] |";
17b;;10v;[Fragment];;;Mandora;;3/4;"([c,,,,a/] d) (d c) d1 | (d/ c/4 a) a/ (,d/4 ,b) (,b/ ,a/4) ,,c | \
',,c3 | y y y";
18;;11r;menuet;;;Mandora;;3/4;"[,,a,,a/] (,a ,d1) [,d,,a] | [,d,,c/] a (,d ,b ,a1) | \
'[,,a,,a/] (,a ,d1) [,d,,a] | [,d,,c/] a (,d ,b ,a1) |";
19;;11v;menuet;;;Mandora;;3/4;"X[,,a,,a2] [,,ca1] | ([,a,,a/] ,b) [,d,,c2] | V[,b,,a1] ,,c [,,ca] | \
([,a,,,a/] ,b) [,d,,c2] | X[,b,,a1] ,,c [,,ca] |";
20;;12r;sans titre;;;Mandora;Conc_4865;3/4;"[,,a,,a1] ,,a/ ,,,e ,,a1 | [,,ca1] [,b,,a] [,a,,,a] | \
'[,,a,,a1] ,,a/ ,,,e ,,a1 | [,,ca3] :||:";
21;;12v;Menuet;;;Mandora;;3/4;"X[,,a,,a2] [,,ca1] | '[,a,,,a1] ',,a [,d,,c] | [a,,,df1] Vd [c,,a] | \
[d,,,,a1] ,,a [d,,,c] | [a,,,d1] ,,c [,b,,a] | \
(3[,a,,,a/] ,b ,d) ,,a1 [,d,,c] |";
22;;13v;Marche;;;Mandora;;C;"(,,a/ ,,c) | V[,b,,d1] [,ba/] [,ba] [,bac1] [,da,c] | \
[ab,,d/] b [d,,c] [db,c1] ,,,d/ f | \
,,,c/ d X[b,,,a] a ,,,a b X[a,,,,a3/4] ,d/4 |";
23;;14v;Marche;;;Mandora;;C;",,a/ ,,,d | [,bac1] [,ba/] [,ba] [,bac1] [,aa,a] | [,ba,d/] ,d [ab,,d1] [ab,,d] ,,,d/ b | \
,,,,d/ a ,d ,b ,,,d ,d ([,d,,,a/4] ,b ,a/) |";
24a;;15v;sans titre;;;Mandora;;C;",,,a/ c ,,,a c ,,,c d ,,,c d | ,,,e/ f ,,,e f ,,,f h ,,,f h | \
,,,e/ f ,,,e f";
24b;;15v;[Fragment];;;Mandora;;C;(3a/4 c d) (3d/4 c a) (3c/4 a ,d) (3a/4 ,d ,c) | V[,d,a2] ||;
;;;Thonus Secundus;;;;;;;
25;;20v;N:1 Marche;;;Mandora;Conc_4819;C;",d/ a | V[d,,,,a1] d Vd ,d | '[,a,,,a1] ,,c/ ,a ,,a1 [,,ca] | \
,,,,,a/ ,,a ,,,,a ,,a ,,,,c ,,a ([,b,,a] ,a) |";
26;;21r;N:2 Menuet;;;Mandora;Conc_4822;3/4;",d/ a | V[d,,,,a1] d Vd | '[,,a,,a1] ,a [,,ca] | '[,a,,,a1] (,,c/ ,,a) [,,ca1] | \
[,,a,,a1] ,,,,a ,,,,c/ ,d | ,,,,d/ a ,,,,d a ,,,,c ,d |";
27;;21v;N:3 Menuet;;;Mandora;Conc_4916;3/4;",,,,,a/ ,,a ,a ,,a [,,ca1] | '[,a,,,a1] (,,a/ ,,c) (,a ,b) | \
[,d,,,a1] d [c,,a] | [d,,,,a3/2] ,d/ ,,,,c ,d |";
