Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;"Parthia à Mandora / Violino Primo, / Violino Secundo / Con / Basso
Mandora tab preceded by staff for 1rst Violin and followed with staff for Bass and 2nd Violin";;;;;;;
1;A dur;3r;Marche;;;Mandora;;C;"[faaa1] f/ f (f a) [h,,,,a] a | [k,,,a1] h ,f ,,,,a/ ,,,,r | \
,,,,e1 ,,,r ,,,a ,,,,e/ ,,,,r | \
,,,,e1 ,,,,c ,,,,c ,,,,a ,,c/ ,a |";french5tab
2;A dur;3r;Menuet;;;Mandora;;3/4;"[f,,,a1] [f,,,e] [f,,,a] | (3[e,,,,a/] f h) a1 [f,,,a] | \
(3[e,,,,a/] f h) a1 [f,,,a] | '[e,,,,a2] ,,,a/ c | \
([c,,,e1] a) ,,,,,a/ ,d |";french5tab
3;A dur;3v;Aria;;;Mandora;;3/4;"a1 | ([,d,,a/] ,c) ,a ,,c [c,,a1] | ([c,,,e1] a) [,,c,e/] ,c | \
([,c/] ,a) ,,c1 [,,b,,a] | ([,,b,a1] ,,c) [,,c,e/] ,c |";french5tab
4;A dur;4r;Menuet;;;Mandora;;3/4;"[,,c,a1] ,c a | [f,,,a1] ,,,,e ,,,,a | [h,,,,a1] k f | \
[f,,,a1] k [h,,,,a] | [k,,,,a1] f c | ,e1 ,,,,c ,,,,a |";french5tab
5;A dur;4r;Trio;;;Mandora;;3/4;",,,,a/ a ,,,,d a ,,,,c ,d | ,,,,a/ f (,b ,a) (,,c ,,b) | \
,,,,a/ a ,,,,d a ,,,,c ,d |";french5tab
6;A dur;4v;Finale;;;Mandora;;2/4;",,,,a/ a ,,,,c a | ,,,,e/ a ,,,,a a | ([c,,a/4] a) (,d ,c) ,a/ ,,c | \
[,,b,,a/] ,a ,,,c1 | [,,c,a/] ,c [,a,,,a] ,d |";french5tab
