Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
17;B dur;10r;sans titre;;;Mandora;;3/4;"[,,a,,a1] ',a [,b,,a] | [,d,,c2] [,a,,,a1] | [,b,,a1] [,,ca2] | \
[,,a,,a1] ,a [,b,,a] | [,d,,c2] [,a,,,a1] | [,,ca1] [,,a,,a2] :||: \
,,,,c1 ,d '[,a,,,a] | '[,,b,a1] [,,ca2] |"
18;B dur;10r;Aria - adagio;;;Mandora;;C;",d/ | ([,d,,,a/4] ,b ,a) ,,c ,,a [,d,,c] [a,,,d/] [,d,,,a1] a/ | \
V[d,,,,a/] '[,b,,a] [,aa,,a] [,,ca] [,aa,,a3/2] [,aa,,a/] | \
[,,ca/] ,a V,d [ac,,a] [c,,a] '[a,,,a1] [a,,,a/] |"
;;;ex F : Parthia;;;;;;
19;F dur;10v;Overture;;;Mandora;;C;"[daa,,a1] (c/ a) (,d ,b ,a ,,c) | [daa,,a4] | [daa,,a4] | \
[cda4] | [daa,,a2] [daa,,a1] [,d,,c] | [aba,d4] | [,da,c4] |"
20;F dur;10v;Allegro;;;Mandora;Conc_4863;2/4;",,a/ | ,d/ [,d,,c] [,d,,a] [,d,a] | '[,a,,,a/] [,,ca/4] ,a ([,,a,,a] ,,c) (,a ,b) | \
,d/ [,d,,c] [,d,,a] [,d,a] | \
'[,a,,,a/] [,,ca/4] ,a [,,a,,a/] [,d,,c] |"
21;F dur;11v;Gavotto;;;Mandora;;2/4;"[daa,,a/] ,d ,d [ab,,d] | [,d,,,a/] ,a ,a [,b,,a] | \
[,d,,c/] a/4 ,d [,b,,a/] [,a,,,a] | \
[,,ca/] (,,c/4 ,,a) [,,ca1] |"
22;F dur;12r;Menuet;;;Mandora;;3/4;",,,,,a1 d [c,,a] | [daa,,a1] (c/ a) ,d1 | [ab,,d/] ,b [,d,,c1] d | \
[,b,,a/] ,,c [,a,,,a1] ,,a | [a,,d/] ,b [,d,,c1] d |"
23;F dur;12v;Gig[ue];;;Mandora;;6/8;",,a/ | [,,a,,a/] (,,a/4 ,,c) ,,a/ [,aa,,a] ([,a(a/4] [,bc)]) [,aa/] | \
[,d,,c/] ([,b,,a/4] ,a) ([,b,a] ,d) [,aa,,a1] [,d,,c/] | \
[ab,,d/] d [,d,,c] [,b,,a] ,d [,a,,,a] |"
24;F dur;13r;sans titre;;;Mandora;Conc_4692;C;"[,,a,,a/] ,a '[,,ca] ,,a/4 ,,c [,a,,,a/] ',b (,a/4 ,b) | \
[,d,,c/] a Vd [f,,e] '[c,,a] (3a/4 c a) ,d/ d |"
25;F dur;13v;sans titre;;;Mandora;Conc_4693;C;"(3,d/4 a c) | V[d,,,,a/] ,d '[,a,,,a] ,,c/4 ,,a [ab,,d/] [ab] 'a ,d/4 ,b | \
[,a,,,a/4] ,b ,d d [,da,c/] (,b/4 ,a)"
26;F dur;14v;sans titre;;;Mandora;Conc_4695;C;"[,,a,,a1] [,aa/] [,aa/4] [,de] [,de/] [,de/4] d '[c,,a/] [d,,,,a/4] ,,a | \
a/4 ,b ,,,,d3/4 a/4 ,d/4 ,,a ,,,,c3/4 ,d/4 [,b,,a/] a ,d |"
27;F dur;14v;sans titre;;;Mandora;Conc_4697;3/4;"[,a,,,a1] ,a/ ,,c [,a,,,a1] | ,,,a/ ,,c ,b ,,c ,,,,,a ,a | \
[,,ca1] (,,,a/ ,,,c) ,,,a1 | '[,a,,,a1] ,a/ ,,c [,a,,,a1] |"
;;;Ex Thono 2do - Parthia 1ma;;;;;;
28;;15r;Marche;;;Mandora;;C;",d/ a | V[daa,,a1] (c/ a) (,d ,b ,a ,,c) | '[,,a,,a3] [,,ca1] | \
,,,,,a/ ,a ,,,,a ,b ,,,,c ,d ([,b,,a] ,a) |"
29;;15v;Aria;;;Mandora;;2/4;"(,d/4 ,b) | [,aa,,a/] [,,ca/4] ,a [,,a,,a/] (3a/4 c d) | \
'[c,,a/] (c/4 a) ,d/ (d/4 b) | \
,,,,d/4 a ,,,,c ,d ,,,,a ,b ([,d,b] ,b) |"
30;;15v;Menuet;;;Mandora;;3/4;"([,,a,,a/] ,,c) (,a ,b) (,d ,b) | [,aa,,a1] [,,ca/] ,a [,,a,,a1] | \
[ab,,d1] '[c,,a3/2] c/ | [daa,,a2] [,d,,c1] | \
[ab,,d1] ,b/ a ,b a |"
31;;16r;Trio;;;Mandora;;3/4;"(,,a/ ,,c) | [,aa,,a1] ([,aa/] [,bc]) ([,aa] [,bc]) | \
[,aa,,a1] ([,aa/] [,bc]) [,de1] | [,de,,a1] [,bc] [,aa] | \
'[,,ca3] (,,a/ ,,c) |"
32;;16v;Aria;;;Mandora;;3/4;",d1 | '[,a,,,a1] [,,ca/] ,a [,,a,,a1] | [,,ca1] (,d/ ,b ,a ,,c) | \
[daa,,a2] [daa,,a1] | [daa,,a2] [,,ca1] | [,aa,,a2] [,aa,,a1] |"
33;;17r;Menuet 1mo;;;Mandora;;3/4;"[,d,,,a1] a Vd | '[,b,,a1] ,,,a/ ,b [,a,,,a1] | \
'[,b,,a1] [,d,a] ,,,,a/ ,b | [,a,,,a1] [,a,,c] [,,ca] | \
,,,,,a/ ,a ,,,a ,,c ,,,,,a ,a |"
34;;17r;Menuet 2do;;;Mandora;;3/4;"[,d,,a1] (,a/ ,b) ,d1 | [,b,,a1] [,a,e/] ,,c [,a,,,a1] | \
[ab,,d1] '[,b,,a] [,a,,,a] | [,,ca1] [,a,,,a/] ,,a [,,ca1] | \
V[,b,,a1] [,a,,,a] [,,ca] |"
35;;17v;Gigue;;;Mandora;;6/8;",,a/ | [,,a,,a/] ,a ,,a [,a,,,a] ,,a ,a | \
[,d,,,a/] ,a ,d [d,,,,a1] ,,a/ | \
[,,a,,a/] ,a ,,a [,a,,,a] ,,a ,a |"
;;;Parthia 2da Ex F:;;;;;;
36;F dur;18v;Aria - adagio;;;Mandora;;2/4;"(,d/4 ,a) | [,,a,,a3/4] ,,,e/4 ,,a/ [,,ca] | \
'[,a,,,a3/4] ,,c/4 ,a/ [,,ca] | \
([,a,,,a/4] ,b ,d/) [,b,,a/] [,a,,,a] |"
37;F dur;19r;Menuet - allegro;;;Mandora;;3/4;",d/ a | V[d,,,,a1] ,,a '[,,ca] | '[,aa,,a1] [,,ca/] ,a [,,a,,a1] | \
[ab,,d1] (b/ a) (,d ,b) | [,aa,,a1] [,aa,c] [,,ca] |"
38;F dur;19v;Menuet;;;Mandora;;3/4;",d/ a | V[d,,,,a1] [d,,,c/] d [d,,,,a] d | '[c,,a1] [c,,e/] c [c,,a] c | \
[daa,,a1] (c/ a) (,d ,b) | '[,aa,,a1] ,,c/ ,a ,,a1 |"
39;F dur;20r;Boree;;;Mandora;;C;"(3,a/4 ,b ,d) | [,,a,,a3/2] ,,,e/ ,,a1 [,,ca] | \
'[,a,,,a3/2] ,,c/ ',a1 [,b,,a] | \
[,d,,c1] (,b/ ,a) [,b,,a1] (,a/ ,,c) |"
40;F dur;20v;Gigue;;;Mandora;;6/8;",d/ | [ab,,d1] [,d,,,a/] [ab,,d1] '[c,,a/] | \
[da,,,a/] (,d/4 ,b ,a ,,c) ,,a1 [,d,,,a/] | \
[ab,,d1] [,d,,,a/] [a,,,d] (,d ,b) |"
41;F dur;21r;Aria - adagio;;;Mandora;;C;"[daa,,a/] ,d/4 a (,d ,b ,a ,,c) [,a,,,a/] ,,a ,,a [,d,,c] | \
[a,,,d/4] ,b [,d,,c] ,a [,b,,a] ,,c [,a,,,a] ,,a"
;;;Ex Thono 3tio;;;;;;
42;;22r;Aria - adagio;;;Mandora;;3/4;"[,,ca1] ,d/ ,c ,d1 | [ac,,a1] a/ ,d a1 | [b,,,a/] a (,d a b d) | \
,,,d1 f [d,,c] |"
43;;22v;Rondeaux;;;Mandora;Conc_4778;C;"f1 | V,d1 (,d/ ,c) ,d1 [ac,,a] | '[b,,a1] (b/ a) ,d1 [ac,,a] | \
,,,a/ b ,,,c d ,,,d f [a,,,a1] | '[,c,,a1] (,c/ ,a) ,,c1 f |"
44;;23r;Rondeaux;;;Mandora;Conc_4778;C;"f1 | V,d1 (,d/ ,c) ,d1 [ac,,a] | '[b,,a1] (b/ a) ,d1 [ac,,a] | \
,,,a/ b ,,,c d ,,,d f [a,,,a1] | '[,c,,a1] (,c/ ,a) ,,c1 f |"
45;;23v;Menuet;;;Mandora;;3/4;"[,d,a3/4] (a/4 [b,,,,a/] a) ([,d,a] ,c) | [,d,a1] ,,c ,,c | \
,,,d/ f ,,,c d ,,,a b | [a,,,a1] (',c/ ,a) ,,c1 |"
46;;24r;Gigue;;;Mandora;;6/8;",,c/ | [,d,a/] ,,c ,d [,d,a] ,,c ,d | '[a,,,a/] ,,c a [a,,,a] ,,c 'a | \
'[b,,a3/4] a/4 ,d/ f3/4 d/4 b/ |"
;;;Parthia ex The Thono 6to:;;;;;;
47;;25r;Marche;;;Mandora;Conc_4679;C;"f1 | V[,d,a1] ,d V,d [ac,,a] | '[c,,,a1] (c/ a) ,d1 [ac,,a] | \
,,,a/ c ,,,,a a ,,,a c [d,a1] | \
'[a,,,a1] ,,,,c ,,,,e/ a ,,,,a a |"
48;;25v;Boree;;;Mandora;Conc_4785;C;",,c/ ,a | V[,d,a1] (c/ d) (c a) (,d ,c) | \
[,d,a1] ,,,c ,,,e [,d,a] | [ac,,a1] (a/ c) (d c) a ,d |"
49;;25v;Menuet 1mo;;;Mandora;Conc_4886;3/4;",,c/ ,a | V[,d,a1] (c/ a) (,d ,c) | [,d,a1] [,,c,,c] [,a,,,d] | \
[,,a,,a1] (d/ c) a1 | '[,c,,a1] ,d/ a ,,c1 |"
50;;26r;Menuet 2do;;;Mandora;Conc_4782;3/4;",,c/ ,a | V[,d,a1] ,,c c | [a,,,a1] (,d/ ,c) [,d,a1] | \
[a,,,a1] Vd [c,,a] | '[a,,,a1] ,,,,c ,,,,e | \
[f,,e1] ,,,a [i,,f] |"
51;;26r;Menuet 4to;;;Mandora;Conc_4786;3/4;"[,d,a1] (c/ a) (,d ,c) | [,d,a1] [f,,e] [h,,f] | \
[c,,a1] (d/ c) a1 | '[,c,,a1] ,d/ a ,,c1 | \
V[c,,a1] ([d,a/] c) [ac,,a1] |"
52;;26v;Gigue;;;Mandora;Conc_4783;6/8;",,c/4 ,a | V[,d,a/] ,,c ,d [,d,a] ,,c ,d | \
[,d,a/] (c/4 a) (,d ,c) [,d,a1] [,,c,,c/] | \
[,a,,,d/] ,,a ,a [,,a,,a] (d/4 c) a/ |"
53;;27r;sans titre;;;Mandora;Conc_4853;3/4;"V[,,c,a1] V,c/ a [,a,,,a] a | [,c,,a1] ,c/ a [,a,,,a] a | \
'[,c,,a1] ([,d,a/] ,c ,a ,,c) | [,,,b,a1] ,,c/ ,a ,,,c1 |"
54;;27v;sans titre;;;Mandora;;3/4;"V[f,,,a1] 'a a | '[,c,,a1] (,c/ ,a) ,,c1 | [ac,,a1] [cd,,a] [cd,,a] | \
[cd,,a1] f Vf | [ac,,a1] [ac,,a] [ac,,a] | [ac,,a1] f Vf |"
55;;28r;Aria;;;Mandora;Conc_4759;C;"f1 | V[f,,,a1] a/ (,d ,c ,a) (,,c ,,b) | \
[,,c,a1] ,,,,c ,,,,e/ a ,,,,,a ,a | \
,,,,a/ ,c ,,,,c ,d ,,,,e a [,d,a1] |"
;;;Parthia ex Thono 4ta;;;;;;
56;;29r;Aria - ad[a]gio;;;Mandora;;6/8;"[,,c,a3/4] (,a/4 ,b ,d) 'a1 '[b,,a/] | \
'[a,,,a3/4] (,d/4 ,b ,a) ,,c1 '[,a,,,a/] | \
'[,b,,a3/4] ,a/4 ,b/ ,,,,c ,d [,b,,a] |"
57;;29v;Menuet;;;Mandora;;3/4;"[,,c,a1] V(,b/ ,d) a1 | '[,b,,a1] (,a/ ,b) ,,c1 | \
,,,a/ b ,,,,d a ,,,,c ,d | '[,b,,a2] [,a,,,a1] | \
,,,,a/ ,b ,,c ,b ,,,,,a ,a |"
58;;30r;Bouree;;;Mandora;;2/4;"a/ | [,,c,a1] '[,a,,,a] | '[,b,,a3/2] [,a,,,a/] | \
[,b,,a/] [,a,,,a] [,b,,a] [,d,a] | [aab,,a3/2] 'a/ | \
[b,,a/] ,d ,d b | [a,,,d/] ,b ,b a |"
59;;30v;Aria - adagio;;;Mandora;Conc_4903;C;"a1 | [,,c,a1] [,a,,,a] V[,,c,a] 'a | [,,c,a1] [,a,,,a] V[,,c,a] b | \
[ab,,d1] ([b,,a/] a) (,d ,b) ,a1 | '[,,b,,a1] ,,c/ ,a ,,,c1 b |"
60;;31r;Gigue;;;Mandora;Conc_4779;12/8;"[,,c,a1] V,b/ (,b ,a ,,c) [aab,,a1] ,,,,,c/ ,,,,,e1 ,,,,,a/ | \
[,,c,a1] V,b/ ([,a,a] ,b) ,,c ([,,b,,a] ,,c) ,a ,,,c1 b/ |"
61;;31v;sans titre;;;Mandora;;3/4;"[f,,,a1] a (,c/ ,a) | V[,c,,a1] (,c/ ,a) ,,c1 | \
,,,,e/ a ,,,,c ,d ,,,,a ,c | '[,a,,,a2] [,,c,a1] | \
,,,,,a/ ,,b ,a a [,c,,a1] |"
62;;31v;sans titre;;;Mandora;;2/4;"[,,c,a/] ,,c V,c a | [,d,,c/] [,c,,a] [,d,,c1] | \
,,,,a/4 ,c ,,,,,a ,a ,,,,a ,c ,,,a ,d | \
'[,a,,,a/] ,,,,,c ,,,,,e '[,a,,,a] |"
63;;32r;sans titre;;;Mandora;;3/4;"[f,,,a/] a ,c a ,,c1 | V[,c,,a1] (,c/ ,a) ,,c1 | \
[f,,,a/] a ,c a ,,c1 | V[,c,,a1] (,c/ ,a) ,,c1 |"
