Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Gallichona 1ma;;;;;;
1;D dur;3;Aria;;;Mandora;;C;",a/ | [,a,,,a/] (,,a/4 ,,b) [,aa/] ,c [,c,,,a] [,a,,,a] y [a,,,,e] | \
([c,,,a/4] a) ,e a ,e c (e f) ([f,,,,a] e) Xe1 [c,b/] |"
2;D dur;4;Menuet;;;Mandora;;3/4;",a1 | ,,,,,a/ a ,,,b a ,,,,e a | ,,,,c/ a ,,,,a a ,,,,,e a | \
[c,,,a1] (c/ e) [f,,,c] ,a |"
3;D dur;5;Scherzo;;;Mandora;;2/4;",a/ | [,a,,,a/] [,a,,,c] [,a,,,e] ([,c,,,c/4] ,e) | \
[a,,,,a/4] ,a ,,a ,a ,,,,,a/ e | [c,b/] ,a ,a [,f,,e] |"
4;D dur;6;Guigue;;;Mandora;;6/8;",a/ | [,a,,,a1] ',a/ [,a,b1] ',a/ | [a,,,e1] 'a/ [a,,,,e1] 'a/ | \
[c,,,a1] Vf/ (e f) c | (e/ c) e a ,,,,,a e |"
;;;Gallichona 2da;;;;;;
5;D dur;7;Aria;;;Mandora;;C;",,a/ | [,,a,,a/] (,,,c/4 ,,,e) ,,a/ ,,b '[,,b,,a] ,,a y [,a,,,e/] | \
[,c,,a/] [,a,,,e] [,,be] [c,,b] 'c a ,,,,,a [ca,b] |"
6;D dur;8;Menuet;;;Mandora;;3/4;"a1 | ,,,,,a1 a ,,,,e | ,,,,c1 a ,,,,,e | ,,,,a1 ,e/ a [c,,,c] ,e | \
a/ ,a ,,a a (,e ,c) |"
7;D dur;9;Scherzo;;;Mandora;;2/4;",a/ | ,,,,,a/4 ,,a ,,,,,c ,,b ,,,,,e ,a ,,,,,c ,,b | \
,,a/ ,a ,,,,,a ,a | ,,,b/4 c ,a c ,,,b c ,a c |"
8;D dur;10;Guigue;;;Mandora;;6/8;",a/ | [,,a,,a1] ,a/ ,,,b1 ,a/ | ,,,,e1 a/ ,,,,,e1 a/ | \
,,,,a1 c/ ,,,,c1 ,e/ | [a,,,,a1] ,a/ ,,a1 a/ |"
;;;"Parts Flutte Traverse on pp. 1-2; Basso on pp. 12-13";;;;;;
