Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;1;Divertimento Primo per il Liuto Obbligato, Due Violini et Basso, del Sigr. Carlo Kohaut (1761);;;;;;
1;B dur;2;Molto Andante;K.Kohaut;Manuscript copied by hand, kept in Berlin as B-B11833;;Conc_4048;C;"{d}/ [,ab] ,,,,,a [,ab] {a}/ [,ab] {,,,a} [a,b] | \
{,,a}/ [,bd] {,a} [,ba] [,ab/] {d} ,,,,a ,,,a | "
2;B dur;4;Allegretto;K.Kohaut;;;Conc_4049;2/4;",,b/ | (,d/ {,,,a} [,b{a}]) [,a{,a}] | [c{,,a}/] [,a{,,,a}] \
,/ [aa/] | {,,a}/ [,bd] {,a} [,ba] | {5}/ [,ab] ,/ \
""Solo""(f/4 a) | (,d/ {,,,a} [,b{a}]) [,a{,a}] | "
3;B dur;6;Menuet;K.Kohaut;;;Conc_4050;3/4;"V[,,b{5}1] ,a/ ,,b ,d1 | [,#d1] {,,,a} [,'b{4}] | \
([,b{5}/] ,a) (c a) (,b ,a) | ([,,d{,,a}/] ,,a) [,,b{,,,a}1] \
,1 | [,c{4}1] c/ ,c ,,d1 | "
4;g moll;6;Trio;K.Kohaut;;;Conc_4051;3/4;"{a}/ ,,b ,a ,,b ,a ,,b | {a}/ ,,c ,a ,,c ,a ,,c | \
{4}/ ,,d ,b ,,d ,b ,,d | {a}/ ,,b ,a ,,b ,a ,,b | "
5;B dur;7;Presto - Finale;K.Kohaut;Followed by scores for Violino Primo, Violino Secondo et Basso;;Conc_4052;C;"(3{5}/ ,,b ,a) (3,d ,b ,a) [cb1] [aa] | \
(3{5}/ ,,b ,a) (3,d ,b ,a) [,b,c1] [,a,a] | \
(3{,,a}/ [,,(b] [,,d)]) (3,a [,,(d] [,,c)]) (3{,,a}/ ,,d ,a) \
(3[,(b] [,a)] ,,d) | "
