Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concordances taken from Pietro Prosser's thesis (1996);;;;;;
;;;Parthia I.;;;;;;
1;;1;sans titre;;;Mandora;;2/4;",d/ a | V[d,,,,a/] d V[d,,,,a] [,,ca] | '[,a,,,a/] ,,c/4 ,a ,,a/ [,,ca] | \
,,,,,a/4 ,,a ,,,,a ,,a ,,,,c ,,a ,,,,d ,,a |"
2;;2;Menuet;;;Mandora;Conc_4776;3/4;",d/ a | V[d,,,,a1] ,,a '[c,,a] | V[d,,,,a1] ,,a [,,ca] | \
'[,a,,,a1] (,,c/ ,,a) [,,ca1] | '[,,a,,a2] [,,ca1] | \
'[,a,,,a1] (,,c/ ,,a) [,b,,a1] |"
3;;2;Capricio;;;Mandora;;2/4;"[d,,,,a1] '[c,,a] | V[d,,,,a/] (c/4 a) [,d,a1] | \
,,,,d/ a ,,,,c [,da] | [,b'c/] ,,,a [,aa,,a1] | \
[,aa,,a/] [,de] [,bc] ,,,a | ,,,,a/4 ,,a ,a ,,a [,,ca1] |"
4;;3;Tournée;;;Mandora;Conc_4694;3/4;",,,,,a/ ,,a ,,,,c ,,a ,,,a ,,a | ,,,,,a/ ,,a ,,,,c ,,a ,,,a ,,a | \
,,,,,a1 'c/ a [,d,a1] | ,,,,d/ a ,,,,c ,d ,,,,,a ,a |"
5;;3;Menuet;;;Mandora;Conc_4947;3/4;",d/ a | V[d,,,,a1] ,,a [,,ca] | '[,a,,,a1] ,,c/ ,a ,,a1 | \
,,,,d/ a ,,,,c ,d [,b,,a1] | '[,a,,,a/] ,,c ,a ,,a [,,ca1] |"
6;;4;Gigue;;;Mandora;Conc_4687;6/8;",d/ | ,,,,c/ ,,a ,d ,,,,c ,,a ,d | ,,,,d/ ,,a a ,,,,d ,,a a | \
[,d,,c/] d ,d [,d,,c] [,b,,a] [,a,,,a] |"
;;;Parthia II.;;;;;;
7;;4;Marche;;;Mandora;Conc_4780;2/4;",d/4 a | V[d,,,,a/] 'c/4 a [,d,a] a ,d/ | \
'[,a,,,a/] ,,c/4 ,a ,,a/ ,d/4 a | \
V[d,,,,a/] 'c/4 a [,d,a] a ,d/ |"
8;;5;Menuet;;;Mandora;;3/4;",,,a1 | ,,,,,a/ ,,a ,a ,,a [,,ca1] | '[,a,,,a1] (,,a/ ,,c) (,a ,b) | \
[,d,,c1] ,,,,,a ,,,a | ,,,,,a/ ,,a ,,,,d a ,,,,c ,d |"
9;;6;Gavotte;;;Mandora;Conc_4680;2/4;",,,,,a1 'c/ a | ,,,,c/ ,d [,b,,a] [,a,,,a] | ,,,,d/ a [,d,,c] [,b,,a] | \
,,,,c/ ,d [,b,,a] [,a,,,a] | ,,,,a/ ,b [,a,,,a] [,,ca] |"
10;;7;Aria;;;Mandora;;C;"[,da,,a/] ',a/4 ,,c [,,a,,a/] [ab,,d] [,d,,c/4] d [,d,,c/] '[,a,,,a] [,,ca] | \
'[,a,,,a/4] ,,a [,b,,a] ,,c [,d,,c] ,,a [a,,,d/] \
,,,,c/4 ,d [,b,,a] [,a,,,a]"
11;;8;[illeggible];;;Mandora;;3/4;"[,a,,,a/] ,d a ,d [,b,,a] ,a | [,,ca1] ,,a/ ,,,e [,,a,,a1] | \
,,,,d/ a ,,,,a [cb] ,,,,,a [da] | [,,ca1] (,,c/ ,,a) [,,ca1] |"
12;;8;Gigue;;;Mandora;;6/8;"d/ | [d,,,,a/] c a ,,,,c ,d [,b,,a] | [,a,,,a/] ,b ,d [,,a,,a1] [,,ca/] | \
[,a,,,a/] ,b ,d [,d,,c] [,b,,a] [,a,,,a] |"
;;;Parthia III;;;;;;
13;;9;Praelude;;;Mandora;;C;",,,a/4 ,,c ,d ,,c ,,,a ,,d ,d ,,c ,,,a ,,c ,d ,,c ,,,a ,,c ,d ,,c | \
[cd,a4] | [ac,,a4] | [dc,,a4] |"
14;;9;Marche;;;Mandora;;C;",,c/4 ,a | V[,d,a/] ,d V[,d,a] [ac,,a] '[c,,a] '[a,,,a] V[,d,a] [ac,,a] | \
,,,a/4 c ,,,,a a ,,,a c [d,,c/] '[a,,,a/] ,,,,c"
15;;10;Menuet;;;Mandora;Conc_5236;3/4;",,c/ ,a | V[,d,a1] ,,c V[c,,a] | '[a,,,a1] ,d V[,d,a] | \
,,,,a/ a ,,,c d ,,,a c | '[a,,,a1] ',c/ ,a ,,c1 |"
16;;10;Arietta / Allegro;;;Mandora;;2/4;",,c/4 ,a | V[,d,a/] ,,c [a,,,a] ,,c | V[c,,a/] (d/4 c) [a,,,a/] ,,c | \
V[c,,a/] (a/4 d) [d,,c/] [c,,a] | [a,,,a/] ,,,,c ,,,,e ,,,,a |"
17;;11;Pastorella;;;Mandora;Conc_4777;3/4;"c/ d | [f,,a1] ,d [ac,,a] | V[,d,a1] ,,c [ac,,a] | \
'[c,,a1] '[a,a/] ,d [ac,,a1] | V[,d,a1] ,,c [ac,,a] | \
,,,a1 [cd/] ,,,a ,,,,a [df] |"
18;;12;Gigue;;;Mandora;Conc_4783;6/8;",,c/ [,aa] | V[,d,a/] ,,c ,d [,d,a] ,,c ,d | \
[,d,a/] (c/4 a) ,d/ V[,d,a] ,,c [,,c,,c] | \
,,,,,d/ a ,,,,,c ,,,,,a (d/4 c) a/ |"
;;;Parthia IV.;;;;;;
19;;13;Marche;;;Mandora;Conc_4785;C;",,c/ ,a | V[,d,a1] (c/ a) (c a) ,d1 | V[,d,a1] ,,,c ,,,e [,d,a] | \
[ac,,a1] (a/ c) (d c) a ,d |"
20;;13;Menuet;;;Mandora;Conc_4786;3/4;"V[,d,a1] (c/ a) ,d1 | V[,d,a1] [f,,e] [h,,f] | \
V[c,,a1] (d/ c) a1 | '[,c,,a1] V,d/ a ,,c1 | \
V[c,,a1] (d/ c) [a,,,a1] |"
21;;14;Menuet;;;Mandora;;3/4;"[,d,a1] ,,,,a/ c (c/4 a) ,d/ | ,,,,e/ a ,,,,a d d/4 (c a/) | \
[c,,a1] (d/ c) a1 | '[,c,,a1] V,d/ a ,,c1 |"
22;;14;Trio;;;Mandora;Conc_4951;3/4;",,,a/ ,,c ,d1 '[a,,,a] | ,,,,a/ ,c a1 '[c,,a] | \
,,,e/ f [d,,c1] '[a,,a] | '[,c,,a1] V,d/ a ,,c1 | \
,,,a/ ,,c ,d1 '[a,,,a] |"
;;;Parthia V.;;;;;;
23;;15;Marche;;;Mandora;Conc_4949;C;",d/ a | V[d,,,,a1] 'c/ a [,d,a] ,b ,a ,,c | \
,,,,,a/ ,,a ,,,e ,,,c ,,,a ,,,,d ,,,,c ,,,,a |"
24;;16;Menuet;;;Mandora;Conc_4720;3/4;",,,,,a1 [da] [cb,a] | ,,,,,a1 [da] [cb,a] | ,,,,,a1 'c/ a [,d,a1] | \
'[,a,,,a2] [,,ca1] | ,,,,d1 [ab] [,da,c] | \
,,,,a1 [,bc] [,aa,,a] |"
25;;16;Aria;;;Mandora;Conc_4721;3/4;",,,a/4 ,,,c ,,,e | ,,,f/4 ,,a ,a ,,a ,,,f ,,a ,a ,,a ,,,e ,,a ,a ,,a | \
,,,c/4 ,,a ,a ,,a ,,,c ,,a ,a ,,a ,,,a ,,a ,a ,,a |"
26;;17;Adagio Aria;;;Mandora;;3/4;",d/ a | V[d,,,,a1] f 'c/ a | ,,,,c/ ,d ,,,,a ,b ,,,,,a ,a | \
,,,,d/ a ,,,,c ,d ,,,,a ,b | '[,a,,,a/] ,,c ,a ,,a [,,ca1] |"
27;;17;Menuet;;;Mandora;Conc_4916;3/4;",,,,,a/ ,,a ,a ,,a [,,ca1] | '[,a,,,a1] (,,a/ ,,c) (,a ,b) | \
[,d,,c1] [d,,,,a] '[c,,a] | V[d,,,,a1] ,,a/ ,d ,,,,c ,d |"
;;;Parthia VI.;;;;;;
28;;18;Menuet;;;Mandora;Conc_4696;3/4;",,,,,a/ ,,a ,a ,,a ,,,,,a ,a | [,,ca1] [,,ca] ',a/ ,,c | \
,,,,,a/ ,,a ,a ,,a ,,,,,a ,a | \
[,,ca/] ,,,c ,,,a ,,,,d ,,,,c ,,,,a |"
29;;18;Menuet;;;Mandora;;3/4;"[,d,,,a1] a V[d,,,,a] | ,,,,c/ ,d ,,,,a ,b ,,,,,a ,a | \
,,,,d/ a ,,,,c ,d ,,,,a ,b | '[,a,,,a/] ,,c ,a ,,a [,,ca1] |"
