PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Montbuysson
11;;2v;[Amarilli mia Bella];Caccini arr.;Fragment;OT;ConcR799;none;"[hfa,h] [ca,b] [da,c] [,ea,c] [abb,d] [caaec{a}] [caaec{a}] | \
[ha,f,d] [f,,a] c [f,,a] [d,,c] [caabc]";
12;;3r;Amarilli mia bella;Caccini arr.;;OT;ConcR799;none;"[hff,h1] [ca,b] [da,c2] [,ea,c1] [abb,d] [caabc2] [caabc3] | \
[hd,f,d1] [fd,a] c [fdaa2] [da,c] [caabc] [hd,f,d] [ff,,d1] \
[ff,,d/] d [fdaa2] [dab] [hd,f,d1] ,,,,a [caa,c2] |";
13;;3r;sans titre;;;OT;;none;"K:frenchtab
[cdda] [,aa,c] [acd,a] [cdda] [cdda] [a,d,e] [cdda] \
[,acc] ,d [fcd,a] [fcd,a] [acd,a] [,da,c] [,cdca] [aacc] \
[aacc] [cdda] [ddff] [f,,,a] [cdd,a] [cdd,a]";
14;F dur;3v;Ballet;;Earl of Derby's Courant / French King's Maske;OT;ConcR30;none;"[fdaa3/2] d/ [c,,a1] [a,d,e] [,d,,c] [,c,,a] [,aba,d] \
[,,da,c] [,ab,,d/] ,c ,d1 [,ddca] ,c [,dda,a] ,,,a [,dd] | \
[fdaa3/2] d/ [c,,a1] [a,d,e/] c [,d,,c] a";
15;c moll;3v;Schön wehr ich gern;John Dowland;Bonny Sweet Robin;OT;Conc_1769;none;"z1 [,,dca1] [,bdca3/2] ,d/ [,bdca1] [,a,c,e2] [,,dca1] [da,c] \
[abb,d] [fddd] [aacc] ,,,,,a ,,d/ ,a [,bdca] ,a ,b ,d \
[,bdca1] [,a,c,e] ,b/ ,a [,,dca1]";
16;d moll;4r;Courante;?William Byrd;;OT;;none;",a1 [,aa,c2] [,,ee,c1] [,aa,c2] [,cdca1] [,dda2] ,a/ ,c ,d1 \
a/ c [acd,a2] [,da,,c1] [,dba,d2] [,cdca1] [,dda2] a/ c [da,c,a2]";
17;;4r;Paduana;;Mall Sims;OT;ConcR52;none;"[aabc,a3/2] c/ [da,c,a1] c/ a [caabc3] [hd,f,d1] [fd,a] [da,c] \
[caa,c] [abb,d] [,da,c3/2] ,c/ [,aa,c2] [da,c1] [aab,,a] [caa,c] \
[dab,,d] [,dd,,c] [aab,,a]";
18;F dur;4v;Par che chel brami;;;OT;;3;"[cdda1] [,df,c] [ac,,a] [cdda2] [cdda1] | \
[a,d,e1] [,dda] [,acc] [,cd,a2] [,cd,a1] | \
[a,d,a1] [,da,c] [,cd,a] [,acc2] [,acc1] | \
[,dde1] [aab] [acd] [cdda2] [cdda1] |";
19;;4v;sans titre;;;OT;;C;"[ac,,a1] [ac,,a/] ,d [ac,,a1] [,d,,c] | \
[ac,,a1] [ac,,a] [cd,a] [cd,a/] [af,,e] | \
[cd,a1] [acd,a] [,d,a] [,dda] | \
[,df,c1] [a,d,e] [,daa] [,acc] | \
[,cd,a2] [,cd,a] |";
20;g moll;5r;pauana lacrima;John Dowland;Lachrimae Pavan;OT;Conc_4415;none;"[aabXc,a2] ,,,c1 [,da/] ,c [,abc,a1] ,,d [da2] [abb,Xd/] c d \
a [f,,,a] d c a [,ea,Xc1] a [aaa,Xc] ,e [aabXc,a1] ,,,c [,ab]";
21;;6r;Courrente nouelle;;;OT;;none;"h2 [haa{,a}4] c2 [haa{,a}4] [la{,a}2] z/ k/ h k l h [k,,,a2] \
,,,,,c g [hea{,a}6] [caabc4] [haa,,h2] ,,,,e [f,,a1] ,,,c ,,,e2";
22;F dur;6v;Courrente;;;OT;;none;"[aa,c3] ,e1 a2 [ca,b3] a1 c2 [ea,c3] c1 a2 [,acc,a6] \
[haa{,a}2] c [,ea,c] [aa,c3] ,e1 a2 [,cee,c3] ,,f1 ,,e2 \
[,ea,c] [,aabc4]";
23;G dur;7r;Courr:;;;OT;;none;",,d2 [,dda{a}3] ,,,,,a1 ,,,,,c2 [,dba,d4] [,dda{a}2] \
[acd,a1] ,d a c [da,c,a] a [caa,c3] a1 ,d2 [acd,a4] ,,,,,a2 \
[acd,a4] ,,d/ ,a ,c ,d";
24;F dur;7v;Intrada;;;OT;;none;"[fda{a}3/2] d/ [c,,a] d [fdda1] [dab,,d] [acd,a] [cdd{a}3] \
[,,da{a}1] [,a,,,a] [,cd,a] [,d,a/] ,c [,a,c] ,,d [,acc,a1] \
[,,dca2] [,dda{a}1] [,acc,a] [,cdca] [,,da,c] [,aba,d]";
25;F dur;7v;Ballet;;;OT;;none;"[cdaa/] d [fdaa1] [ha,f] [fdaa] [ea,c] [fdaa] {a} [fda] \
[acd/] c [ddff1] [fd,e] [da,c/] ,c [cdda1] [acd] ,,,,a/ c \
a1 [,dff/] a [ccde1]";
26;F dur;8r;Courrente;;;OT;;none;"[fdaa1] c ,d [hd,f,d3/2] f/ d1 [c,,a/] d f1 [ea,c] [fcd,a3] \
[da,c1] [ca,b] [,da,c] [abb,d3/2] ,,,,c/ ,,,,a ,,,,,e \
[fb,,a1] [fd,a] [ea,c] [fcd,a3]";
27;g moll;8v;sans titre;;;OT;;none;"[,da,c1] [,cee,c3/2] [,cee,c/] [,cee,c1] [,da,c] [,cee,c3/2] \
[,cee,c/] [,cee,c1] [ca,b] [,abc] [a,d,e] [,da,c/] ,,,,e \
[,a,a] [,a,c] [,cee,c3] [,da,c1] [,cee,c3/2] [,cee,c/] [,cee,c1]";
28;g moll;9r;Gagliard Spavento;;;OT;;none;"[,abc,a2] [aab,,a] [da,c,a] [caa,c3] a1 [,ea,c2] [aabc,a] \
[,bd,a] [,,dcd] [,aa,c3] ,,,,a1 [,a,c,e2] [acd,a] [fc,,,c] \
[caa,c] [da,c,a3] d1 [ccd,,c2] [aab,,d] [abd,a] [,ea,c]";
29;;9v;Fuga;;;OT;;none;"h2 f1 c [df2] [cd1] ,a [ab/] c d f [ha1] f [df] c/ a \
c1 ,b/ ,a ,b1 a/ ,d a1";
30;f moll;11v;Ballet;John Dowland / Daniel Bacheler;Une Jeune Fillette / Nonette;OT;Conc_4438;none;",,d2 | \
[,dda2] [acd,a] [bdda] [d,,,c1] b [a,,,d2] ,,,,a1 ,d \
[,b,c] ,a [,,d,,b2] [aba,d1] ,c [,d,,b2] [,ddca] ,c \
[,dda{a}/] ,b/4 ,a ,,d ,,b ,,a ,,,c";
31;F dur;12v;Courrente M. L. H.;Michael Praetorius;;OT;ConcR673;none;",,d1 [,dda2] ,,d1 [,d,a2] [a,d,e1] [cd,a3/2] d/ f1 [cd,a] ,d \
f [ddff,d2] [cdda1] [acd,a2] [,da,c1] [,cdca3/2] ,d/ a1 \
[,cd,a] ,,d f";
32;F dur;12v;Courrente. Accordetur 4 chorus ad notam g sol re ut.;;;OT;;none;",d1 [,dda3/2] a/ c1 ,d ,d/ a c d [faa2] {a}1 \
[fda3/2] d/ [c,,a1] [a,,,a] c/ a [,da,c1] [aa,,,Xd/] ,d";
