PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Montbuysson
77;;29v;Ach ach ich arme Sehl;;;OT;;none;"[,abc2] [abb,d1] [abb,d] [,dba,d3/2] ,b/ [,aba,d1] [,dda,d] \
[,bdca] [,aa,c] [,,b,d] [,,dcd] [,aa,c4] [,abc2] \
[abb,d1] [abb,d] [,dba,d3/2] [,bdca/] [,aba,d1] \
[da,c] [cdda] [abb,d] [aaa,c] ,e [aacc,a4] ||";
78;;30r;Est ce Mars;;Sellenger's Round / Est-ce Mars / The French Tune;OT;ConcR19;none;"[,,da{a}1] ,,d [,,da{a}] ,a/ ,c [,dda{a}1] ,,a/ ,,b \
[,,da{a}1] ,,,a [,dda{a}2] [acd,a] [cdd{a}4] || \
[cdda1] c [cdda2] [,aba,d1] ,a [,aba,d] [,c,,,c/] ,d";
79;;30v;Amor gieng aus;;;OT;;none;"[abd,a1] [,abc] [,bb,d] [aba,d] [,,cc3/2] ,,d/ [,acc,a1] \ 
[,,,ce] [,,aa{a}/] ,,b [,,dca1] [,,da{a}] [,,cc,a] [,,dca3] || \
a/ c [da,c,a] [,,e,,c] [,dba,d]";
80;;30v;Ach gott wie;;;OT;;none;"[,ddca2] [,bdca] [,dd,,b] [aab,,a3] c1 [da,c2] [fbd,a] \
[da,c,a] [caa,c] [aacc,a6] [da,c,a2] [abd,a] [bdd{a}] \
[,dba,d] [,bdd1] [,dda] [,acc4] [,,dca4] ||";
81;;31v;Amarilli mia bella;;;OT;ConcR799;none;"[aabc3] [,ea,c1] [aabc,a2] [caa,c1] [abb,d/] ,,d [,ea,c2] \
[,ea,c] [dab,,d4] [cdda1] ,d [cdda4] [aabc1] ,,,,,a [caa,c4] \
[dab,,d4] [ab,,d1] [aabc] [cdda2] [dab,,d4] [dab,,d]";
82;F dur;32v;In me non è più vita;;;OT;;none;"[cdda4] [cdda3] [cdda1] [aab,,d] ,d [,dd,,c2] [,db,,a] ,c \
[,dda{a}4] z2 [cdda2] [cdda] [abb,d] [,da,c] [,d,,a1] ,,c \
[,cdca3] [,cdca1] [,dda2] [acd,a] [aacc1] ,,d [aadc,a] ,,c \
[acdca4] |";
83;;33r;Donna gentil saper;;;OT;;none;"[aacc,a4] [a,d,c2] [,cdca] [,ea,c] [aa,c,e] \
[acd,a3/2] [acd,a/] [acd,a1] [aacc,a] [,ea,c2] [,ea,c] \
[,da,c1] [,da,c] [,da,c3] [,c,,a/] [,a,,,d] [,,ee,c2] \
[,aa,c2] [,acc1] [,acc]";
84;;33v;Duro mio cor che non;;;OT;;none;"z2 [cdda] [cdda] [cdda] [dab,,d] [cdda] [cdda1] a [,dda] a \
[cdda2] [,dda] [,dda] [a,d,e1] [a,d,e] [,dd,c2] ,,c [,cdca4] \
z2 [acd,a2] [acd,a] [acd,a]";
85;;34r;Chi mi sente cantar;;;OT;ConcR3596;none;"[cdda4] [,da,c2] [,cd,a3] [,ab,,d1] [,cd,a2] \
[,dda2] z1 [cd,a/] [aa,c] [cdda1] [cdda/] [cdda] [cdda1] \
[dab,,d] [,da,c] [,da,c] [,cdca2] [,cdca] z1 [acd,a1]";
86;;34v;Morirò di dolor;;;OT;;none;"[da,c1] [da,c] [da,c2] [caa,c3] [abb,d1] [,ea,c2] [,da,c1] \
[,c,,a/] [,a,,,d] [,,e,,c1] ,,f [,,fe,c] ,,e [,aa,c] [,abc] \
[,ab] [,da] [aabc2] [aab,,a] [ab,,d1] [,da,c]";
87;;35v;O welch ein grosse;;;OT;;none;"[,aabc4] [,,abc2] ,,,,c1 ,a [,da,c3] ,,,,a1 [,dba,d2] \
,c1 [,aba,d] [,,ee,c2] [,dda{a}] [acd,a3] [ccd,,c1] [,da,c4] \
[,cee,c2] [,da,c] [,cc,e1] ,a [,a,a] {a}";
88;;36v;O veng.;;;OT;;none;"[,,ba,d3] ,d1 [,aba,d2] [,aba,d] ,,,,,d1 ,d [,aba,d] \
,a/ ,b [,dba,d1] ,d/ ,b [,dba,d1] ,d [abb,d4] \
,,,,a/ ,,d ,b ,d [abd,a1]";
89;;36v;O Amor;;;OT;;none;"[dab,,d4] [,dba,d2] ,d1 ,d [,aba,d] a2 d1 [,dba,d2] ,,,,,d1 \
,d4 [,dba,d] ,a ,b/ ,d a c [dab,,d1] c f d [cdd{a}4]";
90;;37v;Im Walt lief (?);;;OT;;none;"[aabc,a2] a1 ,a [aab,,a/4] ,d a c d1 ,,,,,a/ a ,d ,b \
[,abc,a2] ,,,,,a1 ,,b [,abc,a3/2] ,,d/ [,bb,,a3/2] ,a/ \
[,dda{a}4]";
91;;37v;Ritornello;;;OT;;none;"[da,,,a/] f [h,,,,d] d [f,,,,a{a}] c [da,,,a] a [caa,c] a c d \
[caa,c] ,d [aa,c] c d f [h,,a] ,h [fh,a]";
92;F dur;38r;Courrente;John Dowland;Orlando Sleepeth / Orlando Furioso;OT;ConcR29;none;"z2 ,,d1 [,dda3/2] a/ c1 [a,,,a] ,d f [fdaa2] {a}1 [fh,a3/2] \
h/ [fh1] [df3/2] f/ [cd1] [ac] [,df2] [,c,,a1] ,a/ ,d ,,d1";
93;F dur;38v;Prelude;Laurencini;;OT;ConcR162;none;"[fdaa2] {a}/ d c a [cdda] {a} a ,d [,cdca] ,d a ,,b ,,a ,d \
,,,c ,,,a [,cd,a] ,d/4 ,c ,d ,c ,a ,c";
94;;39v;Volte.;;;OT;;none;",c/ ,e a1 [,ea,c] [aaccca2] [aa,Xc/] c d1 [ca,b] [aabc] \
[,da,Xc3/2] ,c/ ,a1 ,,,,,d [,aba] [,,da{a}] [,aba,Xd3/2] \
,,d/ [,,bc,a1] [,,a,c] [,,,c,a/] ,,a ,,b ,,d";
95;C dur;40r;sans titre;;;OT;;C;"z1 ,,d/ ,a [,cdca1] [,cd] | \
[,cdca1] a [,da,c] [,cdca] | \
[,acc,a1] ,,d/ ,a [,cdca2] | \
[,acc,a2] [,cdca] | \
[,acc,a4] || \
,c/ ,d [aacc,a3/2] ,d/ [,c,,a1] ,,d/ ,c |";
96;f moll;40r;Courrente;;;OT;;3;"b1 | \
[bdd{a}3/2] d/ [b,,a1] | \
[a,,,a1] [,d,d] [,c,c] | \
[,dda1] {a}/ a b d | \
[f,,d1] [d,,,d] {,a} | \
[b,,,,b1] ,,,,d ,,,d | \
[bbd2] || [f,,d1] |";
97;f moll;40v;Volte Romana;;f. 41r empty;OT;;3;",d/ a [bd,a1] [db,c] | \
[f,dd1] [da,a/] b [acd1] | \
[,db1] [add] [,c,,a] | \
[,dda1] {a} [,dd] | \
f/ h [if,h1] [gd,f/] f | \
[fg,d1] d/ ,g [dfg1] |";
98;g moll;41v;"Io disleale; ah cruda Fede giustificata";Enrico Radesca;;staff;;;;
99;g moll;42v;Con sorrisi cortesi Foll' è coluj ch'in Dama spera, e crede;Enrico Radesca;;staff;;;;
100;g moll;43v;Donò Filli partendo;Enrico Radesca;;staff;;;;
101;g moll;44v;Mi lasci ingrata;Enrico Radesca;;staff;;;;
102;g moll;45v;Margarita voi fior'e perla;Enrico Radesca;;staff;;;;
103;g moll;46v;T'amo mia vita;Enrico Radesca;;staff;;;;
104;g moll;47v;Un bacio sol'a tante pene;Enrico Radesca;;staff;;;;
105;g moll;48v;Poi che non mi credete;Enrico Radesca;;staff;;;;
106;;49v;Sì mi dicesti II. Chi non sa come si dipinga;Enrico Radesca;;staff;;;;
107;F dur;51v;(fragment);;;OT;;none;"[c,,a] ,a d c [a,,,e] ,,d c a [,d,,c] ,,b a ,d [,c,,a] ,,a \
,d ,c [a,,,d] ,,,c ,c ,a";
108;;51v;(fragment);;;OT;;none;[,dda{a}1] ,c/ f d f ,a d c d ,,d c a c ,,b a c a ,,a ,d ,c ,d;
109;;51v;(fragment);;;OT;;none;"[,cdc{,,,a}/] ,d a ,,b ,,a ,d ,,c ,,a [,cdca1] [,da] [,c,c] \
[,a,a] [,cdca{,,,a}/] ,d ,c ,a ,,,,a/4 ,c ,d ,c";
110;;51v;(fragment);;;OT;;none;[db,c1] ,,,,d [bd,a] ,b [aa,c] ,,d [aac] ,d [acd,a4] ||;
111;;51v;(fragment);;;OT;ConcR2179;none;[caabc1] [a,b] [,ea] [,c,c] [,efec4] ||;
112;;51v;(fragment);;;OT;;none;"[c,,,c/] ,f ,e ,c ,e ,f ,c ,e [af,,,a] ,d/4 ,c ,a \
,,d ,,c ,,a ,,,c3/2 ||";
113;;51v;(fragment);;;OT;;none;[aacc/] ,,d ,,c ,,a ,,c ,,d ,a ,c [,cdca1] {,,,a} [,cdc3] ||;
114;;51v;(fragment);;;OT;;none;"[aacc/] ,,,a/4 ,,,,d ,,,,c ,,,,a ,,,,,d ,,,,,c ,,,,,a/ {a} \
[aacc,a3/4] ,d/4 [,cdca2] {,,,a} [,cdc] ||";
115;;51v;(fragment);;;OT;;none;[ef,,,a/] ,h e f e f h e [fcd,a1] a ,c [,,dca{,,,a}] ||;
116;;52r;Quel espoir;;"f. 52v empty; f.54r """;OT;;none;"[,bdca2] [,bdca] [aacc,a] [aacc,a] [caa,c] [aacc,a] \
[a,d,e] [bdda] [acdca4] || ,,,,a1 ,,,,a/ ,,,,c [abb,d2] \
,,,,c1 [abdca] [dab,,d2] [abb,d] [abb,d1] ,,,,,c [abdca2]";
;;"Liure de tableture de lhut pour Madame Elisabett princesse de hessen / Commencé par victor de montbuysson; le dernier Janviér 1611";;;;;;;;
117;g moll;55r;prelude;Francesco da Milano?;;OT;;C;"[a,,c3] ,,a1 [a,b] ,,a/ ,,b ,,d2 | \
a1 ,,b ,,d/ ,,b ,,a ,,,c [,ea2] ,,b | \
Xd1 ,,a [d,,c2] c ,,,b1 ,,,,e |";
118;;55v;pauana lacrima:;John Dowland;Lachrimae Pavan;OT;Conc_4415;C;"[aabXc,a2] ,,,c1 [,da/] ,b | \
[,abc,a1] ,,d [d,,c] ,,,a | \
[abb,d1] ,a [c,d,a] [a,b] | \
[aaa,Xc1] ,e/ ,c [,ea,c1] ,,d | \
[aabXc,a1] ,,,c/ ,,a";
119;;56r;sans titre;;;OT;;none;"[cdXda/] d c a [,d,,Xc] a c ,d [a,,,Xe] c a ,d \
[,cdXca] ,d a ,c [,d,,Xc] a ,d ,c";
120;;56v;Intrada hasler.;Johan Leo Hassler;;OT;;none;"[aabc3/2] [c,,a/] [dbb,d1] [fb,,a] [dabc] [caa,c] [abb,d2] \
[,dca,d1] [aacc,a] [,cdca2] [,acc,a4] \
[dabc3/2] [c,,a/] [abb,d1] [,dba,d] [abbcd3/2] ,,,a/ ,,,c1 \
[bbdd/] ,,,c [bdda1]";
121;;56v;daulant Gagliarde.;John Dowland;Earl of Essex's Galliard / Can She Excus;OT;ConcR83;none;"[,,dXca3/2] ,a/ ,b1 ,,d [fb,,a2] [dbb,d3] b1 a ,d \
[abb,d2] [,dba,d] [,bdca] [,acXc,a] ,,,c1 ,,d ,,c ,,,,,a \
[da,c2] [acd,a1] [cdda2]";
122;;57r;sans titre;;;OT;;none;"[f,,,a/] d b a [,d,,b] [a,,,d] [b,,a] [,d,,b] [d,,,Xd] c a ,d \
[,b,,a] [,c,,a] [a,,,d] [,b,,a] [b,,a] a ,d ,b";
123;;57v;Courente;;;OT;;3;",,d1 | \
[,dXda3/2] a/ b1 | \
[d,,,d1] a [f,,,a] | \
[bdXda1] ,d [d,,,,d] | \
[a,,,Xd1] ,b [b,,,a] | \
[,d,,b1] ,,,,,d a | \
[,c,,a1] X,,,,,b f | \
[d,,,,Xd/] b a ,d";
124;;58r;Courente de madame la prinssece de condé;;;OT;ConcR421;none;"z1 X,,d [,,dXca2] [,,cc,a] [,,dca3/2] ,a/ ,c ,d [,acXc,a2] \
,,,c1 [,acc,a2] X,b1 [,bbcd2] [,d,,c1] [abb,Xd3/2] b/ [abb,d1] \
[,dba,d2]";
125;;58r;la boumiane oder zigainerin;;;OT;;none;",,d2 X[,cdd,b1] [,daa{a}] [,aba,Xd3/2] ,,d/ ,a1 [,,cc,a3/2] \
[,,d,,c/] [,ab,,d1] [,bbXcd] ,b [,bbd,b] ,b [,daa{a}2] \
[,aba,d3/2] ,,d/ ,a1 [,,bc,a3/2] [,,d,,c/] [,aba,d1] \
[,bbcd2] ||";
126;;58v;Voltte;;;OT;;3;"[,,da3/2] ,,,,d/ [,d,,b1] | \
[,bdca3/2] ,,e/ [,,dd,b1] | \
[,,bcXd1] ,,d [,,,df] | \
[,,,ca1] ,,,a/ ,,,c [,,,aa{a}1] | \
[,,,df1] [,,b,,d/] ,,,d [,,,ca1] | \
[,,,aa{a}/] ,,,,e ,,,a ,,,c X,,,d ,,c |";
127;;59r;Jaymeray tousiours mon Phillis;;;OT;Conc_4502;none;"[cdXda1] [a,,,,Xd/] ,d [,cdca1] [,dda,c] [a,,,,Xd/] ,d \
[a,,,a] c [,ddXa1] {a}/ a [cdda1] [a,,,,Xd/] ,d [,cXdca1] \
[,dda,c] [a,,,,Xd/] ,d [a,,,a1] [,dXda2] ||";
128;;59r;si ie puys vne foys;;;OT;ConcR3487;none;"[ddff3/2] [fd,e/] [hd,f1] [dfg,d] [ffg,a2] [cdda{a}] \
[,dba,d3/2] [a,,,d/] [,d,,c1] [abd,a2] [dab,,d1] \
[fda{a}2] [dab,,d] || [hd,f3/2] [f,,e/] [d,,c1] \
[cdda3/2] ,,,,e/ [ed,,c1]";
129;d moll;59v;Ballett angloys;;Mall Sims;OT;Conc_4432;none;"[,aa,Xc3/2] ,c/ [,da,c1] ,c/ ,a [,ca,,c1] ,,e ,,a [cdda] \
[acd,a] [,da,c] [,ca,,c] [,aba,d] [,ca,,c] ,c/ ,a ,,e ,,c ,,a1";
130;d moll;60r;ballett de la déesse diane;;;OT;Conc_100;none;"[,aa,c3/2] ,c/ ,d a [,ca,,c1] [,aa,c] c [,abc,a/] ,c ,d a \
[,ceXc,c1] ,,,e [,cee,c2] [cdda1] {a}/ a c d [f,,a1] [acdXca]";
131;F dur;60v;ballett;;;OT;;none;"[,dda3/2] ,c/ ,d a c d [fc,,a3] [d,,,c/] c [a,d,e1] [cdda] \
[add,a] ,c [,dda{a}2] {a}/ ,d [,c,c,a] ,a [,,d,,c1] ,d \
[,ab,,d] a";
132;F dur;61r;sans titre;;;OT;;3;"[,,aa{a}/] ,,c ,,d ,a ,,d1 | \
[,,da1] {a} ,,,a | \
[,d,,,d/] ,c ,d a [,c,,a1] | \
[,dda1] {a} ,,,a | \
[,d,a/] a c ,d c d |";
133;;61v;Tenez Nimphes pour admirer Air ò la royne;;;staff;;;;
134;;62r;Donques à cest heureux retour Air nouveau;;;staff;;;;
135;;62v;"Dedans ce val plaisant; Air de Cour";;;staff;;;;
136;;63r;Le berger plein d'amour;;;staff;;;;
137;B dur;63v;si ie puys vne foys;;;OT;;C;"[,dff3/2] ,,,e/ ,,,f1 [,bbcd] [abd,a2] [cdd{a}] | \
z2 [,aba,d3/2] ,,,,d/ [,d,,c1] [,cdca2] [,aba,d1] [cdd{a}] ,b [,aba,d2] | \
[,dff3/2] ,,,e/ ,,,f1 [,bbcd] [abd,a2] [cdd{a}] |";
138;;64v;Pauana Anglois [Come Again Sweet Love Doth Now Invite];John Dowland;;OT;ConcR460;none;"[,,dXca1] [,cdca3/2] ,d/ [acXd,a4] z2 [acXd,a] [cdda] [a,d,e] \
[,dd,Xc1] ,,c/ ,,a [,dc,c2] [,cdXca4] z2 [acd,a] [acd,a] \
[,cd,e] [,cd,e1] ,,,a [,acXc4]";
139;;64v;[Variation];;;OT;;none;",,d/ ,a ,c ,d [acd,a1] ,a/ ,c ,d a c e [fcd,a4] [acXd,a/] \
,d a ,c [cdda] a c ,d";
140;;65v;Courentte de la durette;Robert Ballard;;OT;ConcR431;none;"X,,d1 [,,dca2] [,a,c,e1] [,bdXca] ,,d a [abb,d3] [,db,c3/2] \
a/ b1 [abb,Xd3/2] b/ d1 [,b,,,b] [,aba,Xd] ,,d/ ,a \
[,bbcXd3/2] ,d/ a b";
141;A dur;65v;sans titre;;;OT;;none;"z1 [fc,e,c1] [ecc,e2] [cdda] [acd,a3] [acd,a1] [,dc,c] [,cd,e] \
[,caa] ,a [,ccde3] [b,d,e/] ,,,,c [ccd,a1] [ec,d,e] [fc,e,c/] \
,,,,,e ,,,,a ,,,,a [eccde3] ||";
142;G dur;66r;sans titre;;;OT;;none;"z1 [dabc1] [caa,c2] [abb,d] [,dba,Xd3] [,dba,d1] [,bca] \
[,ab,c] [,abcXd] ,,d [,aabc3] [,ea,c/] ,,,,a [aab,,d1] \
[c,d,,c] X[da,Xc,a] [dc,c,a] [cef,c3] ||";
143;d moll;66r;Courente;;;OT;ConcR379;none;"c1 [caa{,,a}3/2] d/ c1 ,a3/2 ,c/ ,d1 [c,a3/2] ,,c/ ,,e1 [,af2] \
f1 [f,a3/2] h/ f1 [e,h3/2] ,f/ ,g1 ,,a a ,d [,ca,,c]";
144;;66v;Courente de victor de Montbuysson;Victor de Montbuysson;;OT;;none;"d1 [dfg3/2] f/ h1 i3/2 h/ f1 [d,g] ,f f ,g ,d [d,f] ,f ,,g \
[d,f] ,,d d [cc] d ,,,,,d ,,,a [dab2]";
145;;66v;ballet de mercure;Mercure d'Orléans;;OT;Conc_4505;none;"[caa,c3/2] d/ c1 a/ ,d [,cXdca3/2] ,d/ a1 ,d/ ,c [,aa,c1] c \
[,abc,a/] ,c ,d a [,ceXe2] ,,,,,c1 c/ a [,da,Xc1]";
146;;67r;Englische dantz tiledilerei genandt;;;OT;;none;"[,dba,d1] [,dba,d] [dab,,d] [cdd{a}] [acd,a] [,dda,{a}] \
[,,da{a}2] [,aba,d1] [,dba,d] [,daa{a}] [,dba,d] [,dba,d] \
[,bdd,b/] [,a,,,d] [,bdd,b3/2] [,bdd,b/] [,aba,d1] [,,d,d/] \
,,b [,,aa] ,,b";
147;c moll;67r;ballett;;;OT;;C;"[,,dca2] [aa,c,e] | \
[abd,a3/2] ,d/ a1 [c,,a] | \
[da,c1] [,b,d/] ,d [a,,,d1] [,db,,d] | \
[,bbcd1] {,a} [,bbc2] || \
a/ ,d [,b,,a1] [,a,c/] ,,,a [,,d,d1] |";
148;F dur;67v;prelude;Laurencini;;OT;ConcR612;none;"[,dXda3/2] a/ c1 ,,,a {a} e Xf ,,,a [fda2] [d,,a1] c [a,,,Xe] \
,,d [c,d,a] a X[,d,,Xc] ,,a [a,c] ,d [,cdXca] ,d";
149;;68v;.1. bransles de la Royne;;;OT;ConcR560;none;"[fdaa3/2] h/ [f,,,a] d c a [,dXda1] {a} ,,,a f/ d [cdda1] a \
[a,d,e] [c,,,c/] e [fcd,a1] e/ c [acd1] ||";
150;;68v;.2. branle;;;OT;ConcR721;none;",a/ ,c [,dda1] [,d,,c] [acd,a] [cdda] [daXb,,d] ,,,a [dab] \
b/ a [,dda] ,c ,d a [,db,,d] a [bdd{a}] d [acXd,a] ,,,c [acd] ||";
151;;69r;.3. branle;;;OT;ConcR722;none;"a/ c [dbb,Xd1] d [dbb,d] [fb,d,b] [dfg,Xd] ,,,f [dfg] ,g/ d \
[ffg,d1] [bdd{a}] [acXd,a] ,,,c [acd] ||";
152;;69v;volte;;;OT;;3;"[,c{,,a}1] ,a ,,c | \
[,,d,e3/2] ,,,,c/ [,,a,a1] | \
[,,c,c1] [,,,de] {,,a} | \
[,,ae1] ,,,,,c ,,,e | \
[,a,,,e/] ,,d ,a ,c ,d a | \
[,cdca1] ,a/ ,c ,,d ,c |";
153;;69v;Villanella;;;OT;;C;",,,,d1 ,,,,d/ ,,,,d ,,,a1 ,,,a | \
,,,c1 ,,b/ ,,b [,bd,a1] [,bd,a/] [,b,,a] | \
[,db,,d1] [,db,,d] [a,b,d] [a,b,d] | \
[,dda1] [,,da/] ,b [,adXc1] ,,c | \
[,,dca] ||";
154;;70r;Ballet angloys;;;OT;;C;",a1 | \
[aacc,a1] e [cef,c] [fc,e,c] | \
[aa,c,e/] c [ea,c,a1] [ca,bc2] | \
[fc,e,c/] ,,,,,e ,,,,a ,,,,,c [ea,c,a1] c/ a | \
[ea{,,a}1] c [aacc,a2] ||";
155;g moll;70v;Pipers paduan;?John Dowland;Captain Digorie Piper's Pavan;OT;Conc_4422;C;"[aabc2] ,,,,,a1 c [da,c] a [haa,g] f | \
,,,c1 f [da,c] c/ a [caa,c1] f/ d c1 ,,,,a | \
[aa,c,e2] [abd,a] [aab,,a1]";
156;;71r;Volte puys que vos ieulx;;;OT;ConcR729;3;"[gd,f1] [fd,e2] | \
[ddef3/2] f/ d1 | \
[cdda2] {a}1 | \
[cdd2] [,d,,b1] | \
[a,,,d3/2] c/ [d,,b1] | \
,,,,d1 [cdda3/2] a/4 c | \
d1 ,,,,,d ,,,a | \
[dab2] b1 |";
157;;71v;premier bransle simple;Pierre Francisque Caroubel;;OT;;none;"[,bdca1] [,abc,a] [,,dddb2] [,bbcd{,,a}/] ,d a1 \
[,aba,d/] ,b [,ddd{a}1] [,,dd,b/] ,a [,bdca1] [,acc,a] \
[,,dca] [abd,a] [aabc,a] [,bdd,b] [abb/] ,,,,d [,dba,d1]";
158;;71v;.2. bran. Simple;Pierre Francisque Caroubel;;OT;;none;"[abb,d1] [abb,d/] ,d [,bdd,b1] ,b [dbb,d/] f [dab,,d] b \
[abb,d1] [,d,,a/] ,b [,aba,d] ,b [,dba,d] ,a [,bbcd{,,a}1] ,b \
[abb,d] [abb,d/] ,d [,bdd,b1]";
159;;72r;.1. bransle gay;Pierre Francisque Caroubel;;OT;;3;"[,,dca1] ,,d [,bdca2] [,,daa{a}] | \
[,,dca1] ,,d [abb,d2] [,dba,d] | \
[,bdca1] [,acc,a] [,,dd,b/] ,a ,b ,,d | \
[,acc,a2] [,,dca1] ,,d [,bdca2] [,,da{a}] |";
160;;72r;.2. bransle gay;Pierre Francisque Caroubel;;OT;;3;"[,,dca1] ,,d [,,dca2] [,,cc,a] | \
[,,dca1] ,,d [,,dca2] [,,cc,a] | \
[,,cc,a1] [,,dca/] ,,c ,,d ,a [,b,,a] ,d [,abc,a2] | \
[,,dd,b1] [,,bcd] [,,,df{a}2] [,,,cef] |";
161;;72v;Finale;;;OT;;none;"[da,c/] ,,,,d [c,,a] ,,,,c [a,,,d] ,,,,a [,d,,c] ,,,,,d \
[,b,,a] ,,,,,c [,a,,,d] ,,,,,a [,,d,,c] {a} [,,b,,a] [,,d,,c] \
[,a,,,d] [,,b,,a] [,,d,,c] [,a,,,d] [,c,,a] [,,d,,c]";
162;;73r;sans titre;;f. 73v-74r empty;OT;;none;"f d c a d c a ,d c a ,d ,c a ,d ,c ,a ,d ,c ,a ,,d ,c ,a \
,,d ,c ,a ,,d";
163;d moll;74v;Auparavant que ie vi;;Start - f. 75r empty;staff;;;;
164;d moll;75v;Auparavant que ie vi;;f. 76v empty;staff;;;;
165;F dur;77v;volte;;;OT;ConcR135;3;"f1 c ,d | \
[fda{a}3/2] d/ [c,,a1] | \
[a,,,a3/2] ,d/ [,c,c1] | \
[,dda1] ,,d {a} | \
,,d1 ,,a ,,,a | \
[,,da{a}3/2] ,,c/ [,,aa1] | \
[,,ba,d3/2] ,,d/ [,,aa{a}1] |";
166;F dur;78r;balett;?Robert Johnson;The Third of the Prince's Masque;OT;ConcR415;C;"[,,daa{a}1] ,a/ ,c ,d1 ,,d | \
[,dda1] [a,d,e] [cdda] a/ ,d | \
[aa,,,d1] c d c | \
[acd,a1] [,d,a/] ,c | \
[,a,Xc] ,,d [,acXc,a1] [,,dca] a |";
167;F dur;78r;sans titre;;;OT;;3;",,d1 | \
[,,da{a}3/2] ,a/ ,,d1 | \
[,,da{a}3/2] ,a/ ,,d1 | \
[,,da{a}2] ,,,,a1 | \
,,,a1 ,,,c/ ,,a ,,b ,,d | \
[,a,,c3/2] ,c/ ,d1 | \
[,cd,,c1] [,ab,,d2] | \
[,,da1] {a} ,,,a |";
168;Es dur;78v;Courente;;;OT;Conc_1751;3;"a1 | \
[abb,d3/2] b/ a1 | \
[,dba,d1] ,a/ ,b ,d a | \
[,bbcd2] {,a}1 | \
[,bbc2] d1 | \
[dfg,d3/2] f/ d1 | \
[bbdd1] ,,,,d a | \
[,dff2] ,,,,,d1 |";
169;C dur;79r;Volte des exclaue;;;OT;ConcR592;3;",,d/ ,a ,c1 [,c,c] | \
[,,dXca1] {,,a} [,,dc] | \
[,cd,a/] ,d a1 [a,,,,a] | \
[,c,,a1] ,,d {,,a} | \
[,c,,a/] ,d a1 [c,,a] | \
[a,,,e1] ,d/ ,c [,a,a] ,c |";
170;C dur;79v;philips paduane;Peter Phillips;f. 80v empty;OT;ConcR94;C;"[,cdca3] ,d1 [acd,a] c [dab,,d2] | \
[cdda2] [,cde1] ,d [aad,c] ,,c/ ,,a ,,c1 ,d | \
[,cdca2] [acd4] [aab2] | \
[fc,e2] ,e [ea,c1] c a ,d |";
171;;81r;Courente;;;OT;ConcR143;none;",d1 a [cdda3/2] d/ b1 [a,,,a3/2] ,d/ [,c,c1] [,dda2] {a}1 \
,,,,a2 f1 [fggd3/2] g/ f1 [dfg,d3/2] ,g/ ,f1 [bbdXd,b2]";
172;c moll;81v;Courrente Nesta;;;OT;Conc_276;3;"a1 | \
[a,d3/2] b/ [d,,c1] | \
[b,,a3/2] a/ [,d,,c1] | \
[abb,d2] {8}1 | \
[abb3/2] [,d,,a/] ,b1 | \
[,d,,c1] ,,,,,d a | \
[,b,,a1] ,,,,,c ,d | \
[aaccca2] ,,,c1 |";
173;;82r;[fragment];;;OT;;none;"f/ d c ,,,a ,,,,d ,,,,c d c a ,,,,d ,,,,c ,,,,a c a ,d \
,,,,c ,,,,a ,,,,,d a ,d ,c";
174;F dur;82v;Courrente Braua;;;OT;ConcR2190;3;",,a/ ,,b | \
[,,daa{a}3/2] ,a/ ,,d1 | \
,,,a1 [,,bc] ,,,,a | \
[,,aaa{a}3/2] ,,,c/ ,,,a1 | \
,,,,a1 ,,,a ,,,c | \
[,,aaa{a}3/2] ,,d/ [,,d{8}1] | \
[,a{9}3/2] ,,d/ [,,c,,a1] |";
175;F dur;82v;(double);;;OT;ConcR2191;3;",,,a/ ,,,c ,,a ,,b | \
[,,daa{a}/] ,a ,,d ,,b ,,a1 | \
[,,b,,a/] ,,d ,,b ,,a [,,,ca1] | \
[,,aaa{a}3/2] ,,,c/ ,,,a1 | \
,,,,c/ ,,,,a ,,,,c ,,,,e ,,,a ,,,c |";
176;;83r;Courrente;;;OT;ConcR3646;3;"d/ c | \
[acdca2] [,da,c1] | \
[d,,,,d2] [d,,a1] | \
[cdda2] {a}1 | \
[cdd3/2] c/ [a,,,e1] | \
[c,,a3/2] d/ [f,a1] | \
[da,c2] [c,,a1] | \
[acd2] ,,,,a1 | \
[acd3/2] c/ d1 |";
177;;83v;(double);;;OT;;3;"d/ c | \
[a,,,a/] ,d a c [,daac1] | \
[d,,,,d/] c a ,d [,c,,a1] | \
[cdda2] {a}1 | \
[cdd2] {a}1 | \
[cdd3/2] c/ [a,,,e1] |";
178;;84r;(Variation);;;OT;;3;"d/ c | \
[a,,,a/] c d a [,d,,,c] ,c | \
[,a,,,d/] ,c ,d a [,c,,a] ,,b | \
[,d{a}/] ,,d ,a ,c ,d a |";
179;F dur;84v;Ballett;;;OT;;C;"[cdda1] {a}/ d [cdda1] [acd,a] | \
[,daac1] {9}/ a ,d1 [,,daac] | \
[,aba,d1] [,aba/] ,,,,,c [aabcca1] [acd,a] | \
[,dda1] {a} [,dd] ,,,a |";
180;c moll;85v;Courrente fiorita;;;OT;ConcR587;3;"a | \
[,bd3/2] ,d/ [a,b1] | \
[c,a3/2] d/ f1 | \
[d,,c3/2] f/ d1 | \
,f3/2 ,d/ a1 | \
[b,,a3/2] d/ [a,,,d1] | \
[,d,,,d3/2] ,b/ ,a1 | \
[abb,d2] {8}1 |";
