Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1;Harpego Ex F;;;Mandora;;C;",,,,,a/ ,,a ,a ,,a ,,,,,a ,,a ,a ,,a ,,,,,a ,,a ,a ,,a ,,,,,a ,,a ,a ,,a | \
[,da,,a4] | [dd,,,a4] | [bd,,,a4] |"
2;B dur;1;Tonus Ex B Praeambulum;;;Mandora;;C;"[ab,,d4] | [,bac4] | [,bcd4] | [,bac4] | [ba,,,a4] | \
[ab,,,a4] | [ab,,d4] :||:"
3;C dur;1;Tonus Ex C Praeambulum;;;Mandora;;C;",,,a/ ,,c ,d ,,c ,,,a ,,c ,d ,,c ,,,a ,,c ,d ,,c ,,,a ,,c ,d ,,c | \
[,cc,,a1] [,cc,,a] [,cc,,a] [,cc,,a] |"
;;;Parthia Ex G;;;;;;
4;G dur;2;Intrada;;;Mandora;;C;"f/ | V[f,,,a1] a/ ,d (,c ,a) ,,c1 | V[,,c,a1] ,,,,c ,,,,e/ ,a ,,,,,a ,,a | \
,,,,a/ ,c ,,,,c ,d ,,,,e a [,d,a1] |"
5;G dur;3;Menuet;;;Mandora;;3/4;"[ac,,a1] f '[e,,,,a] | V[f,,,a1] [a,,,e] [,d,,c] | \
V[,c,,a1] ,,c [,ab,,a] | V[,,c,a2] ,,,,,a/ ,a | \
,,,,a/ ,c ,,,,,a ,a ,,,,a ,c |"
6;G dur;3;Capricio;;;Mandora;;2/4;"V[,,c,a/] a ,,,,e a | [,d,,c1] [,c,,a] | V[c,,a/] ,d [,c,,a/4] ,a ,,c/ | \
[,,b,,a/] ,a ,,c1 | [f,,,a/] a ([c,,,a] a) |"
7;G dur;4;Aria;;;Mandora;;C;",,c/ | V[,,c,a1] [,a,,,e] [,c,,a] [,d,,c] | [a,,,e1] f/ e [f,,,a1] [c,,a] | \
,,,,e/ a ,,,,c ,d ,,,,a ,c [,a,,,a1] |"
8;G dur;5;Aria suavissima - adagio;;;Mandora;;C;",c/4 ,d | [ac,,a/] [ac,,a/4] [cd,a] [ac,,a] [,d,,c] [,c,,a] [,ab,,a] V[,,c,a] ,,b [,,c,a] ,,,,e ,,,,e/ [ac,,a] | \
(3,,,a/4 c ,d) (3,,,a c ,d)"
9;G dur;6;Menuet;;;Mandora;;3/4;"V[,,c,a/] ,a ,c ,d a1 | V[,,c,a2] [c,,a1] | ,,,,e/ a ([c,,a] a) [,d,,c1] | \
'[,a,,,a3/2] a/ ,,,,,e a | ,,,a/ c ,,,,a c ,,,a c |"
10;G dur;7;Menuet;;;Mandora;Conc_5246;3/4;"V[f,,,a1] a 'a | '[,c,,a2] [,a,,,a1] | V[,c,,a1] ([,d,a/] ,c) ,a1 | \
'[,,b,,a1] ,,c/ ,a ,,,c1 | V[f,,,a1] a 'a | \
'[,c,,a2] '[,a,,,a1] |"
11;G dur;8;Guigue;;;Mandora;;6/8;"f/ | Vf/ (a/4 c) a/ '[,c,,a/] (,c/4 ,d) a/ | ,,,,,a/ ,,c [,,b,,a] V[,,c,a1] [,ab,,a/] | \
[,c,,a/] (,c/4 ,d) a/"
12;g moll;9;Trio;;;Mandora;Conc_4852;3/4;",,,,a/ ,b a1 f | '[e,,,,a1] (f/ h) a1 | ,,,,c/ ,d ,,b ,d ,,,,,a1 | \
'[,b,,a1] ,b/ ,a ,,c1 |"
13;g moll;10;Aria;;;Mandora;;C;"V[f,,,a1] a [,d,a/] ,b [,a,,,a1] | V[,,c,a1] ,,,,c ,,,,d [,ab,,a] | \
([,b,,a1] ,a/) ,d [,b,,a1] [,d,,,b] | \
[aa,,,a1] ,,,,,c ,,,,,e [,a,,,a/] ,b |"
14;g moll;11;Boure;;;Mandora;Conc_4854;3/4;",,,,a/ ,,c ,a ,,c ,,,,c ,,c | ,,,,d/ ,,c ,a ,,c ,,,,a ,,c | \
,,,,,a/ ,,b ,a1 '[a,,,,a] | '[,b,,a1] (,b/ ,a) ,,c1 |"
15;g moll;12;Fantasia - Adagio;;;Mandora;;2/4;"[,,c,a/4] a ,,c a [,,b,,a] a ,,b a | '[,b,,a/] (,a/4 ,b) ,,c/ f | \
[dd,,c/] d 'a b/4 ,d |"
16;g moll;13;Menuet;;;Mandora;;3/4;"[,,c,a1] a/ (,d ,b) ,a | [,,c,a1] (,,,c/ ,,,a) (,,,,d ,,,,c) | \
,,,a1 b [a,,,d] | [,d,,c1] [,b,,a] [,a,,,e] | \
'[,b,,a1] ,a/ ,b ,,c1 "
17;g moll;14;Guique;;;Mandora;Conc_4779;6/8;"V[,,c,a/] ,a ,b '[,b,,a] ,a ,,c | [aa,,,a1] ,,,,,c/ ,,,,,e1 ,,,,,a/ | \
[,,c,a/] ,a ,b [,b,,a] ,a ,,c | '[,,b,,a/] ,,c ,a ,,,c1 b/ |"
18;F dur;15;Arietta - Ex F;;;Mandora;;3/4;",,a/ ,,,c ,,,e | ,,,f/4 ,,a ,a ,,a ,,,f ,,a ,a ,,a ,,,e ,,a ,a ,,a | \
,,,c/4 ,,a ,a ,,a"
19;F dur;16;Post Menuet;;;Mandora;Conc_5231;3/4;"(3[,,a,,a/4] ,,c ,,a/) ([,,a,a/4] ,,c ,,a/) (3[,,aa/4] ,,c ,,a/) | \
[,,a,,a1] d Vd | (3[,,a,,a/4] ,,c ,,a/) (3[,,a,a/4] \
,,c ,,a/) (3[,,aa/4] ,,c ,,a/) |"
20;d moll;17;Entrée;;;Mandora;Conc_4669;C;"(3,a/4 ,c ,e) | [aa,,,a1] ,,,,,c ,,,,,d (3[a,,,,a/4] c d) | \
[ca,,c1] ,,,,e ,,,b ,,,,c/ c | \
,,,c/ d ,,,a c ,,,,d a '([c,,,a] a) |"
21;G dur;18;Entrada;;;Mandora;Conc_1727;C;"(a/ c) | V[f,,,a1] [,,c,a] [,,c,a] [,,c,a] | \
[,,c,,c1] [,,c,,c] [,,c,e] [,,c,e] | '[,a,,,a1] ,a [,,b,,a/] ,a a ,a | \
([,d,,a/] ,c) (,a ,c) ,,c1 [ac,,a] |"
22;d moll;19;Scicilliano - aria;;;Mandora;Conc_5138;12/8;"(,a/ ,c ,e) | [a,,,,a3/4] c/4 d/ [c,,,a3/4] d/4 a/ [,e,,c3/4] a/4 c/ ,a [,bc,a1] | \
[,aa,,d3/4] a/4 ,a/ [,,c,,c3/4] c/4 ,,c/"
23;G dur;20;Rigadon;;;Mandora;;C;"[f,,,a/] | [ac,,a/] ,c/4 ,,c [,a,a/] ,,,,,a/4 ,,b V[,,c,a/] ,,,,c ,,,,e ,,,,,a/4 ,a | \
,,,,a/4 ,c ,,,,c ,d ,,,,e a ,,,a c"
24;G dur;20;Giga;;;Mandora;;12/8;"[ac,,a/4] | [ac,,a3/4] [cd/4] [ac/] [ac,,a1] [f,,,e/] [f,,,e3/4] h/4 [e,,,,a/] [f,g,a1] [ac,,a/] | \
V[c,,a/] (c/4 a) ,d/ [ac,,a] a/4 ,d ,c/"
25;C dur;22;Menuet;;;Mandora;Conc_5236;3/4;",,c/ ,a | V[,d,a1] ,,c V[c,,a] | '[a,,,a1] ,d V[,d,a] | \
,,,,a/ a ,,,c d [c,,a1] | '[a,,,a1] ',c/ ,a ,,c1 |"
26;C dur;22;Salomon und David;;;Mandora;;3/4;"V[c,,a1] 'c [ac,,a] | V[,c,,a1] ,,c [,d,,a] | ,,,c/ d ,c d ,,,a c | \
[ac,,a1] '[,c,a/] ,a ,,c1 | ,,,c/ d ,c d ,,,a c |"
27;C dur;23;Arietta;;;Mandora;;2/4;",,c/4 ,a | V[,d,a/] ,,c [a,,,,a] ,,c | V[c,,a/] (d/4 c) [a,,,a/] ,,c | \
V[c,,a/] (a/4 c) [d,,c1] [c,,a] | \
[a,,,,a/] ,,,,,c ,,,,,e ,,,,,a |"
28;C dur;24;Pastorella - Ex C;;;Mandora;;3/4;"c/ d | [f,,,a1] ,d [ac,,a] | V,d1 ,,c [ac,,a] | '[c,,a1] 'a/ ,d [ac,,a1] | \
V[,d,a1] ,,c [ac,,a] |: ,,,a1 [cd/] ,,,a ,,,,a [df] |"
29;C dur;24;Quique;;;Mandora;;6/8;"K:frenchtab
,,c/ ,a | V[,d,a/] ,,c ,d [,d,a] ,,c ,d | [,d,a/] (c/4 a) ,d/ [,d,a1] [,,c,,c/] | \
,,,,,d/ ,a ,,,,,c ,,,,,a/ (d/4 c) a/ |"
30;C dur;26;aliud;;;Mandora;;6/8;",,c1 | ,,,a/ c ,d ,,,a c ,d | ,,,c/ d ,c ,,,c d ,c | \
,,,e/ f ,d ,,,e f ,d |"
31;D dur;27;[sans titre] Ex C;;;Mandora;;2/4;"(,a/4 ,c ,e) | [a,,,,a/] ,a [a,,,,a] ,a | [a,,,,a/] (e/4 c) a/ ,a | \
[a,,,,a/] ,a [a,,,,a] ,a | [a,,,,a/] (e/4 c) a/ [e,,,,a] |"
32;G dur;28;Aria;;;Mandora;;3/4;"f/ h ,,,,a1 ([a,,a/] c) | '[,c,,a2] V[,d,a1] | ,,,,a/ ,c a1 [f,,,a] | \
'[c,,a1] (a/ c) ,d1 | [c,,a1] [e,,,c] [f,,,a] |"
33;C dur;29;Aria;;;Mandora;Conc_5250;C;"[a,,,,a/] | '[,c,,a1] ,,,,c/ ,d ,,,,e a [c,,a1] | \
'[,,b,,a1] ,,,,,c/ ,,c ,,,,,e ,a [a,,,,a1] | \
'[,c,,a1] ,,,,c/ ,d ,,,,e a [,d,a1] |"
34;C dur;30;Menueto;;;Mandora;;3/4;"[,,ca1] ,d [ac,,a] | '[c,,a1] a/ c ,d1 | [f,,e1] [h,,f] [f,,e] | \
[f,,e1] [d,,c] [c,,a] | [c,,a1] d [c,,a/] d | \
'[a,,,a2] [,d,,c1] |"
