Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
25;C dur;56v;Minuet;;;Mandora;;3/4;"[,b,,d1] ,,a ,,a | '[,,a,d2] ,,a1 | ([,b,,d/] ,d) (a c) (d f) | \
'[d,,,d3] | a/ b [d,,,d1] [f,,d] | '[d,a3/2] b/ [a,,,d1] |";french5tab
26;C dur;57r;Marche;;;Mandora;;C;"[ab,,d/] a [ab,,d] (d/4 b) [ab,,d1] [,d,,,a] | \
(3[a,,,d/] ,d ,b) [,da,,a1] [ab,,d/] a (a/4 b) (d b) |";french5tab
27;C dur;57r;Minuet;;;Mandora;;3/4;"[a,,,d1] a [,d,,,a] | [,ba,d2] [d,,c1] | [f,,d1] '[b,,a2] | \
[a,,,d/] ,d a b a1 | [ab,,d1] a [,d,,,a] | [,ba,d2] [d,,c1] | \
[f,,d1] '[b,,a2] | [ab,,d3] :||:";french5tab
28;C dur;57v;Bourre;;;Mandora;;C;"a/ b | [db1] ,,,,d [ab] (,d/ ,b) | [,d,,c1] ,,a [,da] ,,,d | \
,,,c1 (,d/ ,b) ,a ,,c ,,a1 | '[,,ca3/2] ,,a/ [,,a,,a1] :||:";french5tab
29;a moll;57v;Ciacona;;;Mandora;;3/4;"[,bc,a1] [,bc] [,bc] | [aabc1] [,ab] [aabc] | [,bc,a1] [,bc] [,bc] | \
[,da,c1] ,,a/ ,,c ,a ,,a | [aba,d1] [aba] [aba,d] | \
[,da,c1] [,da] a |";french5tab
30;a moll;58v;[sans titre];;;Mandora;;3/4;"[abc,a1] ,,c ,a | [,bc,a1] ,,,,c ,d | [aba,d1] ,,c [,a,a/] ,,c | \
[,acc1] ',,b [,,c,a] | [,bc1] [bb] ,a | [aba,d1] ,,a [,d,,c] |";french5tab
31;a moll;59v;Sarabande;;;Mandora;;3/4;"[,bc,a3/2] ,a/ ,,c1 | '[b,,a2] a1 | [,d,d3/2] ,b/ ,d1 | \
[aabc2] a1 | '[,bc,a3/2] ,a/ ,,c1 | '[ba,a2] [a,,c1] | \
[,d,d3/2] [,b,c/] [,a,,,a1] | [,ba,d3] :||:";french5tab
32;a moll;59v;Aria;;;Mandora;;C;"[,bc,a1] ,a/ ,,c ,a1 a | [a,cd1] [,de/] ,,c [,db1] [aabc] | \
[,bc1] ,,,,a/ ,b [,aa,,a1] ',b/ ,a | \
[,,cd3/4] ,b/4 ',a3/4 ,,c/4 ',,b1 ,,,c :||:";french5tab
33;a moll;60r;Minuet;;;Mandora;;3/4;"[,,c,a1] [aab3/4] ,a/4 ,b/ ,d | '[,b,,a3/2] ,b/ [,a,c1] | \
[,,cd1] [,d,a/] ,b ,a ,,c | ,,b1 ',,,c ,,,a | ,,,,d1 ,,c ',,b |";french5tab
;;;Parthia Prima;;;;;;;
34;A dur;60v;Allamande;;;Mandora;;C;",,c/ | [,,cca1] (3a/ ,c ,d) [ac,,e/] c '[,d,a3/4] ,c/4 | \
,a/ [,,bc] ,,,a/4 ,a ,c ,d [ac,,e/] ,,c [,db,c3/4] a/4 |";french5tab
35;A dur;60v;Bourre;;;Mandora;;C;"a/ ,d | '[,cc,a1] [,,bc] [,,c,e] [,a,a] | \
'[,cc,a1] (,a/4 ,c) ,d/ ,c1 a/ ,d | \
'[,cc,a1] [,ab] [,,ce] [,ab] |";french5tab
36;A dur;61r;Sarabande;;;Mandora;;3/4;"V[,,cca3/2] ,a/ ,c1 | [,ab1] ,,,c a | [f,,e/] ,e (a1 c) | \
[ea,c3/2] c/4 a ,d1 | '[,cc,a1] f 'd | [cd,a3/2] (a/ c1) |";french5tab
37;A dur;61v;Minuet;;;Mandora;;3/4;"a1 ,,c a | V[,,c,a1] ,a/4 ,c ,d/ [ac,,e1] | [cd,a1] [a,c,e] [,db,c] | \
[,cc,a1] (,d/4 ,c) ,a/ ,,c1 | [,,bc1] a/ c e1 |";french5tab
;;;Part. 2;;;;;;;
38;A dur;61v;Aria;;;Mandora;;C;"V[,,cca1] a [aab3/2] ,d/ | '[,d,e3/2] ,c/ [,dca1] (,c/4 ,a) ,,c/ | \
[,,bc1] ,,,c/ ,,,a [a,c,e1] 'd3/4 c/4 | \
[cd,a1] ,,,a/4 ,,,,e ,,,,c/";french5tab
39;A dur;62r;Gavotta;;;Mandora;;C;",c/ ,d | [a,c,e1] [fd,e] [ea,c] [cd,a] | '[a,,,e1] ,d/ a [,cc,a1] ,c/ ,d | \
[,ab1] [,,ce] [,,bc] [,,ce] | [,ab1] (,,c/4 ,,b) ,,,e/";french5tab
40;A dur;62v;Minuet;;;Mandora;;3/4;"[,,cca1] ,,c/ (,a/4 ,c) ,,c1 | [aab1] a/ (c/4 e) a1 | \
[fd,e1] ,d f | [ea,c1] e/ (c/4 a) ,d1 |";french5tab
41;A dur;62v;Bourre;;;Mandora;;C;"a/ ,d | [,cc,a1] c [ac,,e] [,db,c] | '[,cc,a1] ,d/ ,c [,ab1] ,c/ ,,b | \
[,,c,e1] [,a,a] (,c/4 ,d) (,c ,a) ,,c1 |";french5tab
42;A dur;63r;Gavotta;;;Mandora;;C;"V[,,cca1] (,a/4 ,c) ,d/ [,ab3/2] [aa/] | [fd,e1] ,d/ f [ea,c1] ,c | \
[cd,a1] c/ [a,c] '[,d,a3/2] ,c/ | '[,a,c3/2] ,,b/ [,,cca2] :||:";french5tab
43;A dur;63r;Sarabande;;;Mandora;;3/4;"V[,,cca3/2] (,a/4 ,c) ,d1 | ,,b/ ,a a ,d '[,c,,a1] | \
[cd,a3/2] (c/4 e) f1 | '[,a,c3/2] ,,b/ [,,cca1] | \
[,ab3/2] ,a/ a ,a |";french5tab
;;;Part. 3tia;;;;;;;
44;A dur;63v;Aria;;;Mandora;;C;"[ff,,e1] 'e/ c [ac,,e1] ,,c | [cd,a1] ,,,,e/ ,,,,c [ff,,a1] (a/ c) | \
[aab1] (c/4 a) ,d/ '[,cc,a1] ',,b/ ,a |";french5tab
45;A dur;64r;Bourre;;;Mandora;;C;"a1 | [,cc,a1] [,d,,c] [ac,,e] [cd,a] | [,db,c1] (,d/4 ,c) ,a/ [,cc,a1] ,d/ ,c | \
[,ab1] [,,ce] [,,bce] ,,c/ ,a |";french5tab
46;A dur;64v;Minuet;;;Mandora;;3/4;"[,cc,a1] ,d [,db,c] | '[a,,,e2] [ac,,e1] | [,,c,e1] [,ab] ,,c/ ,a | \
'[,cc,a2] ,c1 |: [ac,,e1] [cd,a2] | [a,c,e3/2] (,d/ ,c1) | \
[,d,a1] '[,a,c3/2] (,,b/ | [,,c,a3]) :|";french5tab
47;A dur;64v;Sarabande;;;Mandora;;3/4;"[aVc,,a3/2] a/ f1 | [ea,c3/2] (c/ a1) | [cd,a1] [aa,c] (,d/4 ,c) ,d/ | \
[,abc1] ,a ,,,a | [ac,,e1] [,,c,e] ,,c | \
[,cc,a1] [,db,c] [ac,,e] |";french5tab
48;A dur;65r;Lamento;;;Mandora;;C;"[,cc,a1] [,db,c] [ac,,e] [cd,a] | '[a,,,e1] [,d,,c] '[,c,,a] ,a/4 ,c ,d/ | \
[ac,,a1] [,abc] [,,ce] (,a/4 ,c) a/ |";french5tab
49;A dur;65v;Guige;;;Mandora;Conc_1425;3/8;",,,,a/ f a | ,c/ a ,c | ,,b/ a ,a | ,,b/ ,a ,,b | ,,,e/ c e | \
f/ 'e c | ,,,c/ e a |";french5tab
50;A dur;66r;Minuet;;;Mandora;;3/4;"[,cc,a1] ,c/ ,a ,c ,,c | [,abc1] ,a [aa] | \
[cd,a1] c/ e f1 | [e,,c1] e (c/4 a) ,d/ | \
'[,cc,a1] ,c/ ,a ,c ,,c |";french5tab
;;;Part. 4ta;;;;;;;
51;a moll;66r;Aria;;;Mandora;;C;"[ff,,a1] ,,e/ e [ff,,e1] ,f | a1 [bdca] b/4 a ,d ,b ,d1 | \
[aab,c1] ,,b/ a [,dcd1] (,a/ ,b) |";french5tab
52;a moll;66v;Gavotta;;;Mandora;;C;"[,,c,a1] ,,c/ ,b [,aa1] ,,,c/ ,a | [,,c,d1] ,,,a/ ,a [,,bc1] ,,,a/ b | \
'[a,,,d1] ,,,a/ a [,,bc1] ,,,d/ ,,c |";french5tab
53;a moll;67r;Sarabande;;;Mandora;;3/4;",f1 | [ff,,a1] [ff] [ea,,c] | [cd,a1] [cd] [a,c,e] | \
[,db,c1] [,d,a] ,c/4 ,a ,,c/ | [,abc1] ,,c [aa] | \
[bbc1] [bb] [aaa] | [,dcd1] [,dc] [,bc,d] |";french5tab
54;a moll;67r;Treza;;;Mandora;;3/4;"[,,cca1] ',b [,aa] | [,,cd1] '[,,bc] ,,,c | [,,c,d1] [,a,a] (,b/ ,a) | \
'[,,bc1] V[,,cca] ,,c :||: [ab,,d1] [ba,a] [aaa] | \
[,da,c1] [ab,,d] [ab] |";french5tab
55;a moll;67v;Minuet;;;Mandora;;3/4;"[,,cca1] (,a/4 ,b (,b ,a) ,,c1 | '[,,bc1] ,,b [aa] | \
[bbc1] (b/4 a) (,d ,b) ,d1 | [aab,c1] ,,b [aa] |";french5tab
;;;Part. 5ta;;;;;;;
56;D dur;67v;Aria;;;Mandora;;C;"[fhha1] (d/4 c) a/ '[a,,,e1] ,,c/ a | \
[,db,c/] ,,,,a ,,b a '[,cc,a1] ,,c/ ,,a | \
[,e,e1] [d,,a] [d,,,e] [a,,a] |";french5tab
57;D dur;68r;Echo;;;Mandora;;C;"f1 | [,dca1] [a,c,e] [c,ca] [da,c] | [fd,e1] d/4 c) a/ ,d1 [haa] | \
[fd,e1] [da,c] [cd,a] [dda] | [a,,,a/] ,d a c '[a,,,a1] [cd] |";french5tab
58;D dur;68v;Minuet;;;Mandora;;3/4;"[fh,a1] h/ f) (d c) | [d,,c1] 'd3/2 c/ | [c,,e3/2] 'a/ ,d1 | \
'[,c,,a3/2] ,a/ ,,c1 |: [fh,a1] (h/ f) (d c) |";french5tab
59;D dur;68v;Aria;;;Mandora;;C;"[,dca] '[,c,c2] | [,d,e2] ,d1 | [a,,,a1] ,,c a | [cd,a2] [cd1] | \
[da,c1] ,a ,c | [fd,e1] ,d f | [d,a1] '[a,,,a] (,d/ ,c) | \
[,dca3] :||:";french5tab
60;D dur;69r;Minuet;;;Mandora;;3/4;"[,dca1] '[,cc,a2] | [,d,,c2] [ac,,e1] | [cd,a1] [d,a/] c/4 a ,d1 | \
[,cc,a1] (,d/4 ,c) ,a/ ,,c1 | [,dca1] '[,cc,a2] | \
[,da,c2] [ac,,e1] |";french5tab
61a;D dur;69v;Boure Mandora 1a;;Duet;Mandora;;C;"(f/ d) | 'c1 ,,,a [cd] a/ ,d | ',c1 ,,,,a [,ccc] (f/ d) | \
'[c,,a1] ([d,a/] c) '[a,,,a1] ,d/ a | ,d1 ,,,a ,d :||:";french5tab
61b;D dur;69v;Boure Mandora 2a;;Duet;Mandora;;C;"(c/ a) | [fh,a1] [fh] [fh,a] d/ c | [ac,,a1] [ac] [ac,,a] (c/ a) | \
[,d,a1] [a,a/] ,d '[,d,,a3/2] ,c/ | ,d1 ,,,a ,d :||:";french5tab
;;;Part. 6ta;;;;;;;
