Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances
49b;C dur;79r;Symphonie;;;;
50b;C dur;80r;Marche;;;;
51b;C dur;80v;Gavotte;;
52b;C dur;80v;Menuet;;
53b;C dur;81r;Trio;;
;;9 - Partie en F A deux Luths;;;
;;;;;Pour le Première
54a;F dur;82v;Ritornelle;;
55a;F dur;84r;Rondeau;;
56a;F dur;84v;Gavotte;;
57a;F dur;84v;Traccanaxe;;
58a;F dur;85r;Sarabande;;
59a;F dur;85v;Menuet;;
60a;F dur;85v;Trio;;
61a;F dur;86r;Gigue;;
;;;;;Pour le Secondième
54b;F dur;87v;Ritornelle;;
55b;F dur;89r;Rondeau;;
56b;F dur;89v;Gavotte;;
57b;F dur;89v;Traccanaxe;;
58b;F dur;90r;Sarabande;;
59b;F dur;90v;Menuet;;
60b;F dur;90v;Trio;;
61b;F dur;91r;Gigue;;
;;10 - Partie en F A deux Luths;;;
;;;;;Pour le Première
62a;F dur;92r;Entrée;;
63a;F dur;92v;Menuet;;
64a;F dur;92v;Air;;
65a;F dur;93r;Bouree;;
66a;F dur;93v;Trio;;
67a;F dur;93v;Marche;;
68a;F dur;94r;Rondeau;;
;;;;;Pour le Secondième
62b;F dur;95r;Entrée;;;;
63b;F dur;96v;Menuet;;;;
64b;F dur;96v;Air;;;;
65b;F dur;97r;Bouree;;;;
66b;F dur;97v;Trio;;;;
67b;F dur;97v;Marche;;;;
68b;F dur;98r;Rondeau;;;;
;;11 - Partie en F A deux Luths Faite à 2 viole: <br> cornes de chasse: et La Basse: Par L'Auther Mr Thielli;;;;;
;;;;;Pour le Première;;
69a;F dur;99v;Ouverture;Thielli;;;
70a;F dur;100v;Marche;Thielli;;;Conc_2416
71a;F dur;101r;Menuet;Thielli;;;Conc_2417
72a;F dur;101v;Bouree;Thielli;;;Conc_2418
73a;F dur;102r;Marche;Thielli;;;Conc_2419
74a;F dur;102v;Menuet;Thielli;;;Conc_2421
75a;F dur;102v;Echo;Thielli;;;Conc_2420
76a;F dur;103v;Gigue;Thielli;;;
;;;;;Pour le Secondième;;
69b;F dur;105v;Ouverture;Thielli;;;
70b;F dur;106v;Marche;Thielli;;;
71b;F dur;107r;Menuet;Thielli;;;
72b;F dur;107v;Bouree;Thielli;;;
73b;F dur;108r;Marche;Thielli;;;
74b;F dur;108v;Menuet;Thielli;;;
75b;F dur;108v;Echo;Thielli;;;
76b;F dur;109v;Gigue;Thielli;;;
;;12 - Partie en G A deux Luths;;;;;
;;;;;Pour le Première;;
77a;g moll;111r;Ouverture;;;;
78a;g moll;112r;Gavotte;;;;Conc_2429
79a;g moll;112r;Menuet;;;;Conc_2430
;;;;;Pour le Suivant se change l'Accord;;
80a;g moll;112v;Passepied;;
81a;g moll;112v;Bouree;;
82a;g moll;113r;Double;;
83a;g moll;113r;Menuet;;
84a;g moll;113v;Trio;;
85a;g moll;113v;Gigue;;
;;;;;Pour le Secondième
77b;g moll;115r;Ouverture;;
78b;g moll;116r;Gavotte;;
79b;g moll;116r;Menuet;;
;;;;;Pour le Suivant se change l'Accord
80b;g moll;116v;Passepied;;
81b;g moll;116v;Bouree;;
82b;g moll;117r;Double;;
83b;g moll;117r;Menuet;;
84b;g moll;118v;Trio;;
85b;g moll;118v;Gigue;;;;
;;13 - Partie en G y traduite d'A A deux Luths Faite à 2 hautbois <br> + viole discorde(?) + taille et la Basse: Par L'Autheur Mr Melante;;;;;
;;;;;Pour le Première;;
86a;g moll;120v;Ouverture;"Telemann (""Melante"")";;;
87a;g moll;121v;Effronterie;"Telemann (""Melante"")";;;Conc_2431
88a;g moll;122r;Air;"Telemann (""Melante"")";;;Conc_2432
89a;g moll;122v;Rigidon;"Telemann (""Melante"")";;;Conc_2433
90a;g moll;122v;Menuet;"Telemann (""Melante"")";;;Conc_2434
91a;g moll;123r;Trio;"Telemann (""Melante"")";;;Conc_2435
92a;g moll;123v;Paisane;"Telemann (""Melante"")";;;Conc_2436
93a;g moll;123v;Angloise;"Telemann (""Melante"")";;;
;;;;;Pour le Secondième;;
86b;g moll;125v;Ouverture;"Telemann (""Melante"")";;;
87b;g moll;126v;Effronterie;"Telemann (""Melante"")";;;
88b;g moll;127r;Air;"Telemann (""Melante"")";;;
89b;g moll;127v;Rigidon;"Telemann (""Melante"")";;;
90b;g moll;127v;Menuet;"Telemann (""Melante"")"
91b;g moll;128r;Trio;"Telemann (""Melante"")"
92b;g moll;128v;Paisane;"Telemann (""Melante"")"
93b;g moll;128v;Angloise;"Telemann (""Melante"")"
