PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;Tuning;Concordances;TimeInz;Tab;TabNotation
53;;20v;48.te Henßelin;;;;Cithrinchen;;3;"X,b3/2 ,a/ ,,c1 | X,b3/2 ,a/ ,,c1 | ,d1 a ,b | X,a3/2 ,,c/ ,,c1 :||: \
[ab1] b d | Xd3/2 b/ [ab1] |";french5tab
54;;21r;49.te [sans titre];;;;Cithrinchen;;C;",d1 f [fg3/2] f/ | d/ f d b [acc3/2] b/ | d1 f a b | \
Xa3/2 ,d/ [,dcc2] :||:";french5tab
55;;21r;50.te Courant simpel;;;;Cithrinchen;;3;",d1 | ,d3/2 a/ b1 | ,d1 f f | [fgf3] | [ac1] b d | \
Xb3/2 a/ ,d1 | d1 Xb3/2 a/ | [acc3] :||:";french5tab
56;;21v;51.te Wie ist die Libe doch so beschreit;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;3;"f/ d b ,d a/4 b d/ | X[ba3/2] a/ [acc1] | b1 [,dd3/2] d/ | \
[fcc3] | f/ d b ,d a/4 b d/ |";french5tab
57;;21v;52te Wacker lütige dehrens;;;;Cithrinchen;;3;",d3/2 a/ b | Xa3/2 ,d/ ,c1 | [,dc3/2] a/ b d | [fgf3] | \
f3/2 d/ b1 | Xa2 ,d1 | ,c1 ,,c ,a |";french5tab
58a;;22r;53.te Polsch: Tantz;;;;Cithrinchen;;C;"[df,a3/2] d/ [ca1] f | [d,,a1] c/ a ,e1 ,a | \
a/ c d f Xc1 a | ,e1 ,a [,aadc2] :||:";french5tab
58b;;22r;54.te Prop.;;;;Cithrinchen;;3;"d1 d [ca2] f | d1 c/ a ,e2 ,a | a1 d Xc2 a | ,e1 ,c [aadc2] :||: \
,a1 ,a ,,c2 ,b |";french5tab
59a;;22v;55.te Polsch: Tantz;;;;Cithrinchen;;C;"e3/2 e/ Xc3/2 ,e/ | [af2] ,,,a1 e | Xc3/2 a/ ,e1 ,c | \
X,a3/2 ,c/ ,e1 a | c1 f Xe3/2 c/ | [ca4] :||:";french5tab
59b;;22v;56.te Prop.;;;;Cithrinchen;;3;"e1 e Xc2 ,e | a1 ,e [af2] e | c1 a ,e2 ,c | ,a1 ,c ,e2 a | \
c1 f Xe3 a1 | cf2 [ca4] :||:";french5tab
60;;23r;57.te Undt wens nicht will, so;;;;Cithrinchen;;3;"a/4 c d/ | [da3/2] f/ d1 | Xc3/2 a/ ,d1 | Xa3/2 ,d/ ,b1 | \
[,aba2] [,da1] | [abaaa2] [,da1] | X[,bc3/2] ,d/ ,a1 |";french5tab
