PieceNr;Key;PageNr;Name;Composer;Comment;deuNotes;Tuning;Concordances;TimeInz;Tab;TabNotation
96;;36r;94. Saraband;;;;Cithrinchen;;3;"[dbaaa1] [ab] [,bc] | X[,aa3/2] [,,cb/] [,,aa1] | \
[,,cb1] ,,c/ ,a [,bc1] | [,ba3/2] ,a/ [,baaa1] | \
[,ded1] ,d X[,aa] | [abaaa1] a/ ,d (,b ,a) |";french5tab
97;;36r;[sans titre];;;;Cithrinchen;;C;"a/ ,d | X,b1 ,a [,bc] ,d | [,aba2] y1 a1 | ,,c1 ,d [,ab] ,a | \
,b2 ,,c | a1 [bd3/2] b/ Xb3/2 a/ |";french5tab
98;;36v;95. Allamanda;;;;Cithrinchen;;C;"d/ | [dba3/2] b/ a ,,,,a ,,,a a | X,d3/2 ,b/ [aba2] | \
,,,,a/ d f h i ,b ,d a |";french5tab
99;;37r;96. Allemand;;Verte Courant;;Cithrinchen;;C;"b/ | [bbc3/2] d/ f3/4 b/4 Xa3/4 ,d/4 | ([,bc3/2] ,d/) [,,dd3/2] ,,c/4 (,,d ,,a/) ,b | \
,,c1 ,,,b/ f Xb (a/4 b) ,d/ d |";french5tab
100;;37v;97. Courant;;;;Cithrinchen;;3;"b/ | [bbc3/2] (b/ a ,d) | ,b1 ,,c ,d | [,dd1] X[baa3/2] ,,d/ | \
[,,cb3/2] d/ b a | ,d1 Xd3/2 b/ |";french5tab
101;;38r;98.te Saraband;;;;Cithrinchen;;3;",b1 [,,cb3/2] ,,d/ | X[,baa3/2] ,,d/ [,,cb1] | \
b1 [dd] (d/ b) | Xb3/2 a/ [bbc1] | ,d1 X[da3/2] b/ | \
X[ab3/2] (,d/ ,b ,a) |";french5tab
102;;38r;Preludium;;;;Cithrinchen;;C;"z/4 ,,,,a/4 ,,,,c ,,,a ,,,b ,,a ,,c ,a ,b ,,,a ,,,b ,,a ,,c ,a ,b ,d | \
a/4 ,,a ,,c ,a ,b ,d a b";french5tab
103;;38v;99.te Saraband;;;;Cithrinchen;;3;",b1 | [dbaaa3/2] f/ d1 | [dff2] ,b1 | ""pian""[df3/2] f/ d1 | \
[dff2] a1 | [bd3/2] d/ f1 | [fgf3/2] d/ b1 | \
X[a,,,a3/2] b/ d1 |";french5tab
104;;38v;100. Amande du allein;;;;Cithrinchen;;C;"d1 d [df] f | b1 b [aba2] | a1 b ,d d | X[cd3/2] d/ [daa2] :||: \
,d1 ,d d d | Xb3/2 a/ [,da2] |";french5tab
105;;39r;101. Ballet;;;;Cithrinchen;;C;",b1 d Xb a | ,d1 a ,b ,,,,a | a1 ,d ,b ,a | X,,c3/2 ,,a/ [,,adc2] :||: \
,,a1 ,,c ,a ,b |";french5tab
106;;39r;102. Sarab:;;;;Cithrinchen;;3;",b1 a b | Xd3/2 b/ a1 | [bd1] d [ab] | X,d3/2 ,a/ [aba1] | \
a1 ,d a | X,b3/2 ,a/ ,,c ,a |";french5tab
107;;39v;103. Gigue;;;;Cithrinchen;;3;",,a1 | ,b2 ,d1 | a3/2 b/ d1 | b1 a ,d | ,b2 f1 | d2 b1 | \
,a2 ,,c1 | ,,a2 ,,c1 | ,a1 ,,a ,,,b |";french5tab
108;;40r;104. Ein Tantz;;;;Cithrinchen;;C;"[abaaa1] a ,d a | ,b1 ,a X,,c ,,a | ,b1 ,b ,d a | X[,da3/2] ,b/ [,baaa2] :||: \
d1 f b d |";french5tab
109;;40r;105. Courant;;;;Cithrinchen;;3;"a1 | [abaaa3/2] b/ d1 | f1 [bd] d | [abaaa3/2] b/ d1 | \
a1 ,d ,b | X,a3/2 ,b/ ,d1 | ,a1 X,,c3/2 ,,a/ | [,,adc3] :||:";french5tab
110;;40v;106 [sans titre];;;;Cithrinchen;;C;",,a/4 ,,c ,a | ,b1 ,,a ,,,,a ,b3/4 ,d/4 | a1 ,b ,,,,a i | \
i1 d f a3/4 b/4 | d3/4 f/4 d3/4 b/4";french5tab
111;;40v;107 Sarab:;;;;Cithrinchen;;3;"[ab1] ,b ,d/ ,b | X,a3/2 ,,c/ ,,a1 | [bd1] [,aa] ,b | \
X,b3/2 ,a/ [aba1] | ,d1 ,a d | ,b/ a ,,c ,b a1 |";french5tab
112;;41r;108 Sarab:;;;;Cithrinchen;;3;",b1 | [,ba3/2] d/ d1 | f1 Xa3/2 b/ | d3/2 ,d/ [,ded1] | \
a1 X,b3/2 ,a/ | [,aa3] | ,b1 ,,c3/2 b/ | [bd3/2] d/ f1 |";french5tab
113;;41v;109 Sarab:;;;;Cithrinchen;;3;",b1 a b | Xd3/2 b/ a1 | [bd1] d [ab] | X,d3/2 ,a/ [aba1] | \
a1 ,d a | X,b3/2 ,a/ ,,c ,a |";french5tab
114;;41v;110 Gigue;;;;Cithrinchen;;C;",b3/4 a/4 ,,a3/4 ,b/4 ,,,a3/4 ,,a/4 ,,,,a1 | \
d3/4 a/4 f3/4 d/4 Xb3/4 a/4 [abaaa1] | \
a3/4 b/4 d3/4 ,b/4 X[,aa3/4] ,b/4 ,d3/4 f/4 |";french5tab
115;;42r;111. [sans titre];;;;Cithrinchen;;C;"[df2] i1 d | f1 d/ b a1 ,b | [df2] i1 d | f1 d/ b [aba2] :||: \
[aba1] a a ,b |";french5tab
116;;42r;112.te Will[st?] woll;;;;Cithrinchen;;C;"[aba1] ,d/ ,b [,aa1] [,bc] | ,d/ a b d [aba1] ,,,,a | \
[dba1] f/ d [bd1] [ab] | X[,da3/2] ,b/ [aba1] ,,,,a :||:";french5tab
117;;42v;113.te Allamande;;;;Cithrinchen;;C;",b/ | [,baaa3/2] ,d/ a d b a | ,d/ a X[,da3/4] ,b/4 [,baaa3/2] a/ | \
[,de3/2] a/ [,bc3/2] ,d/ | X[,aba3/2] ,,c/ [,acca3/2] ,a/ |";french5tab
118;;42v;114.te Wie war doch Seladon;;;;Cithrinchen;;3;"[,baaa1] ,b ,d/ ,b | X[,aa3/2] ,,c/ ,,a1 | [,,cb1] ,,c/ ,a [,bc1] | \
X[ba3/2] ,a/ [abaaa1] :||: [,da1] ,d [da/] b | \
X[a,,,a3/2] ,d/ b1 |";french5tab
119;;43r;115.te Die Mädgens machens alle Zeit;;;;Cithrinchen;;C;"a/ b | d1 [,de] [ab] ,d/ ,b | X[,aa3/2] ,,c/ ,,a1 [,aa] | \
[,bc1] [,de] [aba3/2] b/ | [,da1] [,ded2] :||:";french5tab
120;;43v;116.te Aria;;;;Cithrinchen;;C;",,a1 | ,b1 ,d a b | Xd3/2 b/ a1 d | [bd1] [ab] ,d d/ b | \
Xa3/2 ,d/ ,b1 ,,a |";french5tab
121;;43v;117.te Lebt Jemand so wie ich;Valentin Strobel?;;;Cithrinchen;;C;"d1 | [dba1] f X[baa3/2] a/ | [abaaa3] d1 | [,bc1] ,b X[ba3/2] a/ | \
[,ded3] d1 | f3/2 h/ i1 i | Xh3/2 f/ d1 [dff] |";french5tab
122;;44r;118 Opra Ariae Wer süße vergnüg[en] Hidraspes;Johann Theil;Verte:;Johann Theil, Orontes (1678);Cithrinchen;;3;",b1 | [dbaaa3/2] f/ d b | [aba1] [,b,,a] [df] | \
[fg3/2] g/ [fg1] | [df1] a [df] | [,da1] a b | [abaaa2] a1 |";french5tab
123;;44v;119.t Opera Ariae Alles ist nichtig;;;;Cithrinchen;;3;"(a/ ,d) (,c ,d) (a ,d) | X,c3/2 ,a/ ,,c1 | f3/2 e/ c1 | \
Xa3/2 ,d/ ,c1 | [ac3/2] c/ e1 |";french5tab
124;;44v;120.t Saraband.;;;;Cithrinchen;;3;"i3/2 h/ f1 | Xd3/2 b/ a1 | b3/2 d/ f1 | X,d3/2 ,b/ [aba1] :||: \
[ab3/2] b/ a ,d | X,c3/2 ,a/ ,,c1 |";french5tab
125;;45r;121.te Boure;;;;Cithrinchen;;C;",d1 | d1 f h f/ d | f1 c c d/ c | a1 ,d/ ,c X,a3/2 ,c/ | \
,d1 ,d2 ,d1 |";french5tab
126;;45r;122.te Minuett;;Verte Z.te Repetitio./.;;Cithrinchen;;3;",d1 ,d d | >Xc3/2 a/4 c d1 | ,a1 ,b ,,c | [,aadc2] ,a1 | \
,d1 ,d d | Xc3/2 c/ d1 |";french5tab
127;;45v;123.te Gavott;;;;Cithrinchen;;C;",,c1 a ,b/ ,a ,,c1 | f/ h i1 h | d1 f d/ b Sa1 | \
f1 X,d3/2 ,b/ [abaaa1] |:";french5tab
128;;46r;124.te Courant;;Verte Gigue;;Cithrinchen;;3;"a1 | [aaaa3/2] c/ d1 | f1 Xc3/2 a/ | [,ee3] | \
,a1 ,,c ,a | X,,a3/2 ,,,c/ ,,,a1 | ,f1 X,d3/2 ,b/ | [,aa3] |";french5tab
129;;46v;125.te Gigue;;;;Cithrinchen;;3;",a1 | a3/2 c/ ,e1 | [af2] ,a1 | ,,c3/2 ,,a/ ,,,c1 | \
,,,a2 ,,a1 | ,,,c3/2 ,,a/ ,,,a1 | [ab2] ,a1 | ,,c3/2 ,a/ ,c1 |";french5tab
130;;46v;126.te [sans titre];;;;Cithrinchen;;C;",,,a1 ,a ,,a/ ,,c ,a1 | ,,,a2 d1 d | a/ c d f h1 ,a | \
,a2 d1 ,d | a1 ,a ,b ,,c |";french5tab
131;;47r;127.te Helffer meiner Armen Seele;;;;Cithrinchen;;C;"[aaaa1] ,a a c | d1 (c/ a) [,ee1] ,e | [aaaa1] c ,a/ ,c ,d a | \
X[,cd3/2] ,a/ [,ae1] ,a |";french5tab
132;;47r;128.te Laß fahren du mein freyer Sinn;;;;Cithrinchen;;C;"f1 d/ b a1 ,d | X,c3/2 ,d/ [acca2] | f1 d/ b a1 ,d | \
X,c3/2 ,d/ [acca2] :||: a1 a/ b d1 d |";french5tab
133;;47v;129. Ariae  Weicht ihr gedancken, weicht von mir;Adam Krieger;;;Cithrinchen;;C;"[bbc1] Xa/ ,d f/4 g3/4 ,d/ a | b1 X'[acc3/4] ,d/4 [,dcc2] | \
l3/4 l/4 i/ g f/ f/4 g i1 |";french5tab
134;;48r;130.te Ariae Ich binn verliebt und weiß nicht etc.;Adam Krieger;;;Cithrinchen;;C;",d3/4 ,b/4 | X,b3/2 ,,d/ [,,dbc2] | z1 b1 Xd3/2 d/ | \
[bbcb2] z/ f/4 d b1 | [ddd1] Xf3/4 d/4 f/ g3/4 g/4 i/ |";french5tab
135;;48v;131. Preludium;;;;Cithrinchen;;C;"d/ ,d a ,a ,b ,,a ,,c ,,,a/4 ,,,b | ,,a/ ,,,,c ,,,a ,,a [aba1] ,,,,a | \
,,,,a/ ,,,a ,,,,c ,,,b ,,,a ,,a ,,,b ,,c |";french5tab
136;;49r;132.te Ariae Wie soll ich meine Pein und der gedancken etc./.;;;;Cithrinchen;;C;"z1 [df1] [abaaa] f/ d | Xb3/2 a/ [aba3/2] ,d/ | \
[,bc1] ,b/4 ,d a ,d ,d1 X,b3/4 ,a/4 |";french5tab
137;;49v;133. Ariae ex Opera Orontes Ihr Mädgens wen ihr seid beflißen;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;3;",b1 | X[aba1] ,d ,b | Xd1 b a | b1 Xa ,d | a1 [,ba] d | \
f1 c d | d/ f Xd3/2 c/ |";french5tab
138;;50r;134. Ariae. Amande du allein;;;;Cithrinchen;;C;"[df1] d [df] f | X[b,,,a1] b [aba2] | [aba1] b [,da] d | \
X[cd3/2] d/ [daa2] :||: [,da1] ,d [da] d | Xb3/2 a/ [,da2] |";french5tab
139;;50r;135.te Sarabande;;;;Cithrinchen;;3;",b1 | [dbaaa3/2] f/ d1 | [dff2] ,b1 | ""pian""[df3/2] f/ d1 | \
[dff2] a1 | [bd3/2] d/ f1 | [fgf3/2] d/ b1 | \
X[a,,,a3/2] b/ d1 |";french5tab
140;;50v;136.te Galliardt [sic!];;;;Cithrinchen;;C;"[aba3/2] b/ a3/2 ,d/ | [,bc2] X,b3/2 ,a/ | [,,cb2] ,,c | \
[bd3/2] d/ b3/2 a/ | ,d3/2 a/ ,b3/2 ,d/ | [,aa2] ,a :||:";french5tab
141;;50v;137.te Opra Sarband Sernet;;;;Cithrinchen;;3;"[aba3/2] b/ a ,d | [,bc2] d1 | [fg2] d1 | X[ba2] [aba1] | \
[aba3/2] b/ a ,d | [,bc2] ,a1 | [,,cb2] ,b1 | [,aa3] :||:";french5tab
142;;51r;138.te Ariae a 2 Persohnen. Amyntas und Dianen :/: (Amyntas) Diana Schönste du tödtest mein Leben etc.;;Verte (Diana);Adam Krieger [1634-1666]: Liebesgespräch zwischen Amyntas und Dianen. In: Herrn Adams Krieger neue Arien, Dresden 1676, S. 48 ff.;Cithrinchen;;3;"[,baaa3/2] ,d/ ([,bc/4] a ,d ,b) | X[,aa3/2] [,,cb/] [,,aa1] | \
[,,cb3/2] ,,c/ X[,aa3/4] ,b/4 | [,baaa2] X,,a1 | \
[,bc3/2] ,d/ ([,aa/] ,b) |";french5tab
143;;51v;139: (Diana) Amyntas: Ach Nein Nein Nein Nein Nein Nein;Adam Krieger;;Adam Krieger [1634-1666]: Liebesgespräch zwischen Amyntas und Dianen. In: Herrn Adams Krieger neue Arien, Dresden 1676, S. 48 ff.;Cithrinchen;;3;"a/ ,d | [,baaa1] ,,a [,de] | [abaaa2] [df1] | [fg1] [df] [bd] | \
[abaaa2] :||: [,da1] | [abaaa2] [,de1] | [abaaa2] [,da1] | \
[ab1] [,de] [,bc] |";french5tab
144;;51v;140te Der beschluß (Amyntas) Ach ists müglich;Adam Krieger;;Adam Krieger [1634-1666]: Liebesgespräch zwischen Amyntas und Dianen. In: Herrn Adams Krieger neue Arien, Dresden 1676, S. 48 ff.;Cithrinchen;;C;"[,baaa1] X[,a,,c3/4] ,,c/4 X[,,aa3/2] [,,aa/] | [,,cb1] X[,aa] [,baaa] ,,a | \
[z/ [,,cc/] [,aa] [,bc] [,dcc3/2] ,b/ | \
[,aa/] ,,,,a X,,c3/4 ,,a/4 [daadc2] :||:";french5tab
145;;51v;141ter. (Diana) Die Antwordt / Ach Ja mein Hertz [und auch mein Schmerze];Adam Krieger;;Adam Krieger [1634-1666]: Liebesgespräch zwischen Amyntas und Dianen. In: Herrn Adams Krieger neue Arien, Dresden 1676, S. 48 ff.;Cithrinchen;;C;"[daa1] [,de/] [ab] [bd3/2] [bd/] | [ba1] [,bc/] [,da] [abaaa1] [a,,,a] | \
[dbaaa1] b/ a [fg1] [bd/] [ab] | \
X[,da3/2] ,b/ [abaaa1] ,,,,a :||";french5tab
146;;52r;142.te Aria ex Opera Orontes / Singt Falsaryna, Ey potsfelten was ist daß;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;C;"[,baaa/] [,de] [ab] [,de] X[,bc3/4] ,d/4 [,aa1] | \
[,bc3/4] [,da/] [abaaa/] [aaa] X[a,,b3/4] ,d/4 [,aaba/] [a,,a] | \
[ab3/4] c/4 [da/] d Xd3/4 c/4 [daa/] [d,a] |";french5tab
147;;52v;143.te Ariae ex Opera Orontes / Singt Orontes / Orontes wie ist dir zu muht, was;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;3;"[fgh1] | [,dcbc2] ,d1 | [,dcbc2] [acc1] | ([bd1] d) X([bd3/4] a/4) | \
[acc2] (f/4 d b a) | [,dd1] a [,cc] | [,dcbc2] [ac1] |";french5tab
148;;53r;144.te Ariae ex Opera Orontes, Singt Dorisbe Komm! Ach Komm! O süßer Todt :/:;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;C;"[dddd1] d/4 f g i [fh1] [,da/4] ,e ,g/ | \
X[,e,,a3/2] ,d/ [,ded2] | [,dd1] [,bc] [,dd] (,e/ ,d) | \
X[,b,b3/2] ,,d/ [,,dbc2] |";french5tab
149;;53v;145.te Ariae ex Opera Orontes / Singt Orontes/ O Glück wie wilß doch endlich werden;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;3;",d1 | [fc2] [dc1] | X[bd2] [ac1] | [,dcb1] [ac] [bd] | \
,,a/ b/4 a X[a,c3/2] ,d/ | [,dccc3] | [,dd1] [ab] [bd] | \
X[d,,,a3/2] b/ [ab1] |";french5tab
150;;54r;146.te Ariae ex Opera Orontes / Singt Orontes: Ich will in düstre Wälder reysen,;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;3;"[fgh1] [,dcb] [acc] | ([bd1] a) [bd] | [d,a/] b X[a,b3/2] ,d/ | \
[,cc2] ,c1 | (f/4 d b a) [,dcb1] [ac] | ([b,d1] a) [bd] |";french5tab
151;;54v;147.te Ariae ex Opera Orontes / Singt Cupido als /: Wer Amor dencket zu besiegen und;Johann Theil;;Johann Theil, Orontes (1678);Cithrinchen;;C;"z/ ,b/ [bd] [ab] [,dd] [ab] [bd] [df] | [fgf3/4] (d/4 [bbc1]) z/ [df/] [bd] [ab] | \
[bd/] [ab] X[,da3/4] ,b/4 [,baaa3/2] a/ |";french5tab
152;;55r;148.te Opera Ballet;;;Johann Theil, Orontes (1678)?;Cithrinchen;;C;",d1 | d/ c a1 f/ d c1 | [daa2] ,d1 a | ,d/ ,b ,a1 ,b/ ,a ,,c1 | \
X,a2 ,,a1 ,d |";french5tab
153;;55r;149.te Opera Minuett Schäffer Danß;;;;Cithrinchen;;3;"d/ c d f d c | d1 ,d a | X[,aa2] ,b1 | ,d/ ,c ,d a ,d1 | \
d/ c d f d c |";french5tab
154;;55v;150.te Ariae ex Opera Andromeda /: Singet Perseus. Als  /: Cupido Numehr ist es Zeit, mein Hertze zu;;;Franck, Andromeda und Perseus (1679);Cithrinchen;;C;"""Cu-"",b/ ""pi-""[da1] ""do""[,da] | ""Nu-""[abaaa3/4] ""mehr""a/4 "" ist""[,de/] ""es""[bc] ""Zeit""X[,aa3/2] ""mein""[,baa/] | \
""Hert-""[,,cb/] ""ze""[,aa] ""zu""[,bc] ""ver-""[,de] ""gnü-""[abaaa3/4] ""-"",d/8 ""-"",b ""-""[da1] | \
""-""[abaaa/] ""-"",d/4 ""-"",b ""-""X[,aa1]";french5tab
155;;56r;151.te Solt ein Jammer auff der Erden;;Verte Preludium;;Cithrinchen;;C;"[abc1] a [,de] [,bc] | X[,aba3/2] ,,c/ ,,c1 ,,c | \
[,bc1] ,b [,de] a | Xa3/2 ,e/ [aba1] ,,,a | \
[df1] d [bd] [aba] |";french5tab
156;;56v;152.te Preludium;;;;Cithrinchen;;C;",b/4 ,,a ,,c ,a ,b ,d a b d f b d a b ,d a | \
,b/4 ,d a ,d ,b ,a ,,c ,,a";french5tab
157;;57r;153.te Allemand Mons. Hopp;;Verte Courante ..;;Cithrinchen;;C;",b/ | [,baaa3/2] [,de/] [ab] [bc] X[,aa3/4] [,,cb/4] | \
[,,aa/] ,b/4 ,a [,,cb/] [,bc] [,da] [ab] [bd] [df] | \
[abaaa3/2] d/ [fb1] [ha] |";french5tab
158;;57v;154.te Courant M: Hopp;;;;Cithrinchen;;3;"d1 | [dbaaa3/2] b/ [ab1] | [bd1] X[,da3/2] ,b/4 ,d | \
[abaaa1] [,,caa] [,aba] | [,bc1] [,de] [ab] | \
[b,,b/] a X[,da3/2] ,b/ |";french5tab
159;;58r;155.te Sarband Mons.r Hoppe;;Verte Preludium;;Cithrinchen;;3;"[dffaa1] d [i,,f] | X[h,,a3/2] f/ [fg1] | [df1] [bd] [ab] | \
X[,da3/2] ,b/ [,baaa1] | [,da1] X,a [,de] | \
[abaaa3/2] ,d/ X[,b,a3/4] ,a/4 |";french5tab
160;;58v;156.te Preludium Mons: Hoppe;;;;Cithrinchen;;C;z/ ,,,,a ,,,a ,,a ,b ,,a ,b a | d/ ,b a d i h/4 f d b a ,d |;french5tab
161;;58v;157. [sans titre];;;;Cithrinchen;;C;",,,a/ ,,,c ,,a ,,c ,a1 a | X,e1 a c ,a | [df1] [cd] [ac] [,de] | \
X[,cd1] ,a4 [,ae3] :||:";french5tab
162;;59r;158. [sans titre];;;;Cithrinchen;;C;",b/ ,,,,a ,,,a d d ,,a ,a ,d | ,b/ a ,d ,b X,a1 ,,a | \
,b/ d ,a d ,b d ,a d |";french5tab
163;;59r;[sans titre];;;;Cithrinchen;;3;"d1 ,,a d | d1 ,,a d | [ab1] ,,,,a [ab] | ,d1 ,,a ,d | \
a1 c d | d1 ,,a d |";french5tab
164;;59v;Liebstes Seelgen sey zu frieden;;;;Cithrinchen;;C;"[,,ca1] a3/4 ,d/4 [,bc1] [,aba] | ,,c3/4 ,b/4 ,a3/4 ,,c/4 [,aXba1] ,,,a | \
[,,ca1] ,,c/ ,a [,bc1] ,b3/4 ,d/4 | \
X[,da3/2] ,d/ [aba1] ,,,,a |";french5tab
165;;60r;[sans titre];;;;Cithrinchen;;C;"[abaaa1] ,,,,a/ a [,de1] d/ ,a | [,bc3/2] ,d/ [,b,c3/2] ,a/ | \
,a1 ,,,a3/4 ,a/4 [,bc1] [,,aa] | \
[,,cb/] ,a [,bc] [,ba] ,a ,b [,baaa1] :||:";french5tab
166;;60v;Gavot franzese;;ff. 61r - 68r empty;;Cithrinchen;;C;"[,baaa1] ,,a | [,baaa1] ,d a3/2 b/ | [,de3/2] ,d/ d b a ,d | \
,b/ ,a ,b ,d [,da3/2] ,a/ | [ab2] ,,,,a :||:";french5tab
;;;;"Beginn hinten, umgekehrt; Seitenzahlen original";"Beginning at the end, backwards; page numbers original";;;;;;
167;;1_86r;Aus meines Hertzen Grunde;;;;Cithrinchen;;3;",b1 | [,baaa2] [,da1] | [aba3/2] ,d/ ,b1 | X,a1 ,,a [,bc] | \
[,ded2] ,d1 | [aba2] [bd1] | [ab1] X[,da3/2] ,b/ | \
[abaaa2] :||:";french5tab
168;;2_85v;Wie schön leuchtet :/;;;;Cithrinchen;;C;"[abaaa2] | [df2] Xa | [,bc2] d | [fgf2] [fgf] | [dff3] d1 | \
f2 h | i2 h | Xf3 d1 | [daa3] a1 | [fgf2] [df] |";french5tab
169;;3_85r;Werde munter mein Gemühte;;;;Cithrinchen;;C;"a/ b | [df1] [df] b3/2 a/ | [,da1] [,ded2] Xa3/4 b/4 | \
[df1] b X,b3/2 ,a/ | [aba1] ,,,,a2 :||:";french5tab
170;;3_85r;Christ der du bist der etc;;;;Cithrinchen;;C;"a1 | [aaaa3/2] c/ [df2] | [ce2] a1 c | [df2] f | h2 h | \
 [hi2] h1 i | l2 [hi] | f1 h Xf3/2 d/ |";french5tab
171;;4_84v;Nun last uns Gott;;;;Cithrinchen;;3;",,a/ ,,c ,a | [aba1] ,,,,a/ ,d ,b ,a | [,,cb3/2] ,a/ ,b1 | \
,d/ a X[,da3/2] ,b/ | [aba1] ,,,,a ,b |";french5tab
172;;5_84r;Nun freuet euch lieben :/ [Christen gmein];;;;Cithrinchen;;C;",b1 ,b ,,a | [,bc1] [bd] [aba] X[,da3/4] ,b/4 | \
[,baaa3] [,bc1] | ,d/ a [bd1] [ab] [,da] | \
,,c1 X,a [,baaa2] :||:";french5tab
173;;5_84r;Herr Christ der einige Gottes Sohn;;;;Cithrinchen;;C;"z1 ,b1 [,bc] [ab] | [,de1] [,bc] X,a3/2 ,,c/ | \
[acc3] [ab1] | [bd1] [,de] a/ b X[,da3/4] ,b/4 | [,baaa3] :||:";french5tab
174;;6_83v;Jesu meine Freude;;Nun freuet;;Cithrinchen;;C;"[ab3/2] a/ [,dc1] [,bc] | X,a3/2 ,,c/ [,,ca2] | [ab1] a [cd] d | \
X[fg2] [efe] | f/ h i1 h Xh | [fcc4] :||:";french5tab
175;;7_83r;Nun lobe meine Seele den Herren;;;;Cithrinchen;;3;",,a/ ,,c ,a | ,b1 ,,,,a [,aa] | ,,c1 ,,,b [,,aa] | \
,b1 ,,c [,da] | [aba2] a1 | [aba2] ,b1 | [aba2] ,d1 |";french5tab
176;;8_82v;Ich ruff zu dir Herr etc:;;Verte Zde Repetitio;;Cithrinchen;;C;"a1 | [,bc1] [,ded] [,bc] [,,cb] | [,bc1] [,de] [abaaa2] | \
a/ b [dff1] [aba] [,bcb] | ,d/ a Xb2 a1 | [abaaa3] :||:";french5tab
177;;9_82r;Von Gott will ich nicht lassen;;;;Cithrinchen;;C;",,c1 | [,dcb1] a [bd] ,d | Xa3/2 ,d/ ,b1 ,b | ,d1 ,d a a | \
,,c3 :||: f1 | d1 b Xb3/2 a/ |";french5tab
178;;10_81v;Auff meinen lieben Gott;;;;Cithrinchen;;C;",,c1 | [,,caa1] [,aba] [,bc/] ,,a [,dcb1] | [aaba3] a1 | \
[abaaa1] [,da] [,bc] ,d/ ,b | [,aba3] [aaba1] | \
[,bc1] [,da] [abaaa] a |";french5tab
179;;11_81r;In dich habe ich gehoffet Herr;;;;Cithrinchen;;C;"[,,caa2] | [,,ca1] X[aba3/4] ,d/8 ,b ,a/ ,b [,dcc1] | \
[,b,a1] X,a3/4 ,,c/4 [,,cab2] | z1 ,,c1 [aaa3/4] ,e/8 a c/ ,e |";french5tab
180;;12_80v;Kombt her zu mir spricht Gottes S[ohn];;;;Cithrinchen;;C;",,z1 ,,c1 | [,,caa1] ,,c [aba] ,,c | ,d1 ,,b a/ ,d X,b3/4 ,a/4 | \
[,aba3] ,,c/ ,a | [,bc1] [,ab] X,b3/4 ,d/4 [abaa1] |";french5tab
181;;13_80r;Ach Gott wie manches Herzel:[eid];;;;Cithrinchen;;C;"a1 | [abaaa1] ,b X,d3/4 ,b/8 ,d [aba1] | [,bc1] [,ab] [,,cab2] | \
z1 a1 X[aba3/2] ,d/ | d/ b a ,d [,ba1] X,d3/4 b/8 d |";french5tab
182;;13_80r;Aus tieffer noht schrey;;;;Cithrinchen;;C;"[,baaa2] [,aa1] [,bc] | [,dcc2] ,d | [,bc1] [,d,c] [aab2] | \
z1 [bd1] a ,d | X[,bc3/2] ,b/ ,a1 ,b | X,d3/2 ,b/ [,baaa2] :||:";french5tab
183;;14_79v;Lobet den Herren, lobet den;;;;Cithrinchen;;C;"[,dcc2] | ,,c1 ,d/ a Xb3/2 a/ | [aab3/2] a/ a1 f | \
Xf3/2 e/ [fcc2] | z1 a [bd] d | Xf3/2 d/4 b [bbc2] |";french5tab
184;;15_79r;Dieß sind die heiyl: zehn Geboht;;;;Cithrinchen;;C;"[,dcc2] [,da1] [,dcc] | [,da1] [,dc] ,d/ a Xc a/4 c | \
[daa3] d3/4 c/8 d | f1 [fc] Xd3/4 c/8 a [,dcc1] |";french5tab
185;;15_79r;Von allen Menschen abgewandt;;;;Cithrinchen;;C;"[bbc2] [,bc1] ,d/ a | b/ d f1 d/ b Xa3/4 ,d/4 | \
[,dcc3] [,bc1] | b1 Xd3/4 b/8 d f1 g |";french5tab
186;;16_78v;Was lobes sollen wir dir ;;;;Cithrinchen;;C;"[,dcc3/2] a/ [bd2] | [aba2] [bd1] [df] | [fcc3] f1 | \
[d,l,a2] [bd] | a2 [acc] | z2 a2 | [fcc2] [df] | d1 b [aba2] |";french5tab
187;;16_78v;Durch Adams Fall ist gantz;;;;Cithrinchen;;C;"[aaaa2] Xa1 a | [,ded1] a/ ,d ,b1 X,a | [,,cab3] a/ c | \
Xd3/4 c/8 d f1 [aa1] [ca] | d1 Xc [aab2] :||:";french5tab
188;;17_78r;Singen wir aus Hertzen Grund;;;;Cithrinchen;;3;"[,dcc3] a1 b2 | Xa4 [,dc2] | [,cc4] ,d2 | [acc6] | \
Xa3 ,d/ a b2 | [daa4] ,,c2 | b2 Xa3 ,d1 | [,dcc6] |";french5tab
189;;17_78r;Wo Gott der Herr nicht;;;;Cithrinchen;;C ;"[bbc2] [b,,,a1] ,d/ a | b/ d f1 Xd3/2 b/ | [bbc3] [bd1] | \
[aba1] [,dc] [bd] [df] | [bd1] X[a,,,a3/4] ,d/4 [,dcc2] :||:";french5tab
