Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;1;Ouverture Wedelsburg;;;Guitar/Mandora?;;C;"X[f,,,a3/2] a/ [aab] ,d 'b ,a | V[bc,a3/2] ,,d/ ',,c ,,a ,,,d ,,,c | \1
V[bd,a3/2] a/ ,d ,b ',a ,,c |";french5tab
1b;;1;[fugato];;;Guitar/Mandora?;;3/4;"a1 a | ',b/ ,a ,,c ,a ,b ,d | a1 [abc] a | [aab1] a [aab] | \
[ab,,a1] a [ab,,a] | V[b,,a/] a b d ba |";french5tab
2;;3;Air:;;;Guitar/Mandora?;;3/4;"[abc1] '[,b,,a3/2] ,,c/ | V[b,,a/] ,,,c ',,,a ,,,,d ',,,,c ,,,,a | \
[,db/] a '[,b,,a3/2] ,a/ | \
[,a,c3/4] ,,,d/4 ',,,c/ ,,,a ,,,,d ,,,,c |";french5tab
3;;4;Gavott: en Boure:;;;Guitar/Mandora?;;C;"f1 | [aab1] ,d ',b ,a | V[,b,,a1] (,a/ ,b) ,,c1 a | \
([b,,a/] a) (,d ,b) '[,aa1] d | [ab,,d1] ,d/ a ,b1 d |";french5tab
4;;5;Menuet:;;;Guitar/Mandora?;;3/4;"[a,,,a1] V[b,,a2] | [,da,c2] a1 | [,b,,a1] (,d/ ,b) ,a ,,c | \
[,a,c/] ,,,d ,,,c ,,,a ,,,,d ,,,,c |";french5tab
5;;6;Gig:;;;Guitar/Mandora?;;3/8;"a/ | [,,c,a/] ,a ,b | [,ab/] ,a/4 ,b ,d/ | [,b,,a/] ,d a | \
[,d,,c/] ,d/4 a b/ | [a,,,d/] ,b [d,,c] |";french5tab
6;;7;Ouverture de la Grotte Versaille;;Lully;Guitar/Mandora?;Conc_1880;C;"X[f,,,a3/2] ,,c/4 ,a V,b3/2 ,a/4 ,,c | \
[a,,,a3/2] ,,,,a/4 ,,,,c V,,,,d1 y/4 a/4 ,d ,b | \
[,a,c3/2] ,a/ [aab3/2] ,a/ |";french5tab
7;;9;Rondeau:;;;Guitar/Mandora?;;3/4;"V[,bc,a3/2] ,d/ a1 | [,ab3/2] ,b/ V,d a | '[,b,,a3/2] ,a/ ,,c ,a | \
'[,a,c2] [,a,a1] | [ab,,d3/2] c/ Vd1 | '[c,,a3/2] e/ Vf1 |";french5tab
8;;11;Gig:;;;Guitar/Mandora?;;3/4;"[f,,,a3/4] d/4 f/ | V[b,,a3/4] a/4 ,d/ '[,b,,a3/4] ,a/4 ,,c/ | \
[a,b3/2] V[,bc3/4] ,a/4 ,b/ | \
[,d,d3/4] a/4 [b,,a/] [a,,,d3/4] ,d/4 [,b,,a/] |";french5tab
9;;13;Passacaille Persee:;;;Guitar/Mandora?;;3/4;"V[,b,,a3/2] ,a/ ,,c1 | [aaa3/2] c/ Vd a | [f,,d1] f3/2 e/ | \
[ea,c3/4] c/4 'a/ ,d ',b ,a | V[,b,,a3/2] ,a/ ,,c1 |";french5tab
10;;15;Allemand de Lully:;;;Guitar/Mandora?;;C;"f1 | [f,,,a2] [aab1] y/4 (,d ,b ,a) | V[,b,,a1] ,,,a [,acc] ',,b | \
V,,c3/2 ,,,,a/ ',,,,a3/2 ,,,,c/ | \
V,,,,d1 ',,,,a [a,'a3/2] ,,,d/ |";french5tab
11;;17;Saraband Tendre:;;;Guitar/Mandora?;;3/4;"[abc1] a [aaa] | '[a,,d3/2] ,d/ [a,,c] ,,,a | \
[ab,,d1] f 'd | V[,b,,a1] ,,,,c/ d [ab,,d1] | \
[,d,,c3/4] c/4 Vd1 ,a |";french5tab
12;;19;Saraband:;;;Guitar/Mandora?;;3/4;"V[,b,,a3/2] ,a/ ,,c1 | '[a,,,d3/2] ,d/ [,b,,a1] | \
[,,bc1] V,,c [,a,a] | '[,a,c2] [,,c,a1] | [fff3] | \
'[,ee1] ,a V[d,a] | [c,,,a1] '[ca3/2] a/ |";french5tab
13;;20;Saraband:;;;Guitar/Mandora?;;3/4;"[,,c,a1] '[,,bc3/2] ,,c/ | [,a,c3/4] ,,,,d/4 ',,,c/ ,,,a ,,,,d ,,,,c | \
([,b,,a/] ,a) V[,b,a3/2] ,d/ | '[,a,c2] [,,c,a1] | \
f1 [ab,,d3/2] b/ |";french5tab
14;;21;Ouverture:;;;Guitar/Mandora?;;C;"[,,c,a3/2] a/ [,dbc1] (,b/ ,a) | V[,bc,a3/2] ,b/ ,b1 a | \
[,,cd3/2] ,a/ ',a3/2 ,,c/ | '[,,bc1] a ',a3/2 ,b/ |";french5tab
15;;23;Air:;;;Guitar/Mandora?;;C;"[abc1] a [aab3/4] ,d/4 ',b/ ,a | V[,b,,a1] ,,c [,d,,c] ,d | \
[,db1] a/ ,d '[,b,,a3/2] ,a/ |";french5tab
16a;;25;Saraband:;;;Guitar/Mandora?;;3/4;"[abc1] ,,,,a f | '[da3/2] b/ [ab,,d1] | \
V[b,,a3/2] a/ ,d ,b | '[,a,c3/2] ,,c/ [,,c,a1] | \
[,d,,c1] ,,a/ ,d a b |";french5tab
16b;;26;Double:;;;Guitar/Mandora?;;3/4;"[abc3/4] ,a/4 ,,c/ ,,a ,,,d f | [d,,c3/4] ,,,d/4 ',,,c/ ,,,a ,,,,d a | \
,,,a/ a (b a) ,d ,b |";french5tab
17;;27;Menuet:;;;Guitar/Mandora?;;3/4;"[,,c,a1] [a,,,d] V[b,,a] | '[a,,,d2] a1 | \
[,d,,c1] [,b,,a] [,a,c] | V[,b,,a1] ,,c/ ,a ,b ,d | \
[a,,,a1] Xf2 | [a,,,d1] (b/ a) (,d ,b) |";french5tab
