PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Pratum Musicum Longe Amoenissimum 1984
65b;;81v;La mesme plus diminuée;;;OT;ConcR13;3;"[,dda1] [,dda] [,dd] | [fdda1] ,,,,,,a/ d [cdda1] [acd,a] \
[,da,c/] ,c/4 a ,d ,c ,a | [,cdca3/2] ,a/ [,,d,a1]";
66;;82r;Galliarda;;;OT;;3;"[,dda1] | [,dda1] ,,,a/ ,b/4 ,a [,,da1] [fcd,,c] [hd,f,d] [fcd,a] | \
[cdda1] [,,da/] c [acd,a1] [,,,cd/] a [,da,c1] ,,c/ ,d |";
67;;82v;Galliarda;;;OT;;3;",,d/ ,a [,bdca1] [,daac] | [abb,d3/2] ,d/ a c [dabc1] [f,fd] [f,dd] | \
[effc1] ,,,,,a/ f [eff,,a1] [abb,d] [fcd,a] [cdda] |";
68;;82v;Chi passa;;;OT;ConcR178;3;"[caa,c1] | [caa,c3/2] [caa/] ,,,,c1 [caa,c] ,,,b/ d c a | \
[caa,c3/2] [caa/] ,,,,c1 [caa,c] [caa] ,,,,c | \
[dab,,a1] [dab] [abd,a] [abd] [caa,c] ,,,,b/ ,,d |";
69;;83v;Galliarda;;;OT;;3;"[aabc1] [abdca] [bdda] [abb,d3/2] b/ [dbb,d1] | \
b/ a [,dba,d1] [,bdca] [,acc,a3/2] ,b/ [,daac1] | \
[ddff1] ,,,,,d/ b a ,d [aabc1]";
70a;;83v;Galliarda;;;OT;ConcR835;3;"[bbdd1] [bde,b] [dbb,d] [fb,d,b3/2] [fb,d/] ,,,,,b1 | \
[dbb,d/] b [a,,,,d] b [,d,,b] ,,b [acd,a1] ,,,c/ ,d [acd,a1] | \
[ifgh1] [ifgh] [hffg] [ffgh]";
70b;;84r;La precedente plus diminuée;;;OT;ConcR835;3;"[bbdd1] [bde,b] [dbb,d] | [fb,d,b3/2] [fb,d/] ,,,,,b1 [db,,d/] b [a,,,,d] b [,d,,b] ,,b | \
[acd,a3/4] ,a/4 ,c ,a ,c ,d [acd,a/] h";
71;;84v;Almande Prince;;;OT;ConcR186;C;"z/ [,,d,a] [,da,c] [,da] [acd,a] [acd] [cdda] a/4 c | \
[dab,,d/] [cdda] [acd,a] [acd] [,dde,,a] ,,d [,da,c] ,c/4 ,d |";
72;;85r;Almande Court;;;OT;ConcR496;C;"z1 z/ ,,,c/ [,,d,a] ,,d [,c,,a] ,,d | \
[acd,a1] [cdda] [a,d,a/] ,c [,da,c] ,c/4 ,a | \
[,,dca3/4] [,,dc/4] ,,,,a/ ,,,,,a";
73;;85r;L'almande Slaepen gaen;;;OT;ConcR980;C;"[,,d,a/] [,da,c] [,da] [acd,a] [acd] | \
[cdda/] [cdd] [acd,a1] [cdda/] [,da,c] [,dba,d] [,cdca] | \
[,dde,,a3/4] [,dde/4] ,,,,,,a/ ,,d [,daa] ,c/4 ,d";
74a;;85v;Almande;;;OT;ConcR2952;C;"z1 z/ ,,d [abd,a3/4] ,d/4 [,b,,a] ,d a c | \
[dab,,d/] ,,,a [dab] b/4 a [b,da/] [abb,d] \
[,dba,d/4] ,a ,b ,d |";
74b;;86r;Reprinse;;;OT;ConcR497;C;",,d1 | [abd,a3/2] ,d/ a c [dab,,d3/2] b/ a1 | \
[bdda1] [abb,d] [,dba,d] [abb,d] ,,,c ,,d | \
[abd,a3/2] ,d/ a c [dab,,d3/2] b/ a1 |";
75;;86r;Almande de Duc Mathias;;;OT;ConcR975;C;"z1 z/ [,dda/] [cdda1] [fdda] | \
[,dda3/4] [,dd/4] ,,,a/ a/4 c [dabc/] [caa,c] [abb,d] [,ea,c] | \
[aac,,a3/4] [aac/4] ,,,,,a/ [acd,a] [cdda1] [dabc] |";
76;;86v;Almande de don Frederico;;;OT;ConcR207;C;"[,,d,a/] ,a [,bd,a] [,dba,d] [abb,d] ,d/4 ,b [,ab,,d/] [abb,d] | \
[,dba,d/] ,a [,bdca] ,a/4 ,,d [aac,,a3/4] \
[aac/4] ,,,c/ ,,,,,a |";
77;;87r;Almande Fortune helas;;;OT;ConcR466;C;"z1 z/ ,a/4 ,c [,da,c/] [,da] [acd,a] [acd] | \
[cdda,,a3/4] [cdd/4] ,,,,,,a/ [aab,,a/4] ,d \
[,cd,a/] [,aa,c] [,cee] ,,,,,c |";
78a;;87v;Almande;;;OT;ConcR763;C;"[aabc1] [aabc/] [,ea,c] [aac,,a3/4] [aac/4] ,,,,,a/ ,d/4 ,b | \
[,a,a/4] ,,d ,,c ,,a [,,cc] ,,d ,a ,,c \
[acd,a3/4] [acd/4] ,,,,a/ a |";
78b;;88r;Reprinse;;;OT;ConcR2953;C;"[aabc1] [aab] [,ea,c] [aac,,a3/2] ,d/ [,bd,a1] | \
[,a,a1] ,,d [,,cc] [acd,a3/2] [acd/] ,,,,a1 :||: \
[aabc1] [aab] [cdda] [dab,,d3/2] [dab/] ,,,,,d1 |";
79;;88r;Almande Nonnette;;;OT;Conc_4438;C;"z1 z/ a/ [aabc] c [dabc] a | \
[caa,c3/4] a/4 [,da,c/] ,a [acd,a] ,,,,,d [c,d,,c] ,,,b | \
[,acc,a3/4] [,acc/4] ,,,,,a/ a";
80a;;88v;Almande Bisarde;;;OT;ConcR2950;C;"[aac,,a3/4] ,d/4 [,cdca/] ,d/4 a [cdd,,,a3/4] a/4 [,dba,d/] [,cd,a/4] ,d | \
[aacc/] ,,,,,a/4 ,d [,cd,a/] [,acc,a] \
[,,dca3/4] [,,dc/4] ,,,,a/ ,,d |";
80b;;88v;Reprinse;;;OT;ConcR2951;C;"[aac,,a3/2] ,d/ [,cdca1] [cdd,,,a3/2] a/ [,dba,d1] | \
[aac,,a1] ,,,c/ ,d ,c ,a [,,dca3/2] [,,dc/] ,,,,a1 | \
[aac,,a1] ,,,c/ ,d [,cd,a] d";
81;;89r;Branles;;;OT;ConcR201;C;"z1 [,bd,a/] [,bd] [,bd,a/4] ,d a/ [,dba,d] [,bd,a] | \
[,acc,a/] [,,d,a] [,a,a/4] ,b ,d ,b [,a,a/] \
[,,d,d] [,,da] [,,cc] |";
82;;89v;Courrante;;;OT;;3;"[cd,a1] | f1 [da,c3/4] c/4 [ab,,d/] [ab] [,db,,d] a \
[,b,,a3/4] ,a/4 ,,d/ ,b [,a,a] ,,d [,,c,,a] ,,,c |";
83;;90r;Branles;;;OT;ConcR962;C;"z1 z/ a/ [,dda1] ,a/ ,d | [,c,,a1] ,,d/ ,c [,a,,,a] ,,c ,,d ,a | \
[,c,,a1] ,,d/ a [,d,a1] ,a/ ,d |";
84;;90v;Courrante;;;OT;;3;",d1 | [,bdca1] [,a,,,d/] ,,,,,b3/4 a/4 ,d/ | \
[aab,,a3/4] b/4 a/ [,,d,a] ,,,c ,a | \
[,bdca1] [,dda,c/] [abb,d3/4] d/4 [c,,a/] |";
85;;90v;Courrante 2.;;;OT;ConcR956;3;",,d/ | [,,d,a/] ,a [,bd,a] ,d [a,,,a/4] ,d a/ [,,d,a] ,,d | \
[,bd,a/] [,da,c] [ab,,d] [c,,a] [da,c] c/4 a [,dda/] ,d |";
86;;91r;Courrante 3.;;;OT;ConcR955;3;",,d/ [,bd,a/4] ,a ,b/ [,dba,d/4] ,b ,d/ [ab,,d/4] b d/ | \
[b,,a/] [ab,,d] [,dba,d1] [,bb,d/] ,,d [,bd,a/4] ,a ,b/ |";
87;;91r;Volte de France;;;OT;ConcR941;3;",,,,,,a1 ,,a ,,b [,,daa,a3/2] ,a/ ,,d1 | \
[,,ba,,a3/2] ,,a/ ,,,c1 [,,aa,,a3/2] ,,,c/ ,,a1 | \
,,,,,,a1 ,,d ,,b [,,aa,,a3/2] ,,,c/ ,,,a1 |";
88;;91r;Volte 2.;;;OT;;3;",,,,,,a1 ,,a ,,b [,,da,,a/] ,,b ,,d ,a ,,d1 | \
[,,ba,,a/] ,,a ,,b ,,d ,,b1 [,,aa,,a3/2] ,,,c/ ,,,a1 | \
,,,,,,a1 ,,d/ ,,b ,,a ,,,c [,,aa,,a1] ,,,c ,,,a |";
89;;91v;Branle de Poictou;;;OT;ConcR636;C;",,,,a/ | [,,ba,,a/] ,,d ,,b ,,,c [,,aa,,a] ,,b ,,a ,,,c | \
[,,,ca/] ,,,e ,,,c ,,,e [,,,a,,a] ,,,,e/4 ,,,a \
,,,c ,,,a ,,,,e ,,,a |";
90;;92r;Pauana à l'Englesa;;The Old Medley;OT;ConcR37;C;"[abd,a1] ,,,c [abd,a] ,a/ ,,d | \
[aac,,a/] ,,,c/4 ,,a ,,c ,,a ,,c ,,d [aac,,a1] [abd,a] | \
[bdda1] [a,bcd] [,dff,d] [,dff,d] |";
91a;;92v;Canson Englesa;;Lusty Gallant;OT;ConcR201;C;"z/ ,,d [,b,,a/4] ,d a/ [a,,,a/4] c d/ [f,,,a/4] d c/ | \
[acd,a/] ,,d [,b,,a/4] ,d a/ [a,,,a/4] ,d ,b/ \
[,a,c/4] ,,d ,,c/ |";
91b;;92v;Altra Canson Englesa;;;OT;ConcR2955;C;"z1 [acd,a/] f [f,,,a] c [d,,,,a] f | \
[h,,,,a/] a [a,,,a] f [f,,,a/4] d c/ [a,,,a/4] ,d ,c ,a |";
92;;92v;Saltarello Englesa;;Light of Love / The Countess of Ormond's Galliard;OT;ConcR20;3;"[acd,a2] f1 [fcd,a] a ,c | \
[,dda3/2] a/ ,c1 [,acc,a2] [,cd,a1] | \
[,dda/] ,c ,d a c d [f,,a1] a ,c |";
