PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Pratum Musicum Longe Amoenissimum 1984
22b;;23v;Poiche con: Seconda parte;;;OT;;C;"[h,kkkh2] [cefec1] [cefec] | \
[dffc1] [acd,a] [cdda/4] d c a d/8 c d c d c a c | \
[ddf,,d1] ,,,f [dfgfd] ,,,f |";
23;;25v;Primum potum;;;OT;;C;"[hiif2] [hiif1] [fhi,f] | \
[dffc1] [cef,c/] [dffc1] [hfff/] [ghhe/4] h/8 g h g e g | \
[hhk,,h1] [ddff] [,,ff] [cdda] |";
24;;27r;Et d'ou venes vous;;;OT;;C;",,,,e1 [,,ab/4] ,,,c ,,,e/ [,,cc/4] ,,d ,a/ [,cee] ,,,e | \
[,efec/4] ,f [ca,a/] [acc,e] [,ea,c] [,cdeec] ,,,e \
[ac,,e/4] ,,,,a [,aaac/] |";
25;;27v;Le Rossignol;;;OT;;C;",,d1 ,,c/ ,,a ,,,c a [,ea] ,c | \
[,acc/] ,a [,aab] [,ccce] [,efec] ,e [a,dce] ,,c | \
[c,da/] [,df,c] [,c,e] ,,d";
26;;29r;Tu dolc'anima mia;;Alfonso Ferrabosco;OT;;C;",d1 [f,i] ,g [i,,h] | ,f1 [hf,f/] ,,i [fgi] [f,,h/4] ,f [dde1] | \
[f,hh/] ,f [,g,h] [f,g] [gd,f] [f,,d] [d,b] [acd] |";
27;;29v;Susanna un jour;;;OT;ConcR860;C;",d2 b1 ,d | [b,e1] [d,b] [fd] ,,,a | \
[f,dd1] ,,,,f/ ,,,,d [,dedb] ,b/4 ,d [,,effd/] ,,d/4 ,,,f |";
28;;31v;Comme la tourterelle;;;OT;;C;"[,cde1] [,cde/] [,cc,e] [,acc] [,,de] [,ccde/4] ,,,e ,,,d/ | \
[cc,e,c/] ,c [ca] [cda] [acd/4] c [,df] ,f \
[ccfe,c] ,,e ,,f/8 ,,e ,,c ,,e |";
29a;;33r;D'un si bel foco;;;OT;;C;",a1 [ca/] ,a [ca] [c,a] [c,f] ,a | \
,d/ [a,d] [da] [dc] [cd] ,,,,c/4 ,c/8 ,a \
[,,da/4] ,a [ac,c] ,d |";
29b;;33v;Scorgo tant'alte il lume. Seconda parte;;;OT;;C;"[,aa,c1] [,acc/] [,cd,e] [,df,c] [,cee] [,df,c/4] ,,,,e ,,,a ,,,c | \
[,cee/] [,aab] [,,cc/4] ,,d ,a ,,,f [,c,e3/8] ,,f/8 \
,,e/4 ,,c/8 ,,e [cef,c/] [,e,,c] |";
30a;;35r;Vestiv'i colli;;;OT;ConcR861;C;",a1 ,a/ ,a [a,,c1] ,,,c/ [a,,c] | \
[,df/] ,a [,df] [ac] [cd,,c] ,,f [,d,,c] [,d,,c] | \
[ac,c/4] ,d a c [da/]";
30b;;35v;Cosi le chiome. Seconda parte;;;OT;ConcR2923;C;",,,c3 [,ab3/2] ,,d/ | [,df1] [ab] [cd] [d,b/] ,,d | \
[ca,,c/4] ,,d ,a ,c ,d ,c ,d a [cd,a1] [ac,c/] [,df] |";
;;;Madrigali et Canzoni A 4. 5. et 6. Voci;;;;;;;
31;;37v;Nasce la pena mia à 6;;;OT;ConcR989;C;",a1 ,,,,c/ ,a [,aa,c3/4] ,c/4 [,d,,c/] ,,a | \
[,,aa/] a [ca,,c] ,,,c [c,aa] [e,,,c] [f,deec1] | \
,,,e/ [,cde,c] [fcde,c1] [fcdca] [,c,c/] ,,,,c |";
32;;39v;Correte tutti quanti;;;OT;ConcR2408;C;"z/ [,ddef/] [,ddef] ,,d/4 [a,,ce] [,dfec/] [,dff,d] [,cdca/4] ,d ,c/ | \
[,ddef/] [fd,ef/4] ,,,f [fdaa/] [f,d/4] ,,,,e \
[h,ikkh/] [hd,f,d] [fcdca] ,c/4 d |";
;;;Sequuntur deinceps Carmina duabus testudinibus accommoda;;;;;;;
33a;;40v;Chi per voi non sospira;;Ad Secundam;OT;;C;",,d1 ,,d/ ,a [ab1] a/ [,db] | \
[,bd1] [,bd] [,a,c/] ,,b [,abc] [,,de] | \
[,ab1] ,b/ [a,,,d] [f,dd] ,,d [e,,c] [,a,c] |";
33b;;41r;Chi per voi.;;Ad Secundam;OT;;C;"z2 z2 | c1 c/ e [f,,e] ,,d [,,de] [,ac] | \
[,cd/] a [cd] [,d,a] [,ab] a [c,a] [,ca] |";
34a;;42v;Ecco ch'io lass'il core. À 6;;Ad Secundam;OT;;C;"Z | z1 ,d ,c/ ,c a1 | ,d1 ,d ,,,,a/ ,c/4 ,a [,cd,a/] ,,,,a | \
[,d,d/4] ,,,,c ,,,,d ,,,,b [,,,,df/] ,,,,f";
34b;;43r;Ecco ch'io lass'il core.;;Ad Secundam;OT;;C;"a1 ,e/ ,e c1 a | [d,,c1] ,,,c/ [c,,c/4] a [ca/] d [f,d1] | \
,b/ d a c [da1] c | [,ab,,a1] [,,bc,a/] ,,,,,a";
35a;;44v;Tre gratiosi amanti.;Giovanni de Macque;Ad Unisonos;OT;;C;"[fh,a/] [fh,a/4] [df,c] [cda/] [cd,a] [acd1] [acd/] [fc,e] | \
[cdf/] [dab] [acd] [,df] [acd1] [,d,a/] [fhi] | \
f/ [,fh] [,df] d [ca] [,cd] a [aab] |";
