Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
18;;15;Gigue;;;guitar;;3;"h1 | !strumdown![c,cb1] d f | !strumdown![dfecc1] ,,,c h | \
!strumdown!X[ffff2] !strumup![hee1] | !strumdown![heeeg2] ,,,e1 | \
X,e1 ,,e h | [ffg1] ,,f f | [fee] ,,c d |";french5tab
19;;16;Bourrée;;;guitar;;C;",a1 | !strumdown![,,,cc1] (!strumup!c !strumdown!d) (c/ a) | \
!strumdown![cdeec1] ,,,,c !strumup![cdeec] (,f/ ,d) | \
!strumdown![,bcc1] ,,,,a/ ,a !strumdown!X[,bc3/2] ,a/ | \
X[,aa1] (,b/ ,d) ,,,c ,,,a (,b ,a) |";french5tab
20;;17;Passac.lle;;;guitar;;3;"!strumdown!X[,,,cc3] ,a1 | !strumdown![,bcc2] X[,bca3] ,a1 | \
[,aaa2] [aa,,d] ,,c1 ,a | ,,,,a1 ,,a !strumdown!X[,eee3] !strumup![,,,cc1] | \
!strumdown![,,,cc2] || ,c1 ,,,,a ([,a(a] [,cc)]) |";french5tab
21;;18;Passacaille;;;guitar;;3;"!strumdown![dd,,b3/2] f/ | \
!strumdown![gd1] !strumdown![gef3/2] !strumup![fef/] | \
!strumdown![fddd1] !strumdown!X[ddddd3/2] !strumdown![cbd/] | \
!strumup!d X[d,,a3/2] c/ | [d,a1] || (,,a/ ,,c ,,d) | \
!strumdown![bbcd1] !strumdown!,d !strumdown!,b/ !strumup!,d |";french5tab
22;;19;Allemande;;;guitar;;C;"!strumup![dd,,b/] | !strumdown![dd,,b1] !strumup![ded,,b/] g !strumdown![fef] !strumup!d !strumdown![cbd] !strumup![ddd] | \
!strumdown![ddd/] !strumdown![bbc] !strumdown![bea] ,,c \
!strumdown![bdd] ,,,a !strumdown![bbdbb] ,,,c | \
!strumdown![bbddb/] !strumup!X,,c !strumdown![bbcd] ,d";french5tab
23;;19;Sarabande la Richemont;;;guitar;;3;"!strumup![dd,,b/] | !strumdown![dd,,b1] !strumup![dd,,b3/2] !strumup![dd,,b/] | \
!strumdown![ddc1] !strumdown!X[bdc3/2] g/ | \
!strumdown![,b,cd1] !strumup![,b,cd3/2] f/ | \
!strumdown![bbcd1] !strumup![bbcd3/2] d/ | \
!strumdown![deffd1] X[,ef,a3/2] ,d/ | \
[,ddd1] !strumdown![deddd3/2] ,g/ |";french5tab
24;;20;Allemande aymée de l'auteur;;;guitar;;C;"!strumup![dddff/] | !strumdown![dddff1] ,,,,f !strumdown![dddff/] (d f g) | \
[fd,e1] ,,,a [dd,b] X,b | ,,,a/ (,,a ,,c ,,d) [,b,b1] ,,c/ b |";french5tab
25;;21;Sarabande la Cominge;;;guitar;;3;"!strumdown![dddff1] (!strumdown![fddf/] g1) i/ | l1 ,h ,i | \
[ii,,a1] X[gh,a3/2] f/ | '[g,a1] ,f/ ,g (!strumdown![ffff/] \
g i1 !strumdown!X[gfff3/2]) !strumup![fgfhi/] |";french5tab
26;;21;Gigue;;;guitar;;3;",d1 | !strumdown![dd,,c1] !strumup![dd,,c] !strumup![dd,,c] | \
!strumdown![dd,,c2] ,d1 | !strumdown!X[,aaa1] ,b ,d | \
!strumdown![,b,cd2] f1 | !strumdown![cdc1] d f | \
!strumdown![fccca1] (,,e/ ,,c) (d c) |";french5tab
27;;22;Prel.de;;;guitar;;C;",b/ ,,d/4 ,b X,,c/ (,,a/4 ,,c) ,,,d/ (,,,c/4 ,,,d) X,,,a/ ,,,,d/4 ,,,a | \
X,,,,b/ (,,,,a/4 ,,,,b) ,,a/ (,,c/4 ,,d) \
X[,b,c/] ,,d/4 ,b (,,a ,,c ,,d) ,b |";french5tab
28;;22;Allem.de;;;guitar;;C;"!strumup![bbcd3/4] !strumup![bbcd/4] | \
!strumdown![bbcd1] !strumup![bbcd] !strumdown![bbcd/] (f Xd3/4) ,g/4 | \
!strumdown![dgffd1] !strumup!,f !strumdown![fgh1] ,i/ !strumdown![fgh] h | \
!strumdown![ifff1] !strumup![ifff/] (g/4 f d/) (,f ,g) d |";french5tab
29;;23;Courante;;;guitar;;3;"!strumup![bbcd/] | !strumdown!X[bbcd3/2] (,d/4 ,b) ,,d/ ,b | \
X,,c/ ,,,d ,d ,,,,b a ,,,,d | '[b,,a1] !strumdown![bdc/] !strumup![bdc] '[d,,c1] | \
!strumdown![fgddd/] d !strumdown!X[dffdd3/2] ,g/ |";french5tab
30;;24;Sarab.de;;;guitar;;3;"!strumdown![bbcdd1] ,,,a/ ,b ,,d1 | X,,c1 ,,,d !strumup![bbcdb] | \
!strumdown![dbdcb1] ,,,c/ b !strumdown![dbdc1] | \
!strumdown![fgfdd1] ,,,d/ d !strumdown![fefdd1] | \
!strumdown![gddd1] (,,,d/ ,,,f) ,,,,g1 |";french5tab
