Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Quique;;;Mandora;;6/8;",,,,,a/ | ,,,,a/ ,,c [,a,,,a] ,,,,a ,b [,d,,c] | \
,,,,d/ f e f1 [a,,,a/] | \
,,,a/ b/4 a ,d ,b [,a,,,a/] ,d/4 ,b ,a ,,c |";french5tab
2;;2;wer immer will;;;Mandora;;12/8;",,c/ ,a ,c | V[,d,a/] ,d ,d [,d,a] a c [ac,,a] a a [ac] c d | \
[c,,a/] [d,,c] [f,,e] [f,,e] [d,,c] [c,,a]";french5tab
3;;3;Herr machs mit mir;;;Mandora;;C;",,c/ ,a ,c | V[,d,a/] ,d V[,d,a] [cd] [ac,,a/4] ,d ,c ,d [ac,,a/] [ac] | \
[cd,a/] [ac,,a/4] [cd,a] [d,,c/] [cd,a]";french5tab
4;;3;Solt ich gfragt werden;;;Mandora;;3/4;"f1 [c,,a] a/ c | V,d1 [ac,,a] V[,d,a] | [h,f1] [f,,e/] [h,,f] [f,,e] [d,,c] | \
[c,,a1] [ac,,a] [,d,a/4] ,,c a c |";french5tab
5;;4;Menuet;;;Mandora;;3/4;",,,a/ f ,h f ,,,a f | ,,,a/ h ,i h ,,,a h | \
[fh,a1] (d/ c a ,d) | '[,c,a1] (,a/ ,c) [,,ca1] |";french5tab
6;;5;Aria;;;Mandora;Conc_4785;C;",,c/ ,a | V[,d,a1] (c/ d) (c a) ,d1 | V[,d,a1] ,,,c ,,,e [,d,a] | \
[ac,,a1] a/ c (d c a ,d) |";french5tab
7;;5;Trio;;;Mandora;Conc_4854;3/4;",,,,a/ ,,c ,a ,,c ,,,,c ,,c | ,,,,d/ ,,c ,a ,,c ,,,,a ,,c | \
,,,,a/ ,,b ,a b ',a1 |'[,b,,a1] ,b/ ,a ,,c1 |";french5tab
8;;6;Aria;;;Mandora;;C;"V[f,,,a1] a/ (,d ,b ,a ,,c ,,b) | V[,,c,a1] ,,,,c ,,,,d [,ab,,a] | \
'[,b,,a/] ,a ,b ,d ,,,,a ,b ,,,,,b ,d |";french5tab
9;;7;Menuet;;;Mandora;;3/4;"V[,d,a1] [,d,a] [ac,,a] | '[c,,a/] a ,d ,c [,d,a1] | \
,,,e/ f ,,,c d ,,,a c | '[a,,,a1] ',c [,,ca] | \
,,,,a1 [ac] [cd] |";french5tab
10;;8;Fantasia;;;Mandora;;2/4;"[,,c,a/4] a ,,c a [,,b,,a] a ,,b a | \
'[,b,,a/] ,a/4 ,b ,,c/ f | [dd,,c/] d 'a b/4 ,d |";french5tab
