Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
19;;19;Alemanda;Michele Platano;Al Senor Doctor Don Felix de Torres;Guitar;;C;"!strumdown![,cdd/] | !strumup![,cdd/] ,,,,a !strumdown![,cdd] \
,c/4 ,d [a,c3/4] c/4 ""T""a3/4 ,d/4 | !strumup![,cdd/] ,,,,a \
c c ,,c c ""T""b1 | !strumup![caa1] c/ c ""T""[,ac1] a/ a |";italian5tab
20;;20;Zarauanda;Michele Platano;Al Senor Don Matheo de Issasi / Segue l'istesa Accordatura;Guitar;;3;"!strumup![,cdd1] ,d [a,c] | ""T""[,c,,a3/2] ,a/ ,,d1 | \
,,,b/ c ,,,a a ,,,,c ,d | [,c,,a3/2] ,d/ a1 | [,cda1] ,a ,c | \
[,aab3/2] ,,c/ ,,d ,a |";italian5tab
21;;21;Alemanda;Michele Platano;Al Senor Don Antonio Tariego;Guitar;;C;"c/ | !strumup![caabc1] !strumdown![caabc/] ,a/4 ,c [,d,,c/] ,a [,ce] a | \
[,df/] ,a c ,a ,,d c [aab] ,d/4 a | [cc/] ,,a ""T""c3/4 a/4";italian5tab
22;;22;Corrente;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Ottavio Croce;Guitar;;3;"d/ | !strumup![caabc3/2] a/ ,d ,c | [,d,,c1] ,a [a,,d/] c | \
a/ ,d ""T""[,ca3/2] ,a/ | [,aa,c3/2] ,d/ ,c ,a | \
[acd3/2] a/ ,d ,c |";italian5tab
23;;23;Sarabanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Carlo Arconati;Guitar;;3;"!strumup![caabc1] ,c ,d | [,ca,b3/2] ,d/ [,a,,c1] | \
,,a/ ,d [,ab] ,c ,d a | [add3/2] ,c/ [,d,b1] | \
,,,b/ c ,,,a a ,,,,b ,c |";italian5tab
24;;24;Alemanda alla Cordatura Spagnola;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Michele Resta;Guitar;;C;"!strumdown![cdeec/] | !strumup![cdeec1] [(d/4] c a [y)e] [(a] ,d ,c [y)a] \
[(a] ,d ,c [y)a] | !strumup![ccdee/] !strumdown![ccdee] [,d,,c] \
,c/4 ,d [,c,c/] ,a [,aee3/4] ,,d/4 |";italian5tab
25;;25;Corrente;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Bartolomeo Rozzoni;Guitar;;3;"!strumdown![cdeec/] | !strumup![cdeec3/2] a/ ,d ,c | \
[,d,,c/] a [,c,,a3/2] ,d/ | [,aa3/2] ,d/ ,c ,a | \
!strumup![ccdee1] !strumdown![ccdee] (d/ c) | \
,,,c/ ,d ,,,,e ,a ,,d ,a |";italian5tab
26;;26;Brando;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Francesco Litta;Guitar;;C;"!strumup![ccdee/] !strumdown![ccdee] | !strumup![cdeec/] ,,,,c \
[,ca,b/4] ,d a c [,d,,c/] ,a [,d,,c] [,c,,a] | \
[,aa/] [,,ce] ""T""[,aa3/4] ,c/4 !strumup![ccdee1] \
!strumup![fccce/] !strumdown![fccce] |";italian5tab
27;;27;Sarabanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Gio. Battista Litta;Guitar;;3;"!strumup![cdeec1] !strumdown![cdeec] !strumup![cdeec] | \
!strumup![ccc3/2] d/ c1 | [aaa1] c [aaa] | [,dce3/2] ,c/ ,d1 | \
[,c,c1] ,d [,cde] | [,aa3/2] ,c/ ,d1 | ,d1 ""T""[,c,c3/2] ,a/ |";italian5tab
28;;28;Alemanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Don Giuseppe Lerma;Guitar;;C;"!strumdown![bbbdd/] | !strumup![bbbdd/] !strumdown![bbbdd] \
!strumup![bcddb] d/4 b !strumup![,b,cd/] ,,,,d (b d/4) e | \
d/ b ""T""[bba3/4] a/4 [bbbdd/] ,,,c (b/4 d) (e d) |";italian5tab
29;;29;[Courante?];Michele Platano;;Guitar;;3;"!strumdown![bbbdd1] | !strumup![bbbdd1] !strumup![bcddb/] d b d | \
!strumup![,b,cd1] ,,,,d/ ,b ,,d ,b | ,,b/ ,,,d !strumup![,b,cd3/2] ,d/4 a | \
!strumup![bbbdd1] (e/ d) b ,e |";italian5tab
30;;30;Sarabanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Giuseppe Pannigarola;Guitar;;3;"!strumup![bbbdd1] d b | !strumup![bbbdd3/2] d/ b1 | \
!strumup![bcddb1] d e | !strumup![,b,cd3/2] ,d/ ,b1 | \
!strumup![bbbdd1] d e | !strumup![gddde3/2] i/ g1 | \
[eg1] [dg,,d3/2] ,f/ |";italian5tab
31;;31;Alemanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Carlo Ottavio Visconte;Guitar;;C;"!strumdown![dd,,c/] | !strumup![dd,,c1] [(d/4] c a [y)d] ,b ,a ,,,,a ,,a [,d,e3/4] ,,g/4 | \
,a1 ,,a/4 ,d c ,,,,c ,,,,d (a c d) ""T""[cc,,a3/4] a/4 |";italian5tab
32;;32;Corrente;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Giuseppe Arconati;Guitar;;3;"!strumdown![ddeff1] | !strumup![ddeff3/2] ,h/ ,i f | \
h/ i [fh,,f3/2] ,i/4 f | [,ia3/2] ,,c/ ,a ,b | \
[,d,,c/] a ""T""[,b,,a3/2] ,a/ | [,aa2] [,,ce/] ,,c |";italian5tab
33;;33;Sarabanda;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Colonello Don Gio. Francesco Aresi;Guitar;;3;"!strumup![hihff1] h i | !strumup![lhhhk3/2] i/ h1 | \
[ii,f1] ,h l | !strumup![hihff3/2] i/ f1 | \
[fh,a1] h f | [da,c3/2] c/ a1 | [ff,,e1] d f |";italian5tab
34;;34;Alemanda a Campanelli;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Dottor Don Giuseppe Sirtori;Guitar;;C;"!strumdown![dd,,b/] | !strumup![dd,,b/] (g/4 f) ,,,f ,g ,,,,g ,,,a ,b ,,,,b (,,c ,,a) \
""T""!strumup![cdc3/4] d/4 | !strumup![dd,,b/] (d/4 b) \
,,,b ,d ,,,,d ,,d";italian5tab
35;;35;Gigue;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Marchese Georgio Clerici;Guitar;;6/4;",d/ | !strumup![dddff1] f/ !strumup![gddde3/4] f/4 d/ | \
!strumup![cdc1] c/ !strumup![dd,,b1] b/ | [,ea,d1] [,d,,b/] \
[,bcd1] [,dda/] | [,bdb1] [,bcd/] [,d,,b3/4] b/4 ,,,,a/ |";italian5tab
36;;36;Corrente a Campanelli;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Conte Carlo Borromeo;Guitar;;3;"!strumdown![dd,,b/] | !strumup![dd,,b3/2] g/ f ,,,f | \
c/ ,,,c ,d ,,,,d ,,d ,,,,a | ,,a/ d ,e ,,a ,d ,,,d | \
[d,,b/] ,,d [,bab3/2] ,d/ |";italian5tab
37;;37;Sarabanda a Campanelli;Michele Platano;All'Illustriss.mo Sig.mio e Pad.n Collen.mo il Sig. Marchese Cesare Visconte;Guitar;;3;"!strumup![dd,,b1] f !strumup![de,bd] | !strumup![cdc3/2] d/ !strumup![dd,,b1] | \
(g/ f) ,,,f ,g ,,,,g ,,,a | [,bdd3/2] [,bc/] [,dd,b1] | \
b/ ,,,b ,d ,,,,d ,,d ,,,,a |";italian5tab
