Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;5r;[End of Gigue anglaise];;;Th;;3;"y | '[,c{,,,a}3/4] ,d/4 [a,,,,d/] [,,,,ab3/4] ,a/4 [,c,,,a/] | \
V[,d{a}3/4] a/4 b/ '[a{,,,a}3/4] ,d/4 ',c/ | \
V[,de{a}1] ,,,,a/ [bdda3/2] || [bdda1] ||"
2;g moll;5r;Gavotte de Visée;R. de Visée;;Th;Conc_4609;C;"[,d,a1] [a,,,e] | V[b,,a1] ([b{a}/] d) '[a,,,,d1] ,d/ a | \
'[,c{,,,a}1] (,,,,c/ ,,,,a) d1 ([bc,,a/] a) | \
V[bd{a}1] (d/ b) '[a{,a}1] [,d{,,a}] | [,cdc{,,,a}2] ||"
3;g moll;5v;Gavotte de Visée Rondeau;R. de Visée;;Th;Conc_4610;C;"[,,,h{a}3/4] {,a}/4 [,,i{,,a}1] | \
'[,,h{,,,a}1] ,,,h3/4 ,i/4 [,hi{a}3/4] ,,g/4 ',,e3/4 ,,d/4 | \
V[,,eff{4}1] ,,,,,d/ ,,d d ,,,c (,f ,d) |"
4;g moll;6r;Gavotte de Visée;R. de Visée;;Th;Conc_4611;C;"[,d,a1] [f,,,e] | '[b{a}1] [a,,,,d3/4] ,d/4 '[,c,,a3/2] [,d,,c/] | \
[a,,,e1] ,,,,a [bd{a}] ,,,,,a3/4 ,,b/4 | \
[,,dd,b1] {5}/ ,,d ([,,e{4}] ,,d) d3/4 b/4 |"
5;;6v;L'autre jour m'allant promener;;;Th;Conc_2542;3;"X[,d{a}1] ,d [ac,,a] | V[bd,a2] [a,,,a1] | [b,,a1] '[,,b,,a] {,a} | \
[,,dd,b3/2] ,,,,,b/ ',,,,,a1 | [,hXi{1}1] {7} (,,e/ ,,d) | \
V[,,ea{4}2] [,,dd{,,,a}1] | '[,,ba{,,a}3/2] ,,,d/ ,,b1 |"
6;;7r;Je gage de boir autant qu'un Suisse;;;Th;Conc_2543;3;"[,,,h{a}1] | [,,i{7}1] '[,,h{6}] [,,i{7}] | \
[,,daac1] ',,,,,a [,,de{a}] | V[,,ef{4}3/2] ,,d/ '[,,b{,a}1] | \
[,,d,,b1] [,dd] [,,d,,b] | [,,b,,a1] (,,d/ ,,b) (,,,d ,,,c) | \
'[b{a}2] [ac,,a1] |"
7;;7v;Courante de Visée;R. de Visée;;Th;;2/3;",,d/ | [,,dd{a}1] {7}/ d 'b a V[b,,a1] '[a,,,,d3/2] ,d/ | \
'[,c,,a1] {,,,a}3/4 ,d/4 [ac1] V[bd{a}] '[ba,a3/2] a/ | \
[ac,,a1] V[bd{a}] [,,bc] [,,dd] X[,,ea{4}3/2] ,,d/ |"
8;;8v;Menuet;;;Th;;3;"X[,d{a}3/2] a/ (,d ,c) | [,d{a}1] '[ac{,,,a}2] | \
V[bd{7}3/2] d/ (b a) | X[,d{a}3/2] a/ (,d ,c) | \
[,d{a}1] '[ac{,,,a}2] | V[bd{7}3] ||"
9;;9r;Plainte d'Atis;;;Th;;3;"[,,ddf{a}1] '[,d{7}3/2] ,,e/ | ([f,,,,a/] d) '[ac,,a1] {,,,a}3/4 ,,d/4 | \
'[b{a}1] ',,,c3/2 b/ | '[ac1] [aVb,,d3/2] [,,d,d/] | \
([,c,,c/] ,d) ([,d,,b1] ,c3/4) ,d/4 | \
'[,c,,a1] [,c,,aa{,,,a}2] ||"
10;;9v;Prelude de Le Moine;;;Th;;none;",,i1 (,,h/4 ,,f) f ,,,f ,h a ,,,a1 (,,f/4 ,,d) ,,,f ,,a a ,,,a ,c \
{a}1 (,d/4 ,c ,a)"
11;;10v;Marche de Le Moine;;;Th;;C;",,d/ | '[,,aa{a}3/2] a/ [,,aa{7}] (,,b ,,a) a | \
X[,d{a}3/2] ,c/ ',d1 [a{,,,a}] | \
'[,,a{a}1] ([,,a{7}/] ,,b) [,,d{5}1] '[,,b{4}/] ,,a | \
'[a{,,,a}2] [ac,,a1] ,,d |"
12;;11r;Noël [Laissons paître nos bêtes];;;Th;;3;",,,,a/ | [,d{a}1] [ac,,a/] '[,,aa{a}1] ,,a/ | \
V[,,b,,d3/2] '[a,,,a1] a/ | [,d,,c1] [,c,,a/] [,a,,,e3/4] ,c/4 ,d/ | \
'[,c,,a1] [,a,,,d/] [,,,,ac1] [,,,,aa/] | \
[,d{a}1] [a{,a}/] '[,,aa{,,a}1] [,,a{,,,a}/] |"
13;;11v;Gigue de Rousseau Rondeau;;;Th;;3/8;"[ff,,a/] | [,,dd{a}3/4] ,,f/4 '[e,,,,a/] | V[ff{,,,a}1] [ab,,a/] | \
V[bd{,,,a}3/4] ,,,c/4 '[,,,a{,,a}/] | [,,,,da{,a}3/4] ,d/4 a/ | \
[,,,a{,,a}/] a [bd,,c] | '[a,,,d/] ,,,,,e/4 ,,,a [,b,,a/] |"
14;;12v;La Cloris;;;Th;;C;",,,,a/ X[,d{a}1] ([ac,,a/] c) | '[,,aaa{a}2] '[ac{,,,a}] | \
V[,daa{a}1] {7}3/4 ,c/4 ([,a{4}/] ,c) '[,c{,,,a}1] | \
([,,,,c{5}/] ,,,,a) ([,c{4}] ,d) '[,d{,,,a}3/2] ,c/ | \
V[,daa{a}1] {7}/ ||"
15;G dur;13r;Prelude de Visée G. Becare;R. de Visée;;Th;;none;"{7}3/2 ,,,,a/4 ,a ,c ,,,a a ,,a d ,,d/ {a}/4 {,a} {,,a} {,,,a} \
{4} {5} {6} {7}3/2"
16;G dur;13v;Allemande de Mr Le Moyne;;;Th;Conc_2480;C;"f/ | [fdaa{a}2] [,,de{7}/] (,,f ,,d) ,,,f | \
'[,,,e{a}3/2] ,,,a/ [aabc1] [,,d,e] | \
,,,a/ ,,a {a}1 [ac,,a/] (,,,,c ,,,,a) ,,,,,d |"
17;G dur;14v;Allemande de Visée;R. de Visée;;Th;Conc_2533;C;",,,a/ | [,,,aac{a}1] {7}3/2 ,c/ ,,,a a | \
'[,,a{a}1] (,,,c/ ,,,a) '[,,aa1] V[,,bc] | \
[,,de{7}1] [,,def{a}] ,,f {,a}3/4 ,,h/4 | \
V[,,ig{,,a}3/2] ,,i/ [,,ig,a1] {6}3/4 ,,h/4 |"
18;G dur;15r;Menuet;;;Th;;3;"[,,d{a}1] [,,dc{,a}2] | '[,,aa{a}3/2] a/ ,d1 | \
[a,,,a1] ([c{,,,a}/] a) (,d ,c) | V[,d{7}2] ,d1 | \
[,,d{a}1] [,,dc{,a}2] | '[,,aa{a}3/2] a/ ,d1 | \
[a,,,a1] ([c{,,,a}/] a) (,d ,c) | V[,d{7}3] ||"
19;G dur;15v;Courante de Mr Le Moyne;;;Th;Conc_2481;2/3;"f/ | [fdaa{a}3] [,,ff{4}1] '[,,d,e{,,,a}3/2] ,,b/ | \
'[,,aa{,,a}1] ,,,,c/ (,,d ,,b) ,,a [a{,a}] d 'c a [,d{,,a}] a | \
'[,c{,,,a}1] ,,,,a/ (,,,,c ,,,,a) ,,,,,d"
20;G dur;16r;Courante de Visée;R. de Visée;;Th;Conc_2494;2/3;",,i/ | [,,ih{a}1] {7}3/4 ,,h/4 ,,f1 ([f{a}/] d) '[d{,a}3/2] ,,a/ | \
[,,aaa{a}3/2] ,,b/ V,,d1 '[a{,a}3/2] ,,a/ ([,,,c{,,a}] ,,,a) | \
'[,c{,,,a}3/2] (,,,,c/ ,,,,a) {4} X[,d{5}1] ',,,,a3/2 ,,,,a/ |"
21;G dur;16v;Sarabande de Mr Le Moyne;;;Th;Conc_1190;3;"X[fda{a}3/4] ,,d/4 '[,,de{7}3/2] ,,d/ | \
[,,ff{4}3/4] {5}/4 X[,,ff{6}3/2] ,,h/ | \
V[,,i{5}3/4] {4}/4 {,,,a}/ [a,(l] [,,i)] ,,h | \
V[,,i{7}1] [,hih{a}2] | [a,g{,,,a}3/4] ,,g/4 '[,,g,a3/2] ,,f/ |"
22;G dur;17r;Gigue de Visée;R. de Visée;;Th;;C;"X,,i1 {7}/ ,,h ,,i ,,d V,,f ,,b | '[,,aa3/2] [a,,,e/] [,,aa] ,,,,a '[,,a,c] [,,b,,d] | \
[,,d,,c/] ,,b ',,a a [,,,a,d] a/4 ,d '[,c,,a3/4] ,d/4 |"
23;G dur;17v;Gavotte de Visée Rondeau;R. de Visée;;Th;Conc_3860;C;"(,,d/ ,,b) (c a) |V[c{a}1] [da{4}] '[a{,,,a}] ,,,,a3/4 ,,d/4 | \
'[,,a{a}1] [,,aa] [da{4}/] (c a) ,d | \
'[,c{,,,a}1] V[,d{,,a}3/4] a/4 '[a{,,,a}3/2] ,d/4 a |"
24;G dur;17v;Entrée des Espagnols;;;Th;Conc_768;3;"[,d{a}1] a | [,,aa1] [a,,,e] [,d,,c] | [,,d,a1] [a,,,,d] [,,a,,c] | \
[,,b,,a1] '[,,aa{a}3/2] a/ | [ac,,a1] [,d,a] a | [c{a}1] '[a{,a}] [,d{,,a}] | \
[,,d{,,,a}1] [a{4}] [,,a{5}] |"
25;G dur;18r;Rondeau de Visée Menuet;R. de Visée;;Th;Conc_4617;3;"[,,d{a}1] (,,b/ ,,a) (,,,c ,,,a) | '[,c{,,,a}2] V[,d{,,a}1] | \
'[a{,a}3/2] ,d/ a1| {a}/ ,,a (,,b ,,a) (,,,c ,,,a) | \
[,,d{5}1] ([,,b{4}/] ,,a) (,,,c ,,,a) | \
'[,c{,,,a}2] V[,d{,,a}1] |"
